uniqueID,surname,allOtherNames,firstName,commonName,earlierOrLaterNames,title,birthDate,birthYear,birthMonth,birthDay,deathDate,deathYear,deathMonth,deathDay,wasEverPrimeMinister,comments,wikipedia,adb
andrenpeter1996,Andren,Peter James,Peter,,,,1946-8-28,1946,8,28,2007-11-3,2007,11,3,,,,
andrewjohn1983,Andrew,John Neil,John,,,,1944-6-7,1944,6,7,,,,,,,,
andrewskaren2010,Andrews,Karen Lesley,Karen,,,,1960-8-23,1960,8,23,,,,,,,,
andrewskevin1991,Andrews,Kevin James,Kevin,,,,1955-11-9,1955,11,9,,,,,,,,
andrewsthomas1949,Andrews,Thomas William,Thomas,,,,1900-10-19,1900,10,19,1974-11-21,1974,11,21,,,,
ansteyfrank1910,Anstey,Frank,Frank,,,,1865-8-18,1865,8,18,1940-10-31,1940,10,31,,,,
anthonyhubert1937,Anthony,Hubert Lawrence,Hubert,,,,1897-3-12,1897,3,12,1957-7-12,1957,7,12,,,,
anthonydoug1957,Anthony,John Douglas,John,Doug,,,1929-12-31,1929,12,31,,,,,,,https://en.wikipedia.org/wiki/Doug_Anthony,
anthonylawrence1996,Anthony,Lawrence James,Lawrence,,,,1961-12-17,1961,12,17,,,,,,,,
archeredward1906,Archer,Edward Walker,Edward,,,,1871-12-12,1871,12,12,1940-7-1,1940,7,1,,,,
archibaldwilliam1910,Archibald,William Oliver,William,,,,1852-6-3,1852,6,3,1926-6-28,1926,6,28,,,,
armitagejohn1961,Armitage,John Lindsay,John,,,,1920-11-11,1920,11,11,2009-4-13,2009,4,13,,,,
armstrongadam1965,Armstrong,Adam Alexander,Adam,,,,1909-7-1,1909,7,1,1982-2-22,1982,2,22,,,,
arthurjohn1913,Arthur,John Andrew,John,,,,,1875,,,1914-12-9,1914,12,9,,,,
arthurwilliam1966,Arthur,William Tevlin,William,,,,1918-4-16,1918,4,16,1982-2-28,1982,2,28,,,,
ashleybrownalfred1972,Ashley-Brown,Alfred,Alfred,,,,1915-10-5,1915,10,5,1993-2-5,1993,2,5,,,,
astonwilliam1955,Aston,William John,William,,Later Sir William,,1916-9-19,1916,9,19,1997-5-21,1997,5,21,,,,
atkinsonllewellyn1906,Atkinson,Llewellyn,Llewellyn,,,,1867-12-18,1867,12,18,1945-11-1,1945,11,1,,,,
atkinsonrodney1990,Atkinson,Rodney Alexander,Rodney,,,,1948-8-7,1948,8,7,,,,,,,,
badmanalbert1937,Badman,Albert Oliver,Albert,,,,1885-12-18,1885,12,18,1977-4-24,1977,4,24,,,,
baileyfran1990,Bailey,Frances Esther,Frances,Fran,,,1946-5-21,1946,5,21,,,,,,,,
baillieumarshall1975,Baillieu,Marshall,Marshall,,,,1937-6-6,1937,6,6,,,,,,,,
bairdbruce1998,Baird,Bruce George,Bruce,,,,1942-2-28,1942,2,28,,,,,,,,
bakerfrancismatthew1931,Baker,Francis Matthew John,Francis,Francis Matthew,,,,1903,,,1939-3-28,1939,3,28,,,,
bakerfrancispatrick1940,Baker,Francis Patrick,Francis,Francis Patrick,,,1873-5-30,1873,5,30,1959-6-2,1959,6,2,,,https://en.wikipedia.org/wiki/Francis_Patrick_Baker,
bakermark2004,Baker,Mark Horden,Mark,,,,1958-12-31,1958,12,31,,,,,,,,
baldwinpeter1983,Baldwin,Peter Jeremy,Peter,,,,1951-4-12,1951,4,12,,,,,,,,
baldwinbob1996,Baldwin,Robert Charles,Robert,Bob,,,1955-3-9,1955,3,9,,,,,,,https://en.wikipedia.org/wiki/Bob_Baldwin,
bamfordfrederick1901,Bamford,Frederick William,Frederick,,,,1849-2-11,1849,2,11,1934-9-10,1934,9,10,,,,
bandidthenry1958,Bandidt,Henry Norman Charles,Henry,,,,1906-10-12,1906,10,12,1990-1-6,1990,1,6,,,,
bandtadam2010,Bandt,Adam Paul,Adam,,,,1972-3-11,1972,3,11,,,,,,,,
banksjulia2016,Banks,Julia Helen,Julia,,,,1962-9-18,1962,9,18,,,,,,,https://en.wikipedia.org/wiki/Julia_Banks,
barnardherbert1934,Barnard,Herbert Claude,Herbert,,,,1890-10-16,1890,10,16,1957-12-6,1957,12,6,,,,
barnardlance1954,Barnard,Lance Herbert,Lance,,,,1919-5-1,1919,5,1,1997-8-6,1997,8,6,,,,
barnescharles1958,Barnes,Charles Edward,Charles,,,,1901-11-13,1901,11,13,1998-10-24,1998,10,24,,,,
barresiphillip1996,Barresi,Phillip Anthony,Phillip,,,,1955-8-8,1955,8,8,,,,,,,,
bartlettkerry1996,Bartlett,Kerry Joseph,Kerry,,,,1949-4-15,1949,4,15,,,,,,,https://en.wikipedia.org/wiki/Kerry_Bartlett,
bartonedmund1901,Barton,Edmund,Edmund,,Later Sir Edmund,,1849-1-18,1849,1,18,1920-1-7,1920,1,7,1,,,
barwickgarfield1958,Barwick,Garfield Edward John,Garfield,,,Sir,1903-6-22,1903,6,22,1997-7-13,1997,7,13,,,,
batcheloregerton1901,Batchelor,Egerton Lee,Egerton,,,,1865-4-10,1865,4,10,1911-10-8,1911,10,8,,,,
batejeff1949,Bate,Henry Jefferson,Henry,Jeff,,,1906-3-5,1906,3,5,1984-4-15,1984,4,15,,,https://en.wikipedia.org/wiki/Jeff_Bate,
baumemichael1975,Baume,Michael Ehrenfried,Michael,,,,1930-7-6,1930,7,6,,,,,,,https://en.wikipedia.org/wiki/Michael_Baume,
bayleyjames1917,Bayley,James Garfield,James,,,,1882-3-26,1882,3,26,1968-1-14,1968,1,14,,,,
bealejulian1984,Beale,Julian Howard,Julian,,,,1934-10-10,1934,10,10,,,,,,,,
bealeoliver1946,Beale,Oliver Howard,Oliver,,,,1898-12-10,1898,12,10,1983-10-17,1983,10,17,,,,
beardhenry1910,Beard,Henry Elisha,Henry,,,,,1864,,,1910-12-18,1910,12,18,,,,
beasleyjohn1928,Beasley,John Albert,John,,,,1895-11-9,1895,11,9,1949-9-2,1949,9,2,,,,
beatonnoel1960,Beaton,Noel Lawrence,Noel,,,,1925-12-28,1925,12,28,2004-12-18,2004,12,18,,,,
beazleykim1980,Beazley,Kim Christian,Kim,,,,1948-12-14,1948,12,14,,,,,,,,
beazleykim1945,Beazley,Kim Edward,Kim,,,,1917-9-30,1917,9,30,2007-10-12,2007,10,12,,,,
beckarthur1940,Beck,Arthur James,Arthur,,,,1882-7-8,1882,7,8,1965-11-28,1965,11,28,,,,
beddalldavid1983,Beddall,David Peter,David,,,,1948-11-27,1948,11,27,,,,,,,,
bellgeorge1919,Bell,George John,George,,Later Sir George,,1872-11-29,1872,11,29,1944-3-5,1944,3,5,,,,
bennettadrian1969,Bennett,Adrian Frank,Adrian,,,,1933-1-21,1933,1,21,2006-5-9,2006,5,9,,,,
bennettbenjamin1912,Bennett,Benjamin Holland,Benjamin,,,,,1872,,,1939-7-12,1939,7,12,,,,
bennettjames1913,Bennett,James,James,,,,,1874,,,1951-11-23,1951,11,23,,,,
bensonsamuel1962,Benson,Samuel James,Samuel,,,,1909-7-12,1909,7,12,1995-7-26,1995,7,26,,,,
berinsonjoe1969,Berinson,Joseph Max,Joseph,Joe,,,1932-1-7,1932,1,7,,,,,,,,
berrydouglas1949,Berry,Douglas Reginald,Douglas,,,,1907-5-3,1907,5,3,1957-4-17,1957,4,17,,,,
bestrobert1910,Best,Robert Wallace,Robert,,,Sir,1856-6-18,1856,6,18,1946-3-27,1946,3,27,,,,
bevisarchibald1990,Bevis,Archibald Ronald,Archibald,,,,1955-4-10,1955,4,10,,,,,,,,
bidgoodjames2007,Bidgood,James Mark,James,,,,1959-5-26,1959,5,26,,,,,,,,
billsonbruce1996,Billson,Bruce Fredrick,Bruce,,,,1966-1-26,1966,1,26,,,,,,,,
bilneygordon1983,Bilney,Gordon Neil,Gordon,,,,1939-6-21,1939,6,21,2012-10-28,2012,10,28,,,,
birdalan1949,Bird,Alan Charles,Alan,,,,1906-9-28,1906,9,28,1962-7-21,1962,7,21,,,,
birdsharon2004,Bird,Sharon Leah,Sharon,,,,1962-11-15,1962,11,15,,,,,,,,
birneyreginald1975,Birney,Reginald John,Reginald,,,,1928-9-26,1928,9,26,1995-1-1,1995,1,1,,,,
birrellfrederick1963,Birrell,Frederick Ronald,Frederick,,,,1913-12-7,1913,12,7,1985-7-23,1985,7,23,,,,
bishopbronwyn1994,Bishop,Bronwyn Kathleen,Bronwyn,,,,1942-10-19,1942,10,19,,,,,,,,
bishopjulie1998,Bishop,Julie Isabel,Julie,,,,1956-7-17,1956,7,17,,,,,,,,
blackburndoris1946,Blackburn,Doris Amelia,Doris,,,,1889-9-18,1889,9,18,1970-12-12,1970,12,12,,,,
blackburnmaurice1934,Blackburn,Maurice McCrae,Maurice,,,,1880-11-19,1880,11,19,1944-3-31,1944,3,31,,,,
blacklowarchibald1931,Blacklow,Archibald Clifford,Archibald,,,,1879-10-11,1879,10,11,1965-4-4,1965,4,4,,,,
blackwoodrobert1903,Blackwood,Robert Officer,Robert,,,,1861-6-20,1861,6,20,1940-9-22,1940,9,22,,Election declared void. Contested by-election 18.5.1904 but was defeated.,,
blainadair1934,Blain,Adair Macalister,Adair,,,,1894-11-21,1894,11,21,1983-4-28,1983,4,28,,,,
blakeleyarthur1917,Blakeley,Arthur,Arthur,,,,1886-7-3,1886,7,3,1972-6-27,1972,6,27,,,,
blanchardcecil1983,Blanchard,Cecil Allen,Cecil,,,,1929-4-17,1929,4,17,2008-10-25,2008,10,25,,,,
blandfrancis1951,Bland,Francis Armand,Francis,,,,1882-8-24,1882,8,24,1967-4-9,1967,4,9,,,,
blewettneal1977,Blewett,Neal,Neal,,,,1933-10-24,1933,10,24,,,,,,,,
blundellreginald1919,Blundell,Reginald Pole,Reginald,,,,1873-2-4,1873,2,4,1945-8-9,1945,8,9,,,,
bluntcharles1984,Blunt,Charles William,Charles,,,,1951-1-19,1951,1,19,,,,,,,,
bonnettrobert1966,Bonnett,Robert Noel,Robert,,,,1916-9-1,1916,9,1,1992-4-21,1992,4,21,,,,
bonythonjohn1901,Bonython,John Langdon,John,,,Sir,1848-10-15,1848,10,15,1939-10-22,1939,10,22,,,,
bosmanleonard1963,Bosman,Leonard Lewis,Leonard,,,,1924-2-5,1924,2,5,2017-2-6,2017,2,6,,,,
bostockwilliam1949,Bostock,William Dowling,William,,,,1892-2-5,1892,2,5,1968-4-28,1968,4,28,,,,
bourchierjohn1972,Bourchier,John William,John,,,,1929-10-12,1929,10,12,2017-8-31,2017,8,31,,,https://en.wikipedia.org/wiki/John_Bourchier_(politician),
bourkewilliam1949,Bourke,William Meskill,William,,,,1913-6-2,1913,6,2,1981-5-22,1981,5,22,,,,
bowdeneric1906,Bowden,Eric Kendall,Eric,,,,1872-9-30,1872,9,30,1931-2-13,1931,2,13,,,,
bowdengeorge1943,Bowden,George James,George,,,,1888-3-17,1888,3,17,1962-6-8,1962,6,8,,,,
bowenchristopher2004,Bowen,Christopher Eyles,Christopher,,,,1973-1-17,1973,1,17,,,,,,,,
bowenlionel1969,Bowen,Lionel Frost,Lionel,,,,1922-12-28,1922,12,28,2012-4-1,2012,4,1,,,,
bowennigel1964,Bowen,Nigel Hubert,Nigel,,,,1911-5-26,1911,5,26,1994-9-27,1994,9,27,,,,
boydjames1913,Boyd,James Arthur,James,,,,1867-7-7,1867,7,7,1941-4-12,1941,4,12,,,,
bradburydavid2007,Bradbury,David John,David,,,,1976-2-28,1976,2,28,,,,,,,,
braddonedward1901,Braddon,Edward Nicholas Coventry,Edward,,,Sir,1829-6-11,1829,6,11,1904-2-2,1904,2,2,,,,
bradfieldjames1975,Bradfield,James Mark,James,,,,1933-7-30,1933,7,30,1989-11-19,1989,11,19,,,,
bradfordjohn1990,Bradford,John Walter,John,,,,1946-1-3,1946,1,3,,,,,,,,
braithwaiteray1975,Braithwaite,Raymond Allen,Raymond,Ray,,,1933-12-6,1933,12,6,,,,,,,,
brandwilliam1954,Brand,William Alfred,William,,,,1888-8-22,1888,8,22,1979-10-26,1979,10,26,,,,
breenjohn1940,Breen,John Patrick,John,,,,,1898,,,1966-2-5,1966,2,5,,,,
brennanfrank1911,Brennan,Frank,Frank,,,,,1873,,,1950-11-6,1950,11,6,,,,
breretonlaurence1990,Brereton,Laurence John,Laurence,,,,1946-5-29,1946,5,29,,,,,,,,
bridgesmaxwellcrawford1964,Bridges-Maxwell,Crawford William,Crawford,,,,1929-9-27,1929,9,27,1992-4-15,1992,4,15,,,,
briggsjamie2008,Briggs,Jamie Edward,Jamie,,,,1977-6-9,1977,6,9,,,,,,,,
brimblecombewilfred1951,Brimblecombe,Wilfred John,Wilfred,,,,1898-2-6,1898,2,6,1973-9-14,1973,9,14,,,,
broadandrew2013,Broad,Andrew John,Andrew,,,,1975-7-2,1975,7,2,,,,,,,,
broadbentrussell1990,Broadbent,Russell Evan,Russell,,,,1950-12-25,1950,12,25,,,,,,,,
brodtmanngai2010,Brodtmann,Gai Marie,Gai,,,,1963-11-24,1963,11,24,,,,,,,,
broughmalcolm1996,Brough,Malcolm Thomas,Malcolm,,,,1961-12-29,1961,12,29,,,,,,,,
browngeoffrey1949,Brown,Geoffrey William,Geoffrey,,,,1894-4-25,1894,4,25,1955-10-14,1955,10,14,,,,
brownjohn1977,Brown,John Joseph,John,,,,1931-12-19,1931,12,19,,,,,,,,
brownjoseph1906,Brown,Joseph Tilley,Joseph,,,,,1843,,,1925-9-28,1925,9,28,,,,
brownneil1969,Brown,Neil Anthony,Neil,,,,1940-2-22,1940,2,22,,,,,,,,
brownbob1980,Brown,Robert James,Robert,Bob,,,1933-12-2,1933,12,2,,,,,,,,
brownthomas1901,Brown,Thomas,Thomas,,,,1861-10-6,1861,10,6,1934-3-23,1934,3,23,,,,
brownbillkay1966,Brownbill,Kay Cathrine Millin,Kay,,,,1914-7-21,1914,7,21,2002-2-3,2002,2,3,,,https://en.wikipedia.org/wiki/Kay_Brownbill,
brownepeter1958,Browne,Peter Grahame,Peter,,,,1924-7-15,1924,7,15,2000-9-11,2000,9,11,,,,
brucehenry1951,Bruce,Henry Adam,Henry,,,,1884-5-16,1884,5,16,1958-10-11,1958,10,11,,,,
brucestanley1918,Bruce,Stanley Melbourne,Stanley,,,,1883-4-15,1883,4,15,1967-8-25,1967,8,25,1,,,
brumbyjohn1983,Brumby,John Mansfield,John,,,,1953-4-21,1953,4,21,,,,,,,,
bryantgordon1955,Bryant,Gordon Munro,Gordon,,,,1914-8-3,1914,8,3,1991-1-14,1991,1,14,,,,
brysonwilliam1943,Bryson,William George,William,,,,1898-2-24,1898,2,24,1973-3-2,1973,3,2,,,,
buchananalexander1955,Buchanan,Alexander Andrew,Alexander,,,,1905-10-4,1905,10,4,1985-9-10,1985,9,10,,,,
buchholzscott2010,Buchholz,Scott Andrew,Scott,,,,1968-3-27,1968,3,27,,,,,,,,
bungeymelville1974,Bungey,Melville Harold,Melville,,,,1934-8-30,1934,8,30,,,,,,,,
burchellreginald1913,Burchell,Reginald John,Reginald,,,,1883-5-20,1883,5,20,1955-6-20,1955,6,20,,,,
burkeanna1998,Burke,Anna Elizabeth,Anna,,,,1966-1-1,1966,1,1,,,,,,,,
burkeanthony2004,Burke,Anthony Stephen,Anthony,,,,1969-11-4,1969,11,4,,,,,,,,
burkethomas1943,Burke,Thomas Patrick,Thomas,,,,1910-8-28,1910,8,28,1973-1-17,1973,1,17,,,,
burneylinda2016,Burney,Linda Jean,Linda,,,,1957-4-25,1957,4,25,,,,,,,,
burnsgeorge1913,Burns,George Mason,George,,,,1869-4-19,1869,4,19,1932-8-15,1932,8,15,,,,
burnswilliam1977,Burns,William George,William,,,,1933-10-22,1933,10,22,2009-3-16,2009,3,16,,,,
burrmax1975,Burr,Maxwell Arthur,Maxwell,Max,,,1939-1-9,1939,1,9,,,,,,,,
buryleslie1956,Bury,Leslie Harry Ernest,Leslie,,,,1913-2-25,1913,2,25,1986-9-7,1986,9,7,,,,
butlermark2007,Butler,Mark Christopher,Mark,,,,1970-7-8,1970,7,8,,,,,,,,
butlerterri2014,Butler,Terri Megan,Terri,,,,1977-11-28,1977,11,28,,,,,,,,
byrneanthony1999,Byrne,Anthony Michael,Anthony,,,,1962-12-1,1962,12,1,,,,,,,,
cadmanalan1974,Cadman,Alan Glyndwr,Alan,,,,1937-7-26,1937,7,26,,,,,,,,
cairnsjim1955,Cairns,James Ford,James,Jim,,,1914-10-4,1914,10,4,2003-10-12,2003,10,12,,,,
cairnskevin1963,Cairns,Kevin Michael,Kevin,,,,1929-5-15,1929,5,15,1984-7-6,1984,7,6,,,,
calderstephen1966,Calder,Stephen Edward,Stephen,,,,1916-8-10,1916,8,10,2008-9-30,2008,9,30,,,,
calwellarthur1940,Calwell,Arthur Augustus,Arthur,,,,1896-8-28,1896,8,28,1973-7-8,1973,7,8,,,,
cameronarchie1934,Cameron,Archie Galbraith,Archie,,,,1895-3-22,1895,3,22,1956-8-9,1956,8,9,,,,
cameronclyde1949,Cameron,Clyde Robert,Clyde,,,,1913-2-11,1913,2,11,2008-3-14,2008,3,14,,,,
camerondonaldalastair1949,Cameron,Donald Alastair,Donald,Donald Alastair,,,1900-3-17,1900,3,17,1974-1-5,1974,1,5,,,,
camerondonaldcharles1919,Cameron,Donald Charles,Donald,Donald Charles,Later Sir Donald,,,1879,,,1960-11-19,1960,11,19,,,,
camerondonaldjames1961,Cameron,Donald James,Donald,Donald James,,,1917-10-15,1917,10,15,1964-6-22,1964,6,22,,,,
camerondonaldmilner1966,Cameron,Donald Milner,Donald,Donald Milner,,,1940-2-6,1940,2,6,,,,,,,,
camerondonaldnorman1901,Cameron,Donald Norman,Donald,Donald Norman,,,1851-11-3,1851,11,3,1931-2-17,1931,2,17,,,,
cameroneoin1993,Cameron,Eoin Harrap,Eoin,,,,1951-1-4,1951,1,4,2016-6-23,2016,6,23,,,,
cameronewen1977,Cameron,Ewen Colin,Ewen,,,,1930-1-12,1930,1,12,,,,,,,,
cameronian1980,Cameron,Ian Milne Dixon,Ian,,,,1938-3-8,1938,3,8,,,,,,,,
cameronmalcolm1922,Cameron,Malcolm Duncan,Malcolm,,,,1873-7-12,1873,7,12,1935-3-1,1935,3,1,,,,
cameronross1996,Cameron,Ross Alexander,Ross,,,,1965-5-14,1965,5,14,,,,,,,,
campbellgraeme1980,Campbell,Graeme,Graeme,,,,1939-8-13,1939,8,13,,,,,,,,
campbelljodie2007,Campbell,Jodie Louise,Jodie,,,,1972-1-18,1972,1,18,,,,,,,,
canngeorge1910,Cann,George,George,,,,1871-5-29,1871,5,29,1948-10-18,1948,10,18,,,,
carigecolin1975,Carige,Colin Lawrence,Colin,,,,1938-7-19,1938,7,19,2002-5-14,2002,5,14,,,,
carltonjim1977,Carlton,James Joseph,James,Jim,,,1935-5-13,1935,5,13,2015-12-25,2015,12,25,,,,
carpenterwilliam1903,Carpenter,William Henry,William,,,,1863-4-5,1863,4,5,1930-9-11,1930,9,11,,,,
carrernest1906,Carr,Ernest Shoobridge,Ernest,,,,,1875,,,1956-9-17,1956,9,17,,,,
caseyrichard1931,Casey,Richard Gardiner,Richard,,,,1890-8-29,1890,8,29,1976-6-17,1976,6,17,,,,
cashearl1958,Cash,Earl Douglas,Earl,,,,1919-7-15,1919,7,15,2002-2-15,2002,2,15,,,,
cassmoss1969,Cass,Moses Henry,Moses,Moss,,,1927-2-18,1927,2,18,,,,,,,https://en.wikipedia.org/wiki/Moss_Cass,
catleyrobert1990,Catley,Robert,Robert,,,,1942-9-1,1942,9,1,,,,,,,,
cattsjames1906,Catts,James Howard,James,,,,,1878,,,1951-11-26,1951,11,26,,,,
causleyian1996,Causley,Ian Raymond,Ian,,,,1940-10-19,1940,10,19,,,,,,,,
chalmersjames2013,Chalmers,James Edward,James,,,,1978-3-2,1978,3,2,,,,,,,,
chamberscyril1943,Chambers,Cyril,Cyril,,,,1897-2-28,1897,2,28,1975-10-3,1975,10,3,,,,
championnicholas2007,Champion,Nicholas David,Nicholas,,,,1972-2-27,1972,2,27,,,,,,,,
chaneyfred1955,Chaney,Frederick Charles,Frederick,Fred,,,1914-10-12,1914,10,12,2001-12-17,2001,12,17,,,,
chaneyfrederick1990,Chaney,Frederick Michael,Frederick,,,,1941-10-28,1941,10,28,,,,,,,,
chanterjohn1901,Chanter,John Moore,John,,,,1845-2-11,1845,2,11,1931-3-9,1931,3,9,,,,
chapmanaustin1901,Chapman,Austin,Austin,,Later Sir Austin,,1864-7-10,1864,7,10,1926-1-12,1926,1,12,,,,
chapmangrant1975,Chapman,Hedley Grant Pearson,Hedley,Grant,,,1949-4-27,1949,4,27,,,,,,,https://en.wikipedia.org/wiki/Grant_Chapman,
charlesdavid1980,Charles,David Ernest,David,,,,1948-3-2,1948,3,2,,,,,,,,
charlesrobert1990,Charles,Robert Edwin,Robert,,,,1936-7-24,1936,7,24,2016-4-17,2016,4,17,,,,
charlesworthrichard1983,Charlesworth,Richard Ian,Richard,,,,1952-2-6,1952,2,6,,,,,,,,
charltonmatthew1910,Charlton,Matthew,Matthew,,,,1866-3-15,1866,3,15,1948-12-8,1948,12,8,,,,
cheesemandarren2007,Cheeseman,Darren Leicester,Darren,,,,1976-6-8,1976,6,8,,,,,,,,
chesterdarren2008,Chester,Darren Jeffrey,Darren,,,,1967-9-13,1967,9,13,,,,,,,,
chesterslisa2013,Chesters,Lisa Marie,Lisa,,,,1980-2-11,1980,2,11,,,,,,,,
chifleyben1928,Chifley,Joseph Benedict,Joseph,Ben,,,1885-9-22,1885,9,22,1951-6-13,1951,6,13,1,,,
childjoan1974,Child,Gloria Joan Liles,Gloria,Joan,,,1921-8-3,1921,8,3,2013-2-23,2013,2,23,,,,
chippdon1960,Chipp,Donald Leslie,Donald,Don,,,1925-8-21,1925,8,21,2006-8-28,2006,8,28,,,,
chresbyarthur1958,Chresby,Arthur Albert,Arthur,,,,1908-2-6,1908,2,6,1985-8-25,1985,8,25,,,,
christensengeorge2010,Christensen,George Robert,George,,,,1978-6-30,1978,6,30,,,,,,,,
chynowethrobert1983,Chynoweth,Robert Leslie,Robert,,,,1941-6-7,1941,6,7,,,,,,,,
ciobosteven2001,Ciobo,Steven Michele,Steven,,,,1974-5-29,1974,5,29,,,,,,,,
clarejason2007,Clare,Jason Dean,Jason,,,,1972-3-22,1972,3,22,,,,,,,,
clareypercy1949,Clarey,Percy James,Percy,,,,1890-1-20,1890,1,20,1960-5-17,1960,5,17,,,,
clarkjoseph1934,Clark,Joseph James,Joseph,,,,1897-7-29,1897,7,29,1992-12-9,1992,12,9,,,,
clarkefrancis1901,Clarke,Francis,Francis,,,,1857-3-25,1857,3,25,1939-4-18,1939,4,18,,,https://en.wikipedia.org/wiki/Francis_Clarke,
clasbyjohn1931,Clasby,John Joseph,John,,,,,1891,,,1932-1-15,1932,1,15,,Died before taking seat,,
claylionel1958,Clay,Lionel Daniel,Lionel,,,,,1900,,,1965-4-16,1965,4,16,,,,
claydonsharon2013,Claydon,Sharon Catherine,Sharon,,,,1964-4-26,1964,4,26,,,,,,,,
claytongareth1974,Clayton,Gareth,Gareth,,,,1942-2-3,1942,2,3,2010-7-1,2010,7,1,,,,
clearyphilip1992,Cleary,Philip Ronald,Philip,,,,1952-12-8,1952,12,8,,,,,,Election declared void.,,
cleaverrichard1955,Cleaver,Richard,Richard,,,,1917-8-16,1917,8,16,2006-10-25,2006,10,25,,,,
cleelandpeter1984,Cleeland,Peter Robert,Peter,,,,1938-5-31,1938,5,31,2007-9-16,2007,9,16,,,,
coatesjohn1972,Coates,John,John,,,,1944-3-23,1944,3,23,,,,,,,,
cobbjohn2001,Cobb,John Kenneth,John,,,,1950-2-11,1950,2,11,,,,,,,,
cobbmichael1984,Cobb,Michael Roy,Michael,,,,1945-3-16,1945,3,16,,,,,,,,
cocklejohn1961,Cockle,John Simon,John,,,,1908-9-29,1908,9,29,1966-8-3,1966,8,3,,,,
cohenbarry1969,Cohen,Barry,Barry,,,,1935-4-3,1935,4,3,,,,,,,,
colemandavid2013,Coleman,David Bernard,David,,,,1974-3-5,1974,3,5,,,,,,,,
colemanpercy1922,Coleman,Percy Edmund,Percy,,,,1892-10-20,1892,10,20,1934-5-25,1934,5,25,,,,
colemanwilliam1981,Coleman,William Peter,William,,,,1928-12-15,1928,12,15,,,,,,,https://en.wikipedia.org/wiki/Peter_Coleman,
colesarthur1940,Coles,Arthur William,Arthur,,,,1892-8-7,1892,8,7,1982-6-14,1982,6,14,,,,
collardfrederick1961,Collard,Frederick Walter,Frederick,,,,1912-6-6,1912,6,6,1986-12-1,1986,12,1,,,,
collinsjulie2007,Collins,Julie Maree,Julie,,,,1971-7-3,1971,7,3,,,,,,,,
collinsmaurice1928,Collins,Maurice,Maurice,,,,,1878,,,1945-8-9,1945,8,9,,,,
collinsthomas1931,Collins,Thomas Joseph,Thomas,,,,1886-4-6,1886,4,6,1945-4-15,1945,4,15,,,,
comberjack1961,Comber,Jack,Jack,,,,1919-4-15,1919,4,15,1992-10-23,1992,10,23,,,,
combetgregory2007,Combet,Gregory Ivan,Gregory,,,,1958-4-28,1958,4,28,,,,,,,,
conelanwilliam1939,Conelan,William Patrick,William,,,,1895-12-23,1895,12,23,1983-2-28,1983,2,28,,,,
connollydavid1974,Connolly,David Miles,David,,,,1939-7-20,1939,7,20,,,,,,,,
connorrex1963,Connor,Reginald Francis Xavier,Reginald,Rex,,,1907-1-20,1907,1,20,1977-8-22,1977,8,22,,,,
conquestbryan1984,Conquest,Bryan Joseph,Bryan,,,,1930-7-20,1930,7,20,,,,,,,,
conroyalfred1901,Conroy,Alfred Hugh Beresford,Alfred,,,,1863-4-7,1863,4,7,1920-11-28,1920,11,28,,,,
