uniqueID,DELETE_surname,DELETE_otherNames,DELETE_title,DELETE_commonName,DELETE_earlierOrLaterNames,DELETE_division,DELETE_state,DELETE_dateOfElection,DELETE_party_ORIGINAL_REMOVE,party,partyFrom,partyTo,comment
,,,,,,,,,NAT from 1917,NAT ,17.2.1917,3.10.1925,
bandidthenry1958,Bandidt,Henry Norman Charles,,,,Wide Bay,QLD,22.11.1958,CP,CP,22.11.1958,9.12.1961,
bandtadam2010,Bandt,Adam Paul,,,,Melbourne,VIC,21.8.2010,GRN,GRN,21.8.2010,,
banksjulia2016,Banks,Julia Helen,,,,Chisholm,VIC,2.7.2016,LIB,LIB,2.7.2016,,
barnardherbert1934,Barnard,Herbert Claude,,,,Bass,TAS,15.9.1934,FLP,FLP,15.9.1934,1.1.1936,
,,,,,,,,,ALP from 1936,ALP ,1.1.1936,10.12.1949,
barnardlance1954,Barnard,Lance Herbert,,,,Bass,TAS,29.5.1954,ALP,ALP,29.5.1954,2.6.1975,
barnescharles1958,Barnes,Charles Edward,,,,McPherson,QLD,22.11.1958,CP,CP,22.11.1958,2.11.1972,
barresiphillip1996,Barresi,Phillip Anthony,,,,Deakin,VIC,2.3.1996,LIB,LIB,2.3.1996,24.11.2007,
bartlettkerry1996,Bartlett,Kerry Joseph,,,,Macquarie,NSW,2.3.1996,LIB,LIB,2.3.1996,24.11.2007,
bartonedmund1901,Barton,Edmund,,,Later Sir Edmund,Hunter,NSW,29.3.1901,PROT,PROT,29.3.1901,30.9.1903,
barwickgarfield1958,Barwick,Garfield Edward John,Sir,,,Parramatta,NSW,8.3.1958,LIB,LIB,8.3.1958,24.4.1964,
batcheloregerton1901,Batchelor,Egerton Lee,,,,South Australia,SA,30.3.1901,ALP,ALP,30.3.1901,8.10.1911,
batejeff1949,Bate,Henry Jefferson,,Jeff,,Macarthur,NSW,10.12.1949,LIB,LIB,10.12.1949,1.10.1972,
,,,,,,,,,IND from Oct. 1972,IND,1.10.1972,2.12.1972,
baumemichael1975,Baume,Michael Ehrenfried,,,,Macarthur,NSW,13.12.1975,LIB,LIB,13.12.1975,5.3.1983,
bayleyjames1917,Bayley,James Garfield,,,,Oxley,QLD,5.5.1917,NAT,NAT,5.5.1917,19.12.1931,
bealejulian1984,Beale,Julian Howard,,,,Deakin,VIC,1.12.1984,LIB,LIB,1.12.1984,2.3.1996,
bealeoliver1946,Beale,Oliver Howard,,,,Parramatta,NSW,28.9.1946,LIB,LIB,28.9.1946,10.2.1958,
beardhenry1910,Beard,Henry Elisha,,,,Batman,VIC,13.4.1910,ALP,ALP,13.4.1910,18.12.1910,
beasleyjohn1928,Beasley,John Albert,,,,West Sydney,NSW,17.11.1928,ALP,ALP,17.11.1928,1.1.1931,
,,,,,,,,,LANG LAB from 1931,LANG LAB ,1.1.1931,1.1.1936,
,,,,,,,,,ALP from 1936,ALP ,1.1.1936,1.1.1940,
,,,,,,,,,ALP (N-C) from 1940,ALP (N-C) ,1.1.1940,1.1.1941,
,,,,,,,,,ALP from 1941,ALP ,1.1.1941,14.8.1946,
beatonnoel1960,Beaton,Noel Lawrence,,,,Bendigo,VIC,16.7.1960,ALP,ALP,16.7.1960,9.4.1969,
beazleykim1980,Beazley,Kim Christian,,,,Swan,WA,18.10.1980,ALP,ALP,18.10.1980,17.10.2007,
beazleykim1945,Beazley,Kim Edward,,,,Fremantle,WA,18.8.1945,ALP,ALP,18.8.1945,10.11.1977,
beckarthur1940,Beck,Arthur James,,,,Denison,TAS,21.9.1940,UAP,UAP,21.9.1940,21.8.1943,
beddalldavid1983,Beddall,David Peter,,,,Fadden,QLD,5.3.1983,ALP,ALP,5.3.1983,31.8.1998,
bellgeorge1919,Bell,George John,,,Later Sir George,Darwin,TAS,13.12.1919,NAT,NAT,13.12.1919,1.1.1931,
,,,,,,,,,UAP from 1931,UAP ,1.1.1931,7.7.1943,
bennettadrian1969,Bennett,Adrian Frank,,,,Swan,WA,25.10.1969,ALP,ALP,25.10.1969,13.12.1975,
bennettbenjamin1912,Bennett,Benjamin Holland,,,,Werriwa,NSW,1.6.1912,ALP,ALP,1.6.1912,23.4.1913,
bennettjames1913,Bennett,James,,,,Gippsland,VIC,31.5.1913,LIB,LIB,31.5.1913,5.9.1914,
bensonsamuel1962,Benson,Samuel James,,,,Batman,VIC,1.9.1962,ALP,ALP,1.9.1962,1.8.1966,
,,,,,,,,,IND from Aug. 1966,IND,1.8.1966,29.9.1969,
berinsonjoe1969,Berinson,Joseph Max,,Joe,,Perth,WA,25.10.1969,ALP,ALP,25.10.1969,13.12.1975,
berrydouglas1949,Berry,Douglas Reginald,,,,Griffith,QLD,10.12.1949,LIB,LIB,10.12.1949,29.5.1954,
bestrobert1910,Best,Robert Wallace,Sir,,,Kooyong,VIC,24.8.1910,LIB,LIB,24.8.1910,17.2.1917,
,,,,,,,,,NAT from 1917,NAT ,17.2.1917,16.12.1922,
bevisarchibald1990,Bevis,Archibald Ronald,,,,Brisbane,QLD,24.3.1990,ALP,ALP,24.3.1990,21.8.2010,
bidgoodjames2007,Bidgood,James Mark,,,,Dawson,QLD,24.11.2007,ALP,ALP,24.11.2007,19.7.2010,
billsonbruce1996,Billson,Bruce Fredrick,,,,Dunkley,VIC,2.3.1996,LIB,LIB,2.3.1996,9.5.2016,
bilneygordon1983,Bilney,Gordon Neil,,,,Kingston,SA,5.3.1983,ALP,ALP,5.3.1983,2.3.1996,
birdalan1949,Bird,Alan Charles,,,,Batman,VIC,10.12.1949,ALP,ALP,10.12.1949,21.7.1962,
birdsharon2004,Bird,Sharon Leah,,,,Cunningham,NSW,9.10.2004,ALP,ALP,9.10.2004,,
birneyreginald1975,Birney,Reginald John,,,,Phillip,NSW,13.12.1975,LIB,LIB,13.12.1975,5.3.1983,
birrellfrederick1963,Birrell,Frederick Ronald,,,,Port Adelaide,SA,30.11.1963,ALP,ALP,30.11.1963,11.4.1974,
bishopbronwyn1994,Bishop,Bronwyn Kathleen,,,,Mackellar,NSW,26.3.1994,LIB,LIB,26.3.1994,9.5.2016,
bishopjulie1998,Bishop,Julie Isabel,,,,Curtin,WA,3.10.1998,LIB,LIB,3.10.1998,,
blackburndoris1946,Blackburn,Doris Amelia,,,,Bourke,VIC,28.9.1946,IND LAB,IND LAB,28.9.1946,10.12.1949,
blackburnmaurice1934,Blackburn,Maurice McCrae,,,,Bourke,VIC,15.9.1934,FLP,FLP,15.9.1934,1.1.1937,
,,,,,,,,,ALP from 1937,ALP ,1.1.1937,1.1.1941,
,,,,,,,,,IND LAB from 1941,IND LAB ,1.1.1941,21.8.1943,
blacklowarchibald1931,Blacklow,Archibald Clifford,,,,Franklin,TAS,19.12.1931,UAP,UAP,19.12.1931,15.9.1934,
blackwoodrobert1903,Blackwood,Robert Officer,,,,Riverina,NSW,16.12.1903,FT,FT,16.12.1903,13.4.1904,
blainadair1934,Blain,Adair Macalister,,,,Northern Territory,NT,15.9.1934,IND,IND,15.9.1934,10.12.1949,
blakeleyarthur1917,Blakeley,Arthur,,,,Darling,NSW,5.5.1917,ALP,ALP,5.5.1917,1.1.1931,
,,,,,,,,,FLP from 1931,FLP ,1.1.1931,15.9.1934,
blanchardcecil1983,Blanchard,Cecil Allen,,,,Moore,WA,5.3.1983,ALP,ALP,5.3.1983,24.3.1990,
blandfrancis1951,Bland,Francis Armand,,,,Warringah,NSW,28.4.1951,LIB,LIB,28.4.1951,2.11.1961,
blewettneal1977,Blewett,Neal,,,,Bonython,SA,10.12.1977,ALP,ALP,10.12.1977,11.2.1994,
blundellreginald1919,Blundell,Reginald Pole,,,,Adelaide,SA,13.12.1919,NAT,NAT,13.12.1919,16.12.1922,
bluntcharles1984,Blunt,Charles William,,,,Richmond,NSW,18.2.1984,NPA,NPA,18.2.1984,24.3.1990,
bonnettrobert1966,Bonnett,Robert Noel,,,,Herbert,QLD,26.11.1966,LIB,LIB,26.11.1966,10.11.1977,
bonythonjohn1901,Bonython,John Langdon,Sir,,,South Australia,SA,30.3.1901,PROT,PROT,30.3.1901,5.11.1906,
bosmanleonard1963,Bosman,Leonard Lewis,,,,St George,NSW,30.11.1963,LIB,LIB,30.11.1963,25.10.1969,
bostockwilliam1949,Bostock,William Dowling,,,,Indi,VIC,10.12.1949,LIB,LIB,10.12.1949,22.11.1958,
bourchierjohn1972,Bourchier,John William,,,,Bendigo,VIC,2.12.1972,LIB,LIB,2.12.1972,5.3.1983,
bourkewilliam1949,Bourke,William Meskill,,,,Fawkner,VIC,10.12.1949,ALP,ALP,10.12.1949,1.4.1955,
,,,,,,,,,ALP (A-C) from April 1955,ALP (A-C) ,1.4.1955,10.12.1955,
bowdeneric1906,Bowden,Eric Kendall,,,,Nepean,NSW,12.12.1906,ANTI-SOC,ANTI-SOC,12.12.1906,13.4.1910,
,,,,,,Nepean,NSW,13.12.1919,NAT,NAT,13.12.1919,16.12.1922,
bowdengeorge1943,Bowden,George James,,,,Gippsland,VIC,21.8.1943,CP,CP,21.8.1943,2.11.1961,
bowenchristopher2004,Bowen,Christopher Eyles,,,,Prospect,NSW,9.10.2004,ALP,ALP,9.10.2004,,
bowenlionel1969,Bowen,Lionel Frost,,,,Kingsford-Smith,NSW,25.10.1969,ALP,ALP,25.10.1969,19.2.1990,
bowennigel1964,Bowen,Nigel Hubert,,,,Parramatta,NSW,20.6.1964,LIB,LIB,20.6.1964,11.7.1973,
boydjames1913,Boyd,James Arthur,,,,Henty,VIC,31.5.1913,LIB,LIB,31.5.1913,17.2.1917,
,,,,,,,,,NAT from 1917,NAT,17.2.1917,13.12.1919,
bradburydavid2007,Bradbury,David John,,,,Lindsay,NSW,24.11.2007,ALP,ALP,24.11.2007,7.9.2013,
braddonedward1901,Braddon,Edward Nicholas Coventry,Sir,,,Tasmania,TAS,29.3.1901,FT,FT,29.3.1901,2.2.1904,
bradfieldjames1975,Bradfield,James Mark,,,,Barton,NSW,13.12.1975,LIB,LIB,13.12.1975,5.3.1983,
bradfordjohn1990,Bradford,John Walter,,,,McPherson,QLD,24.3.1990,LIB,LIB,24.3.1990,1.4.1998,
,,,,,,,,,CDP from April 1998,CDP ,1.4.1998,3.10.1998,
braithwaiteray1975,Braithwaite,Raymond Allen,,Ray,,Dawson,QLD,13.12.1975,NCP,NCP,13.12.1975,1.10.1982,
,,,,,,,,,NPA from Oct. 1982,NPA ,1.10.1982,29.1.1996,
brandwilliam1954,Brand,William Alfred,,,,Wide Bay,QLD,29.5.1954,CP,CP,29.5.1954,14.10.1958,
breenjohn1940,Breen,John Patrick,,,,Calare,NSW,21.9.1940,ALP,ALP,21.9.1940,28.9.1946,
brennanfrank1911,Brennan,Frank,,,,Batman,VIC,8.2.1911,ALP,ALP,8.2.1911,19.12.1931,
,,,,,,Batman,VIC,15.9.1934,FLP,FLP,15.9.1934,1.1.1936,
,,,,,,,,,ALP from 1936,ALP ,1.1.1936,31.10.1949,
breretonlaurence1990,Brereton,Laurence John,,,,Kingsford-Smith,NSW,24.3.1990,ALP,ALP,24.3.1990,31.8.2004,
bridgesmaxwellcrawford1964,Bridges-Maxwell,Crawford William,,,,Robertson,NSW,5.12.1964,LIB,LIB,5.12.1964,25.10.1969,
briggsjamie2008,Briggs,Jamie Edward,,,,Mayo,SA,6.9.2008,LIB,LIB,6.9.2008,2.7.2016,
brimblecombewilfred1951,Brimblecombe,Wilfred John,,,,Maranoa,QLD,28.4.1951,CP,CP,28.4.1951,31.10.1966,
broadandrew2013,Broad,Andrew John,,,,Mallee,VIC,7.9.2013,NP,NP,7.9.2013,,
broadbentrussell1990,Broadbent,Russell Evan,,,,Corinella,VIC,24.3.1990,LIB,LIB,24.3.1990,,
brodtmanngai2010,Brodtmann,Gai Marie,,,,Canberra,ACT,21.8.2010,ALP,ALP,21.8.2010,,
broughmalcolm1996,Brough,Malcolm Thomas,,,,Longman,QLD,2.3.1996,LIB,LIB,2.3.1996,9.5.2016,
browngeoffrey1949,Brown,Geoffrey William,,,,McMillan,VIC,10.12.1949,LIB,LIB,10.12.1949,14.10.1955,
brownjohn1977,Brown,John Joseph,,,,Parramatta,NSW,10.12.1977,ALP,ALP,10.12.1977,19.2.1990,
brownjoseph1906,Brown,Joseph Tilley,,,,Indi,VIC,12.12.1906,ANTI-SOC,ANTI-SOC,12.12.1906,13.4.1910,
brownneil1969,Brown,Neil Anthony,,,,Diamond Valley,VIC,25.10.1969,LIB,LIB,25.10.1969,25.2.1991,
brownbob1980,Brown,Robert James,,Bob,,Hunter,NSW,18.10.1980,ALP,ALP,18.10.1980,31.8.1998,
brownthomas1901,Brown,Thomas,,,,Canobolas,NSW,29.3.1901,ALP,ALP,29.3.1901,31.5.1913,
brownbillkay1966,Brownbill,Kay Cathrine Millin,,,,Kingston,SA,26.11.1966,LIB,LIB,26.11.1966,25.10.1969,
brownepeter1958,Browne,Peter Grahame,,,,Kalgoorlie,WA,22.11.1958,LIB,LIB,22.11.1958,9.12.1961,
brucehenry1951,Bruce,Henry Adam,,,,Leichhardt,QLD,28.4.1951,ALP,ALP,28.4.1951,11.10.1958,
brucestanley1918,Bruce,Stanley Melbourne,,,,Flinders,VIC,11.5.1918,NAT,NAT,11.5.1918,12.10.1929,
,,,,,,Flinders,VIC,19.12.1931,UAP,UAP,19.12.1931,11.11.1933,
brumbyjohn1983,Brumby,John Mansfield,,,,Bendigo,VIC,5.3.1983,ALP,ALP,5.3.1983,24.3.1990,
bryantgordon1955,Bryant,Gordon Munro,,,,Wills,VIC,10.12.1955,ALP,ALP,10.12.1955,19.9.1980,
brysonwilliam1943,Bryson,William George,,,,Bourke,VIC,21.8.1943,ALP,ALP,21.8.1943,1.4.1955,
,,,,,,,,,ALP (A-C) from April 1955,ALP (A-C) ,1.4.1955,10.12.1955,
buchananalexander1955,Buchanan,Alexander Andrew,,,,McMillan,VIC,10.12.1955,LIB,LIB,10.12.1955,1.11.1972,
,,,,,,,,,IND from Nov. 1972,IND,1.11.1972,2.12.1972,
buchholzscott2010,Buchholz,Scott Andrew,,,,Wright,QLD,21.8.2010,LIB,LIB,21.8.2010,,
bungeymelville1974,Bungey,Melville Harold,,,,Canning,WA,18.5.1974,LIB,LIB,18.5.1974,5.3.1983,
burchellreginald1913,Burchell,Reginald John,,,,Fremantle,WA,31.5.1913,ALP,ALP,31.5.1913,17.2.1917,
,,,,,,,,,NAT from 1917,NAT ,17.2.1917,6.11.1922,
burkeanna1998,Burke,Anna Elizabeth,,,,Chisholm,VIC,3.10.1998,ALP,ALP,3.10.1998,9.5.2016,
burkeanthony2004,Burke,Anthony Stephen,,,,Watson,NSW,9.10.2004,ALP,ALP,9.10.2004,,
burkethomas1943,Burke,Thomas Patrick,,,,Perth,WA,21.8.1943,ALP,ALP,21.8.1943,10.12.1955,
burneylinda2016,Burney,Linda Jean,,,,Barton,NSW,2.7.2016,ALP,ALP,2.7.2016,,
burnsgeorge1913,Burns,George Mason,,,,Illawarra,NSW,31.5.1913,ALP,ALP,31.5.1913,5.5.1917,
burnswilliam1977,Burns,William George,,,,Isaacs,VIC,10.12.1977,LIB,LIB,10.12.1977,18.10.1980,
burrmax1975,Burr,Maxwell Arthur,,Max,,Wilmot,TAS,13.12.1975,LIB,LIB,13.12.1975,8.2.1993,
buryleslie1956,Bury,Leslie Harry Ernest,,,,Wentworth,NSW,8.12.1956,LIB,LIB,8.12.1956,11.4.1974,
butlermark2007,Butler,Mark Christopher,,,,Port Adelaide,SA,24.11.2007,ALP,ALP,24.11.2007,,
butlerterri2014,Butler,Terri Megan,,,,Griffith,QLD,8.2.2014,ALP,ALP,8.2.2014,,
byrneanthony1999,Byrne,Anthony Michael,,,,Holt,VIC,6.11.1999,ALP,ALP,6.11.1999,,
cadmanalan1974,Cadman,Alan Glyndwr,,,,Mitchell,NSW,18.5.1974,LIB,LIB,18.5.1974,17.10.2007,
cairnsjim1955,Cairns,James Ford,,Jim,,Yarra,VIC,10.12.1955,ALP,ALP,10.12.1955,10.11.1977,
cairnskevin1963,Cairns,Kevin Michael,,,,Lilley,QLD,30.11.1963,LIB,LIB,30.11.1963,18.10.1980,
calderstephen1966,Calder,Stephen Edward,,,,Northern Territory,NT,26.11.1966,CP,CP,26.11.1966,1.5.1975,
,,,,,,,,,NCP from May 1975,NCP ,1.5.1975,19.9.1980,
calwellarthur1940,Calwell,Arthur Augustus,,,,Melbourne,VIC,21.9.1940,ALP,ALP,21.9.1940,2.11.1972,
cameronarchie1934,Cameron,Archie Galbraith,,,,Barker,SA,15.9.1934,CP,CP,15.9.1934,1.1.1944,
,,,,,,,,,LIB from 1944,LIB ,1.1.1944,1.1.1951,
,,,,,,,,,LCL from 1951,LCL ,1.1.1951,1.1.1954,
,,,,,,,,,LIB from 1954,LIB ,1.1.1954,9.8.1956,
cameronclyde1949,Cameron,Clyde Robert,,,,Hindmarsh,SA,10.12.1949,ALP,ALP,10.12.1949,19.9.1980,
camerondonaldalastair1949,Cameron,Donald Alastair,,Donald Alastair,,Oxley,QLD,10.12.1949,LIB,LIB,10.12.1949,9.12.1961,
camerondonaldcharles1919,Cameron,Donald Charles,,Donald Charles,Later Sir Donald,Brisbane,QLD,13.12.1919,NAT,NAT,13.12.1919,19.12.1931,
camerondonaldjames1961,Cameron,Donald James,,Donald James,,Lilley,QLD,9.12.1961,ALP,ALP,9.12.1961,30.11.1963,
camerondonaldmilner1966,Cameron,Donald Milner,,Donald Milner,,Griffith,QLD,26.11.1966,LIB,LIB,26.11.1966,24.3.1990,
camerondonaldnorman1901,Cameron,Donald Norman,,Donald Norman,,Tasmania,TAS,29.3.1901,FT,FT,29.3.1901,12.12.1906,
cameroneoin1993,Cameron,Eoin Harrap,,,,Stirling,WA,13.3.1993,LIB,LIB,13.3.1993,3.10.1998,
cameronewen1977,Cameron,Ewen Colin,,,,Indi,VIC,10.12.1977,LIB,LIB,10.12.1977,8.2.1993,
cameronian1980,Cameron,Ian Milne Dixon,,,,Maranoa,QLD,18.10.1980,NCP,NCP,18.10.1980,1.10.1982,
,,,,,,,,,NPA from Oct. 1982,NPA ,1.10.1982,19.2.1990,
cameronmalcolm1922,Cameron,Malcolm Duncan,,,,Barker,SA,16.12.1922,LIB,LIB,16.12.1922,1.1.1925,
,,,,,,,,,NAT from 1925,NAT ,1.1.1925,1.1.1931,
,,,,,,,,,UAP from 1931,UAP ,1.1.1931,7.8.1934,
cameronross1996,Cameron,Ross Alexander,,,,Parramatta,NSW,2.3.1996,LIB,LIB,2.3.1996,9.10.2004,
campbellgraeme1980,Campbell,Graeme,,,,Kalgoorlie,WA,18.10.1980,ALP,ALP,18.10.1980,1.12.1995,
,,,,,,,,,IND from Dec. 1995,IND,1.12.1995,3.10.1998,
campbelljodie2007,Campbell,Jodie Louise,,,,Bass,TAS,24.11.2007,ALP,ALP,24.11.2007,19.7.2010,
canngeorge1910,Cann,George,,,,Nepean,NSW,13.4.1910,ALP,ALP,13.4.1910,31.5.1913,
carigecolin1975,Carige,Colin Lawrence,,,,Capricornia,QLD,13.12.1975,NCP,NCP,13.12.1975,10.12.1977,
carltonjim1977,Carlton,James Joseph,,Jim,,Mackellar,NSW,10.12.1977,LIB,LIB,10.12.1977,14.1.1994,
carpenterwilliam1903,Carpenter,William Henry,,,,Fremantle,WA,16.12.1903,ALP,ALP,16.12.1903,12.12.1906,
carrernest1906,Carr,Ernest Shoobridge,,,,Macquarie,NSW,12.12.1906,ALP,ALP,12.12.1906,1.2.1917,
,,,,,,,,,NAT from Feb. 1917,NAT ,1.2.1917,5.5.1917,
caseyrichard1931,Casey,Richard Gardiner,,,,Corio,VIC,19.12.1931,UAP,UAP,19.12.1931,30.1.1940,
,,,,,,La Trobe,VIC,10.12.1949,LIB,LIB,10.12.1949,9.4.1960,
cashearl1958,Cash,Earl Douglas,,,,Stirling,WA,22.11.1958,LIB,LIB,22.11.1958,9.12.1961,
cassmoss1969,Cass,Moses Henry,,Moss,,Maribyrnong,VIC,25.10.1969,ALP,ALP,25.10.1969,4.2.1983,
catleyrobert1990,Catley,Robert,,,,Adelaide,SA,24.3.1990,ALP,ALP,24.3.1990,13.3.1993,
cattsjames1906,Catts,James Howard,,,,Cook,NSW,12.12.1906,ALP,ALP,12.12.1906,16.12.1922,
causleyian1996,Causley,Ian Raymond,,,,Page,NSW,2.3.1996,NPA,NPA,2.3.1996,1.10.2003,
,,,,,,,,,NP from Oct. 2003,NP ,1.10.2003,17.10.2007,
chalmersjames2013,Chalmers,James Edward,,,,Rankin,QLD,7.9.2013,ALP,ALP,7.9.2013,,
