text,line_type
to come into operation from today. I con-     tial increase in the Embassy's. staffing over,both
sider it appropriate that some retrospec-     the intervening period since we first,both
"tive effect be given to the measure, to       occupied the present chancery. Conse-",both
ensure that advantage is not taken of the     quently more than half of the Embassy,both
gap before the Bill becomes law.              staff are housed in expensive leased office,both
accommodation. There is an urgent need,both
I present the explanatory memorandum       for a new chancery to accommodate all,both
"to this Bill, and commend the Bill to the     the Embassy functions in a country which",both
House.                                        is arguably one of our most important,both
neighbours. The main elements of the,both
Debate (on motion by Mr Jull) ad-           proposal are:,both
journed.,firstColumnOnly
                                                   a four level chancery building;,secondColumnOnly
                                                   recreation facilities to replace similar,secondColumnOnly
                                                   facilities at the present chancery site;,secondColumnOnly
                                                   and,secondColumnOnly
                                                   staff and visitor car parking.,secondColumnOnly
                                                The design of the buildings has regard,secondColumnOnly
"to climate and local building practice, and",both
Nursing Hames  2.1 December 1990 REPRESENTATIVES 4895,pageBreak
,lineBreak
"is based on simple construction tech-                     - ""Exempt Bed"" means a bed in respect of",both
niques. Australian Construction Services                     which exempt status has been granted pur-,both
will produce an initial concept design on                    suant to section 39AB of the Act.,both
which selected construction firms will,firstColumnOnly
"tender for completion of the documenta-                   - ""Minister"" means the Minister responsible",both
tion and construction. The opportunity                       for the administration of the Act.,both
has been given to Australian building con-,firstColumnOnly
"struction firms with substantial interests                - ""Overall Management"" includes residents'",both
"in Jakarta to prequalify for the project.                    rights and responsibilities, house rules,",both
"Local materials and building technology                      standards of behaviour, privacy matters,",both
will be utilised wherever possible but                       and any other- matters that residents and,both
where imported materials and equipment                       management agree should be included.,both
"are required, emphasis will be given to",firstColumnOnly
"importing items of Australian origin. The                 - ""Reprisal"" includes termination or threat-",both
"estimated cost of the proposed work in-                      ened termination of this Agreement, re-",both
"cluding consultants' fees is $13.2m at July                  striction of any rights, restriction of access",both
1990 prices.                                                 to activities inside or outside the nursing,both
                                                             home and punishment of any sort includ-,secondColumnOnly
I table outline plans of the proposed                      ing the deprivation or withdrawal of any,both
work and commend the motion to the                           service or privilege or the limiting of a,both
House.                                                       service or privilege or the reduction of a,both
"                                                             standard of service, but does not include",secondColumnOnly
Question resolved in the affirmative.                      provision of additional services or better,both
                                                             accommodation to an exempt resident than,secondColumnOnly
NURSING HOMES                                   that which is given to a non-exempt resi-,both
Form of Agreement                             dent.,both
Message received from the Senate inti-,firstColumnOnly
"mating that, in accordance with subsec-                   - ""Resident"" has the same meaning as",both
"tion 40AAl3j5) of the National Health Act                    ""qualified nursing home patient"" defined",both
"1953, the Senate has approved the form                       in the Act and includes where appropriate",both
"of agreement between residents and pro-                      her/his legally appointed attorney, guard-",both
"prietors of approved nursing homes, pre-                     ian, manager or next of kin nominated by",both
sented to the Senate on 18 September                         the resident.,both
"1990, with amendments.",firstColumnOnly
"Ordered that the amendments be taken                    - ""Rules of the Nursing Home"" mean the",both
into consideration in Committee of the                       house rules as adopted or amended from,both
Whole House forthwith.                                       time to time.,both
,lineBreak
"In Committee                           - ""Secretary"" means the Secretary to the",both
Senate amendments-                                         Department.,both
"No. I-INTERPRETATION, delete the clause",firstColumnOnly
"under this heading, substitute the following:             - ""Standards for Nursing Home Care"" means",both
                                                             standards prescribed by the Minister in the,secondColumnOnly
INTERPRETATION                                          Commonwealth of Australia Gazette under,both
The Charter of Residents' Rights and Re-                the Act and which are commonly known,both
sponsibilities is Schedule I to this Agreement          as Outcome Standards.,both
and this Agreement shall be interpreted so as,both
"to accord with the principles contained in           - ""The Act"" means the National Health Act",both
that Charter.                                           1953 as amended from time to time in-,both
In this Agreement unless the contrary inten-            cluding amendments made after the date,both
tion appears:                                           of this Agreement.,both
"- ""Department"" means the Department of",firstColumnOnly
"                                                          - ""The-proprietor"" means the proprietor",secondColumnOnly
State of the Commonwealth that is admin-             from time to time of the . . . nursing,both
istered by the Minister for the time being           home.,both
administering the Act or as otherwise de-,both
"fined.                                            --Words, terms and expressions used have",both
                                                             the same meaning as in the Act.,secondColumnOnly
,lineBreak
"                                                       No.2-INTERPRETATION, after ""principles",secondColumnOnly
"                                                     contained in that Charter."", insert as a new sec-",secondColumnOnly
                                                     ond paragraph:,secondColumnOnly
,lineBreak
"                                                          ""This Agreement is not intended to put a",secondColumnOnly
                                                          proprietor in a position where she or he is,secondColumnOnly
"                                                          condoning a particular choice of the resident,",secondColumnOnly
"                                                          rather it upholds the resident's right to, of",secondColumnOnly
"                                                          her or his own free will, make that choice."".",secondColumnOnly
"                                                       No.3-Subclause 1.1, after ""on"", insert ""and",secondColumnOnly
"                                                     from"".",secondColumnOnly
4896 REPRESENTATIVES 21 December 1990                     Nursing Homes,pageBreak
,lineBreak
"No.4-Subclause 1.3, after ""signed"", insert                          perusal and copying by the resident and",both
"""or after the day on"" which the resident moved                        his/her advocate."".",both
"into the nursing home.,whichever is the earlier,"".          No. 16-Paragraph 5.1 (d), omit ""Depart-",both
"                                                          ment"", substitute ""Secretary"".",secondColumnOnly
"No.5-Paragraph 1.3 (b), after ""resident con-              No. 17-Subclause 5.2, after ""facilities and",both
"tribution"", insert ""and extra charges as levied in        goods"" (second occurring), insert "", plus any ac-",both
"accordance with clause 5"".                                tual delivery costs charged by an external sup-",both
"                                                          plier,"".",secondColumnOnly
"No.6-Paragraph 1.3 (c), after ""resident con-              No. 18-After subclause 5.2, insert the follow-",both
"tribution"". insert ""and ext~a charges as levied in        ing subclauses:",both
"accordance with clause 5"" and omit ""is"", substi-               ""5.3 The services, facilities and goods re-",both
"tute ""are"".                                                           quested by the resident in accordance",both
                                                                      with the Act shall be freely requested,secondColumnOnly
"No. 7- Paragraph 3.1 (b), omit ""and"" (last                          without any undue influence from the",both
"occurring) and paragraph 3.1 (c), omit ""."", sub-                      proprietor.",both
"stitute ""; and"".                                                 5.4 The resident shall have the right to re-",both
                                                                      quest a review of his/her extra charges,secondColumnOnly
"No.8-After paragraph 3.1 (c), add the follow-                       at any time."".",both
"ing paragraph:                                              No. 19-5ubclause 5.3, omit ""5.3"", substitute",both
"                                                          ""5.5"".",secondColumnOnly
"""(d) where there is a residents' committee             No. 20-Clause 6, omit the clause, substitute",both
that wishes to be involved in the prep-       the following clause:,both
"aration or amendment of the rules then             ""6. FREEDOM FROM ABUSE AND",both
the proprietor shall develop or amend                   REPRISAL,both
the rules to reach agreement with the              6.1 The proprietor shall not:,both
"committee. Failing agreement the resi-             (a) inflict on the resident physical abuse,",both
"dent or the proprietor may take the                      assault, wrongful confinement, mental or",both
"matter to the internal disputes commit-                  emotional abuse oJ.. exploitation, cruel,",both
"tee under Clause 23."".                                   inhumane, degrading or humiliating",both
                                                                     treatment;,secondColumnOnly
"No.9-At end of Clause 3, add the following                   (b) exploit the property of the resident;",both
"subclause:                                                     (c) harass, victimise, punish or inflict re-",both
"                                                                    prisal on, the resident; or",secondColumnOnly
"""3.2 The proprietor has an obligation to bring            (d) neglect or abandon the resident.",both
to the attention of the resident the rules of             6.2 The proprietor shall use the proprietor's,both
"the nursing home."".                                            best endeavours to ensure that the resi-",both
"No. to-Subclause 4.1, after ""shall provide to                     dent is not subjected to treatment of the",both
"the resident"", insert ""nursing home"", omit the                      kind described in paragraphs 6.1 (a), (b),",both
"comma after ""care,"" and after ""care"", insert                        (c) and (d) by any third party whilst the",both
"""and"".                                                              resident is present in the nursing home."".",both
"No. ll-Paragraph 4.1 (b), omit ""to the stand-             No. 21-Clause 7, omit the clause, substitute",both
"ard"", substitute ""not less than the standard"".            the following clause:",both
"No. 12-Paragraph 4.1 (b), after ""Agreement"",                 ""7. PRIVACY",both
"omit ""."", substitute ""; and"".                                  7.1 The proprietor shall not unlawfully ot",both
"No. 13-Afterparagraph 4.1 (b), add the fol-                       arbitrarily infringe upon the personal",both
lowing paragraph:                                                   privacy of the resident in the resident's,both
"(c) which, subject to paragraph 21 .3(a), are                  personal space, personal records, per-",both
"                                                                    sonal possessions, personal relationships",secondColumnOnly
"appropriate to the resident's needs."".                    or personal communications.",both
"No. 14-Subclause 4.2, omit ""other"" and omit                  7.2 The proprietor shall use the proprietor's",both
"all words after ""Clause 5"", insert ""and the pro-                    best endeavours to ensure that third par-",both
"prietor shall set out a list of the services, facilities            ties do not infringe upon the personal",both
and goods ordered by the resident in a document                     privacy of the resident in the matters,both
which shall then be attached to the Agreement                       specified in subclause 7.1.,both
and shall be amended from time to time to reflect              7.3 The proprietor shall not unlawfully or,both
"the changing requirements of the resident."".                        arbitrarily infringe upon the personal",both
"No. 15-At end of clause 4, add the following                      privacy of the resident in the personal",both
subclause:,firstColumnOnly
,lineBreak
"""4.3 This Agreement, the Charter of Resi-",firstColumnOnly
"dents' Rights and Responsibilities, any",both
explanatory notes or materials issued,both
by the Department or the Minister re-,both
lating to the Agreement or Charter and,both
a copy of the Standards applicable to,both
nursing homes made by the Minister,firstColumnOnly
under section 45D of the Act shall be,both
available within the nursing home for,both
Nursing Hames                            21 December 1990 REPRESENTATIVES 4897,pageBreak
,lineBreak
"care of the resident and information                              No. 32-Subclause 10.7, omit ""and"" (wherever",both
"about the resident's condition and care                        occurring), substitute ""or"".",both
that is in the possession of the proprietor,firstColumnOnly
"shall be kept confidential by the pro-                            No. 33-Subclause 10.8, omit ""caused or ag-",both
"prietor."".                                                     gravated to themselves"", substitute ""aggravated",both
"                                                               or caused to the resident"".",secondColumnOnly
"No. 22-Subclause 8.1, omit ""by those in, and",firstColumnOnly
"coming into the nursing home"" and omit ""to""                       No. 34-Subclause 10.9, omit ""except in an",both
"after ""an individual and"".                                     emergency"", substitute ""subject to subclause",both
"                                                               10.7"".",secondColumnOnly
"No. 23-Subclause 8.2, omit ""decision"", sub-",firstColumnOnly
"stitute ""decision-making"".                                        No. 35-Subclause 11.1, omit ""decision"", sub-",both
"                                                               stitute ""decisions"".",secondColumnOnly
"No. 24-Subclause 8.2, omit ""actions are likely",both
"to seriously endanger or harm others or unless                    No. 36-Subclause. 11.1, after ""concerning"",",both
"there is a bona fide medical need for such restric-            insert ""her/his"".",both
"tion certified by a medical practitioner"", substi-",both
"tute ""prevention or restriction is lawful, including              No. 37-Subclause 11.2, after ""property"", in-",both
"on medical grounds"".                                           sert "", subject to the reasonable space constraints",both
"                                                               of the nursing home"".",secondColumnOnly
"No. 25-Subclause 8.3, omit ""has"" after",firstColumnOnly
"""treated with respect, and"", substitute ""have"".                   No. 38-Subclause 12.5, after ""support"", insert",both
"                                                               ""independent of the nursing home"" and after",secondColumnOnly
"No. 26-Subclause 8.3, after ""nursing home                    ""requires"", insert ""at her/his own cost"".",both
"staff and other residents"", insert "". This-sub-",firstColumnOnly
"clause is not breached by any action by a reli-                   No. 39-Clause 13, after ""all other residents",both
"gious body operating a nursing home that is taken              of the nursing home"", insert "", as far as she/he",both
"in good faith in accordance with the doctrines,                is capable,"".",both
"tenets, beliefs or teachings of the religion of that",both
"religious body, being an action taken in good                     No. 40-Paragraph 15.1 (b), omit ""and/or"".",both
"faith in order to avoid injury to the religious                   No. 41-After paragraph 15.1 (c), add the fol-",both
"susceptibilities of adherents of that religion."".              lowing words and paragraph:",both
,lineBreak
"No. 27-Subclause 9.3, after ""birth or other                       ""; and/or",both
"status."", insert ""This subclause is not breached                    (d) where a move is necessary to facilitate",both
by an action by a religious body operating a,firstColumnOnly
"nursing home that is taken in good faith in ac-                          carrying out works on the premises."".",both
"cordance with the doctrines, tenets, beliefs or                   No. 42-Subclause 15.3, omit everything after",both
"teachings of the religion of that religious body,              ""proprietor"" (second occurring), substitute "". In",both
being an action taken in good faith in order to                the event of no mutual agreement between the,both
avoid injury to the religious susceptibilities of              proprietor and the resident about the proposed,both
"adherents of that religion."".                                  move, the proprietor may still move the resident,",both
                                                               provided there is a bona fide medical or other,secondColumnOnly
"No. 28-Clause 10, after ""The resident has the                care need for the move as assessed and certified",both
"right"", insert ""to"".                                           by a medical practitioner independent of the",both
                                                               nursing home or a health professional from a,secondColumnOnly
"No. 29-Subclause 10.1, omit ""except on the                   Geriatric Assessment Team agreed to by the res-",both
"ground of medical necessity"", substitute ""unless               ident. If the resident fails or is unable to agree to",both
"permitted by law"".                                             the appointment of such practitioner or health",both
                                                               professional within seven (7) days of the propri-,secondColumnOnly
"No. 30-Subclause 10.2, before ""have access                     etor proposing the move of bed location to the",both
"to medical"", insert ""subject to the following,""                resident, the proprietor may arrange for the as-",both
"and after ""services  of her/his  ocfhaoincuer""~inogmhito""~'""~  sessment in the absence of the resident's agree-",both
"insert "". Where the  proprietor                                ment, provided such assessment is carried out by",both
is a religious body the proprietor may-                        a medical practitioner independent of the nursing,both
                                                               home or a health professional from a Geriatric,secondColumnOnly
"(a) bring to the attention of the resident and                 Assessment Team."".",both
"of any medical practitioner seeking to                       No. 43-Subclause 15.4, omit ""has become""",both
"practice in the nursing home the doc-                      after ""on which the nursing home"", substitute",both
"trines, tenets, beliefs and teachings of the               ""became"".",both
"religious body; and                                          No. 44-Subclause 16.1, omit ""as set out by",both
                                                               the Department less any amount the Common-,secondColumnOnly
"(b) with the consent of the resident, require                  wealth pays"", substitute ""as determined from time",both
any medical practitioner chosen by the                     to time by the Secretary less any amount the,both
"resident to agree to respect and observe                   Commonwealth pays"".",both
"the philosophy of the religious body when                   No. 45-Subclause 16.2, omit ""developed"",",both
"practising her/his profession within the                   substitute ""supplied"".",both
"nursing home;"".",firstColumnOnly
,lineBreak
"No. 31-Subclause 10.3, omit ""themselves"",",firstColumnOnly
"substitute ""herself/himself', and omit ""they are"",",both
"substitute ""the resident is"".",firstColumnOnly
4898 REPRESENTATIVES 21 December 1990                    Nursing Homes,pageBreak
,lineBreak
"No. 46-Subclause 16.3, omit the subclause,             property lawfully in the nursing home or on the",both
"substitute the following subclause:                      land on which the nursing home is situated"".",both
,lineBreak
"""6.3 The proprietor will give the resident at         No. 61-Subclause 21.3, omit paragraph (g),",both
least once each month a statement of         substitute the following paragraph:,both
account which includes items showing,both
"the amounts of moneys paid by the                 ""(g) the resident is absent from the nursing",both
resident or on the resident's behalf to                 home for seven (7) days and the absence,both
the proprietor during the period to                     is not authorised by or under the Act,both
which the statement relates and which                   and the absence is not the result of an,both
sets out the purpose for which each                     emergency and the resident and propri-,both
"payment was made. "".                                    etor have not agreed on a fee to main-",both
                                                                    tain a bed location for the resident,secondColumnOnly
"No. 47-Clause 17, omit ""approved by the                           outside the leave provisions of the Act;"".",both
"Department"" (wherever occurring), substitute",firstColumnOnly
"""approved by the Secretary or the Minister as              No. 62-Subclause 21.4, omit ""except in re-",both
"the case may be"".                                        spect of paragraph 21.3 (g)"".",both
,lineBreak
"No. 48-Subparagraph 17 (a) (iii), omit all               No. 63-Subclause 21.4, omit ""time in"" after",both
"words after ""nursing home"", insert ""shall be set         ""Notice must set out the"", and substitute ""period",both
"out in a document by the proprietor and shall            within"". Omit ""time"" in the second sentence of",both
"then be attached to the Agreement;"".                     this subclause, substitute ""period"".",both
,lineBreak
"No. 49-Subparagraph 17 (a) (iii), omit ""the              No. 64-Paragraph 21.4 (c), omit ""or"" and",both
"Department"", substitute ""the Secretary or the            paragraph 21.4 (d), omit ""."", 'substitute ""or"".",both
"Minister as the case may be"".",firstColumnOnly
"                                                           No. 65-After paragraph 21.4 (d), add the fol-",secondColumnOnly
"No. 50-Paragraph 17 (b), omit ""to pay the              lowing paragraph:",both
"higher exempt bed resident contribution"", substi-",both
"tute ""to pay the relevant exempt bed resident                 ""(e) in no less than fourteen (14) days in",both
contribution approved by the Secretary or the                       respect of 21.3 (g) and the proprietor,both
"Minister as the case may be."".                                      agrees to take all reasonable steps to",both
"                                                                    contact the resident."".",secondColumnOnly
"No. 51-,-Subparagraph 17 (b) (i), omit ""the""",firstColumnOnly
"after ""grant of exempt status"".                            No. 66-Subclause 21.6, omit ""time"" after",both
"                                                         ""within the specified"", substitute ""period"".",secondColumnOnly
"No. 52-Subparagraph 17 (b) (ii), omit ""the""",firstColumnOnly
"after ""to do so then"".                                     No. 67-Subclause 21.7, insert "","" after ""and",both
"                                                         21.3(g)"" and omit "","" after ""available to the res-",secondColumnOnly
"No. 53-Paragraph 19 (b), after ""person"", in-           ident"".",both
"sert ""or persons"" and after ""Visitor"", insert ""or",both
"Visitors"".                                                 No. 68-Subclause 21.7, omit ""21.3(g)"", sub-",both
"                                                         stitute ""where the proprietor fails to contact the",secondColumnOnly
"No. 54-Paragraph 19 (c), after ""person"", in-           resident under 21.4 (e),"".",both
"sert ""or persons"".",firstColumnOnly
"                                                           No. 69-Paragraph 21.7 (b), omit ""and"" after",secondColumnOnly
"No. 55-Clause 20, omit the clause, substitute          ""needs of the resident;"".",both
the following clause:,firstColumnOnly
"                                                           No. 70-Paragraph 21.7 (b), omit ""and"".",secondColumnOnly
"""20. RIGHT TO AN ADVOCATE                             No. 71-Paragraph 21.7 (c), omit ""."" after ""af-",both
"The resident has the right at all times to use      fordable to the resident"", insert ""; and"".",both
"an advocate or representative, including in           No. 72-Paragraph 21.7 (c), omit ""."", substi-",both
"all of the resident's dealings with the propri-     tute ""; and"".",both
"etor. The use of the advocate or representa-          No. 73-After paragraph 21.7 (d), add the fol-",both
"tive shall be at the discretion of the resident."".  lowing paragraph:",both
"No. 56-Subclause 21.1, omit ""The parties"",",firstColumnOnly
"substitute ""The resident and the proprietor"".                 ""(e) if the conditions in paragraphs 21.7 (a),",both
"No. 57-Subclause 21.2, before ""seven (7)"",                        (b) and (c) are met and the resident fails",both
"insert ""not less than"".                                             or is unable to agree that such accom-",both
"No. 58-Subparagraph 21.3 (a) (ii), omit ""five                     modation is suitable within fourteen (14)",both
"(5) days"", substitute ""seven (7) days from the                      days of the accommodation being of-",both
"date of the proprietor requesting an assessment                     fered to the resident, the proprietor can",both
"from the resident,"".                                                terminate the Agreement under this",both
"No. 59-Subparagraph 21.3 (a) (iii), omit ""in                      clause only if a medical practitioner in-",both
"cases of emergency"", substitute ""where it is law-                   dependent of the nursing home or a",both
"ful to do so"".                                                      health professional from a Geriatric As-",both
"No. 60-Subparagraph 21.3 (0 (i), omit ""the                        sessment Team assesses such accom-",both
"facility"", substitute ""the nursing home or any                      modation as being suitable alternative",both
                                                                    accommodation for the resident within,secondColumnOnly
"                                                                    the meaning of this clause."".",secondColumnOnly
Nursing Homes  21 December 1990 REPRESENTATIVES 4899,pageBreak
,lineBreak
"No. 74-Subclause 21.8, omit ""Before"", substi-    which was inconsistent in many ways. I",both
"tute ""Except in a case to which paragraph 21.3 (g)  think the Minister for Aged, Family and",both
"or (h) applies, the proprietor shall, before"".      Health Services (Mr Staples) would agree",both
                                                    with that-apparently the Minister does,secondColumnOnly
"No. 75-Subclause 23.1, after ""internal dis-      agree-because in this process the Gov-",both
"putes committee."", add ""Where authorised to do      ernment has offered 30 amendments to",both
"so by the residents' committee, a resident may      the agreement, quite apart from the 50 or",both
also refer a dispute to the internal disputes com-  so amendments that we had and about 40,both
"mittee."".                                           amendments that the Australian Demo-",both
"                                                    crats had. So, had this come through as a",secondColumnOnly
"No. 76-Subclause 23.2, omit ""may be asked        disallowable instrument, the Opposition",both
"to hear"", substitute ""shall be convened by the      would have been forced into either ac-",both
proprietor or the resident or the residents' com-   cepting the agreement or disallowing it in,both
"mittee to hear or mediate"".                         full. One can only contemplate what that",both
                                                    would have done to the aged care indus-,secondColumnOnly
"No. 77-Paragraph 23.2 (a), after ""resident"",     try and to our reputation.",both
"insert ""and/or residents' committee"".",firstColumnOnly
                                                      This has meant that the Department of,secondColumnOnly
"No. 78-Paragraph 23.2 (c), after ""resident"",     Community Services and Health and the",both
"insert ""and/or residents' committee"".               Minister have had to go into a form of",both
                                                    consultation not before seen in this coun-,secondColumnOnly
"No. 79-Subclause 23.3, omit ""recommenda-         try. In addition, I advise the House that",both
"tion"", substitute ""finding, which shall be binding  the Opposition itself has spent probably",both
"upon the parties to the dispute"".                   200 to 300 hours in staff time, my time",both
                                                    and that of other shadow Ministers in,secondColumnOnly
"No. 80-Subclause 24.3, after ""residents' com-    trying to look at this document realisti-",both
"mittee"" (last occurring), insert ""with support but  cally and to present a document which we",both
"without interference"".                              believe will be better received by the in-",both
                                                    dustry than the current one. I quote to,secondColumnOnly
"No. 81-SIGNING PROVISIONS, omit                  the Government and to the Minister from",both
"""SEALED AND DELIVERED"" where they ap-               Senator Walsh who, in one of his regular",both
pear.                                               articles in the Australian Financial Re-,both
"                                                    view, suggested that this type of agree-",secondColumnOnly
Motion (by Mr Staples) proposed:                 ment and charter would be a lawyer's,both
                                                    dream given the potential costs of litiga-,secondColumnOnly
"That, in accordance with subsection 40ABB (5)    tion if one tried to put in a formal agree-",both
"of the National Health Act 1953, the House ap-      ment and charter things that are often",both
proves the form of agreement between residents      contained in common law-this one goes,both
and proprietors of approved nursing homes as        beyond that. It was very important to,both
"amended by the Senate, and conveyed in Senate       heed his words.",both
Message No. 140 of 17 December 1990.,firstColumnOnly
                                                      We hope that the amendments cur-,secondColumnOnly
Mr BRAITHWAITE (Dawson) (9.10)-                   rently proposed by the Senate will alle-,both
In speaking to the amendments from the              ~iate a lot of those problems. The,both
Senate to the Community Services and                Opposition was not able in the Senate to,both
"Health Legislation Amendment Bill, I will           take forward all of our amendments in",both
just go through the process that this agree-        the way that we would have liked. There,both
ment has been through. Honourable                   are quite a few here. I admit that some,both
members may recall that at this time last           are substantive but many of them. are,both
year the coalition moved an amendment               basically to clarify the agreement to pre-,both
to have this agreement and the charter              vent potential litigation. One can only,both
"come back to the House for resolution               imagine, with the state of the economy",both
whereas it had been proposed in the orig-           today and the situation with business in,both
"inal legislation that they come back as             Australia today, the potential for things",both
disallowable instruments. I understand              to be sent to litigation which could oth-,both
that this was the first time that this par-         erwise be resolved reasonably. We believe,both
ticular mechanism had been used in this,firstColumnOnly
House since Federation in 1901. The,firstColumnOnly
process that this has been through shows,firstColumnOnly
the wisdom of our proposal not only in,firstColumnOnly
this case but in other cases where it might,firstColumnOnly
"be used because, had this agreement come",firstColumnOnly
back in the form of a disallowable instru-,firstColumnOnly
