Speaker,Title,text,pageNumbers
The DEPUTY SPEAKER,NOES," The question is that this bill, as amended, be agreed to. Bill, as amended, agreed to, Mr Wilkie and Mr Bandt dissenting. Third Reading",51
Mr MORRISON,NOES," by leave-I move: That this bill be now read a third time. Question agreed to, Mr Wilkie and Mr Bandt dissenting. Bill read a third time. Plebiscite (Same-Sex Marriage) Bill 2016 First Reading Bill and explanatory memorandum presented by Mr Turnbull. Bill read a first time. Second Reading",51
Mr TURNBULL,NOES," I move: That this bill be now read a second time. I present to the House today the commitment that we made in the election campaign to put the question of whether same-sex couples will be allowed to marry under Australian law to the Australia people in a plebiscite. We believe that that commitment is one that all members of this parliament should support and respect. It is thoroughly democratic. It is thoroughly democratic. Every Australian will have their say and, if the opposition support the plebiscite in the Senate, the plebiscite can be held on 11 February, which is the soonest practicable date. There has been over the years, relatively recent years, a very rapid change in attitudes to same-sex marriage-to same-sex couples, indeed. All of us have seen the way in which discrimination or disadvantage for same-sex couples was removed, whether initially in respect of social welfare legislation or pensions legislation. I remember very well the debate within the Howard government in its last year about whether same-sex couples should have equal rights in respect of Commonwealth and Defence superannuation. To John Howard's great credit, he supported that change and took it to the 2007 election. So there have been a series of changes over time, and the one issue that has not been addressed is the issue of marriage. Indeed, I remember discussing this point with President  Bush many years ago, at the time of APEC in 2007, when we were discussing what were the big moral issues in Australian politics. We talked about this issue of equal access to superannuation, and I remember the president said: 'Well, those are all issues of financial fairness. The big moral issue is the one about marriage.' And we have to respect that it is a very big moral issue. It is an issue of conscience. It is an issue of conscience for millions of Australians who have different views on it-and sincerely held views. It is vital that we respect all of those views in this debate. I would say to all honourable members: it is utterly wrong, and it shows dreadful leadership on the part of parliamentarians, to characterise those people who do not believe the parliament should change the Marriage Act to allow same-sex couples to be married as being homophobic, as hating homosexuals. This is so often being injected into the narrative at the moment. It is profoundly disrespectful. Some of the remarks the Leader of the Opposition has made. I will not repeat them-to which great exception has been taken, he should not repeat. We have to respect there are sincerely held views on this issue. They are views very often informed by deeply felt conscience; informed by religious commitment, very often; informed by faith. We have to respect, we must respect-and I can say the government respects-the diversity of views on this issue. As it happens, as honourable members are aware, my view and that of my wife, Lucy, is that the law should be changed to allow same-sex couples to marry. We have been married for over 36 years and we do not believe that if same-sex couples are allowed to have their union recognised as marriage that will undermine our relationship of long standing. I believe there are great threats to marriage in our society and I say from the bottom of my heart that our society would be stronger if more people were married and there were fewer divorces. If there was something we could do to make families happier it would be a wonderful thing. We know that the breakdown of the family unit is one of the great causes of hardship, of poverty, of so many of our social ills. So we are a government-and I am sure the opposition joins with us on this-we are a parliament committed to marriage, and we are committed to people supporting each other and sticking together, working hard, supporting their children and their families and enabling their dreams. And that is why I support same-sex marriage. David Cameron summed it up very well some years ago when he said, 'I support same-sex marriage not despite being a conservative but because I am a conservative, because we value commitment.' So, that is where I stand; that is where Lucy stands. When the plebiscite is held, we will be voting yes. But there are many other Australians who are equally filled with love, equally respectful of gay couples, equally respectful of the families of gay couples, of same-sex couples, who will in thoroughly good conscience vote no, and they will do so not because they disrespect gay couples, not because they disrespect the couple who were in the House yesterday with their little boy; they will do so because of a deeply felt conscience. It is a matter of conscience and we should respect it. The passage of change in our society has been one where-and this is where it has differed from the progress in some other jurisdictions; it is an important point to make-one after another of, if you like, the discriminations or the disadvantages affecting same-sex couples were removed. Some were removed during the Howard government and previous governments; more were removed under the Rudd government. That process has been  ongoing and it has reflected a very strong social change. As I noted in the lecture I gave, the Michael Kirby Lecture, in 2012, I had always regarded-and I think I can speak for a number of my colleagues here today in saying this-the marriage issue as, if anything, an obstacle to removing these disadvantages. In other jurisdictions-for example, in the United States-the motivation to recognise same-sex marriage was driven, as much as anything else, to remove certain disadvantages, whether it was in social welfare, or tax, or superannuation and all of those areas that had hitherto been addressed in Australia. So we have progressed in Australia, I would say, in a characteristically Australian pragmatic way. We dealt with the issues. The HREOC issues that were addressed in the early years of the Rudd government were a good example of that-a long list of matters that were dealt with and were supported in a bipartisan way. We come now to this issue of marriage. It is a very, very heartfelt one, it is a matter of conscience, it is a matter of faith for many people, and it is one we must respect. Let me deal with the arguments that have been addressed against the plebiscite-and there have been different views held on the plebiscite by many people. The Leader of the Opposition expressed support of one some years ago. He has got a different view now. Fair enough. We do not criticise him unduly for that. He is entitled to change his mind. But the fact is this: the two arguments that I think have weight against a plebiscite are, firstly, that it is not part of our traditional parliamentary process. That is certainly true, and that is why many conservatives would say it is too much of a novelty-it is too much of an innovation, if you like. Of course, we are in the age of innovation, as I have said before, so that should not be a disqualification. The other one is the cost-and that is substantial-but then you have to ask yourself: what price democracy? So those are two arguments that are valid. We have dealt with them, we have considered them and we have decided to proceed to the plebiscite. The arguments that are addressed most vocally today by the opponents of the plebiscite are ones that we must reject, because basically the argument against the plebiscite that we hear today is that Australians cannot be trusted to have a civil conversation, that the Australian public are so immature, so unbridled, so reckless that they cannot be trusted to have a debate and make a decision on this issue. That insults the Australian people. It disrespects the Australian people. If ever there was an issue to be put to a plebiscite, this is one that can be and should be, because it is a very straightforward question. It does not have the same kind of implications-far-reaching, often unknowable implications-of, for example, voting on Brexit, as the British did recently. It is a very straightforward question-in many respects more straightforward than a number of the questions that we have addressed in constitutional referenda-so it is perfectly suited for that. The real reason, I think, many people oppose the plebiscite is because they believe that if there were to be a free vote in the parliament same-sex marriage would be supported, and so they do not want to run the risk of the Australian people giving them the wrong answer. For our part, we put our faith in the Australian people and we know that their answer, whether it is yes or no, will be the right answer, because it is theirs. This is an institution, thousands of years old, that we are talking now about making a fundamental change to. I believe the time has come to do that. Many others in utterly good faith and good conscience do not. And they want to have their say. I would ask the members of the opposition this: cast your mind back to the Gillard government. Remember when Julia Gillard said, 'I believe in our society with our traditions, marriage has a special place and special definition, marriage will be defined as  between a man and a woman. The Marriage Act will stay the way it is so that marriage is defined as a man and a woman.' These were her many statements on that subject; that was the position of the Labor Party then. Was she denounced by her colleagues as homophobic? What would have happened if the Labor Party had said, 'Let's have a plebiscite'? Of course, the supporters of same-sex marriage would have welcomed it. Mr Dreyfus interjecting",51
The SPEAKER,NOES,The member for Isaacs will cease interjecting.,54
Mr TURNBULL,NOES,"They would have welcomed it because at that time there certainly were not the numbers in the parliament for it to be passed. So what we have to recognise is that this is a commitment we took to the election. It is a commitment we will honour and we are honouring now. It is a commitment that respects the will of the Australian people. It respects their intelligence, their civility, their capacity to make a decision and, above all, it respects the fact that each and every one of them can have a say. Our side, our government, our side of politics, among whom we have different views on this, nonetheless say, 'We respect the Australian people. We want to let them have their say.' We have offered the opposition a role in the process. We are happy to work with them. We have offered them places on the committees that will supervise the spending of the public funding, which is thoroughly fair and thoroughly based on precedent. We have offered them every opportunity to be involved, and they should take it up. They should absolutely take it up and be part of this process, because the best way to ensure same-sex couples can marry is to support the plebiscite. It will be held on 11 February, and if the Australian people support same-sex marriage, as I believe they will-and certainly I will be voting for it-then this parliament will swiftly, when it returns in 2017, legislate to change the Marriage Act. We put our faith in the people. I turn now to the specific details of the bill. This bill sets out the framework for a national plebiscite to ask the Australian people whether the Marriage Act 1961 should be amended to allow same-sex couples to marry. It has been designed to be as fair and transparent as possible-scrupulously fair, just as we would expect of our elections and referenda. The legislation specifies the exact wording of the plebiscite question to be put to the Australian people: 'Should the law be changed to allow same-sex couples to marry?' This is a simple question. It does not presuppose any particular view. The bill prescribes the date for the vote, Saturday, 11 February 2017. The date fulfils the government's commitment to hold a plebiscite as soon as practicable. The bill authorises and provides funding for the Australian Electoral Commission to conduct the plebiscite. This will be in the amount of $170 million. That funding will include $15 million to be divided equally between official yes and no campaigns. These will be run by committees composed of parliamentarians and citizens, appointed by the Attorney-General and the Special Minister of State. Each committee will include up to five Commonwealth parliamentarians and up to five members of the public. The committees will each prepare material for the respective sides of the debate. As I noted earlier, the opposition will be invited to nominate two of the five members. In addition, organisations will have reasonable opportunities to pay to broadcast material about the plebiscite. Broadcasting rules and the Broadcasting Services Act and the Special Broadcasting Service Act will be extended to apply to conduct relating to the plebiscite.  These rules will also stipulate a blackout period in which broadcasters will be prohibited from broadcasting advertisements about the plebiscite. This, too, is utterly consistent with the framework for federal elections. As for federal elections, voting will be compulsory and in person, with the usual absentee, postal, declaration and pre-polling opportunities. The bill applies provisions for a number of acts, including the Referendum (Machinery Provisions) Act 1984 and the Commonwealth Electoral Act 1918, to ensure this. Voters will be able to cast a valid vote by writing 'Yes' or 'No' in the space provided on the ballot paper. The bill provides that the outcome of the plebiscite will be determined by a simple national majority. The simple majority will be achieved when either the yes or no vote receives more than 50 per cent of the votes cast, disregarding informal ballot papers. This plebiscite gives all Australians a say. Advocates on either side of the debate will have the opportunity to put their views fully and freely to the public, to make their case to the Australian people. It is thoroughly democratic. Now, I recognise that there are a range of views in the community on this issue, as I have discussed. And as Prime Minister, I will be encouraging a considered and respectful discussion from all sides. The plebiscite will allow our nation to make a decision on this fundamental important issue of same-sex marriage. Then, as a nation, we will respect the outcome. If the plebiscite passes, the parliament will legislate to amend the Marriage Act to enable same-sex couples to marry. In closing, I remind the House, the parliament, that Australians expect this issue to be resolved in the manner they endorsed at the election. We took this to the election and we won the election. There was no doubt about our policy. There was no doubt about our platform. This was prominently debated every day of the election campaign. Every Australian who took any interest in the election knew that that was our policy. We have a mandate for it, and the opposition should respect it. I ask the opposition today, I ask the Leader of the Opposition today, to support this plebiscite. This plebiscite will give the Australian people the say on this. I ask Labor to respect the people they represent, to respect the Australian people they claim to support and defend. Respect their intelligence. Respect their civility. Respect their ability to have a discussion about this important matter and resolve it in a manner that is fair and that is democratic. At the end of the day, whoever wins, it will be regarded as a just determination of this important issue. I commend the bill to the House.",54
Mr Dreyfus,NOES,The Australian people have got faith in this parliament.,55
The SPEAKER,NOES,The member for Isaacs will cease interjecting. Mr Hunt interjecting,55
The SPEAKER,NOES,"The minister for innovation will cease interjecting. Debate adjourned. NA Selection Committee Membership The SPEAKER (12:23): I have received advice from the Chief Government Whip and the Chief Opposition Whip nominating members to be members of the Selection Committee.   leave-I move:  Manen be appointed members of the Selection Committee. Question agreed to. NA Suspension of Standing and Sessional Orders  leave-I move: That standing order 43 be suspended until the conclusion of the speech on the Address in Reply by the Member for Calare. I will inform the House what that means. Rather than having 90-second statements beginning at 1.30 pm, if the member for Calare is speaking in his maiden speech he will not be interrupted. When he completes, 90-second statements will begin. Question agreed to.",55
The SPEAKER,BUSINESS,I thank the Leader of the House and the Manager of Opposition Business for facilitating first speeches for the new members. NA Australian Crime Commission Amendment (Criminology Research) Bill 2016 First Reading Bill and explanatory memorandum presented by Mr Keenan. Bill read a first time. Second Reading,56
Mr KEENAN,BILLS," I move: That this bill be now read a second time. We live in an information age and the challenges associated with managing that information are clearly something that law enforcement agencies in particular are grappling with. You appreciate in Australia that we have the Commonwealth police and every state and territory has its own police force. The cooperation between those police forces is very good, but of course different police forces keep different information sources, they keep it on different systems. There is the enormous challenge of making sure that a policeman on the beat anywhere in Australia-in Adelaide, in Brisbane or in a regional area-has the information that they need, the criminal intelligence that they need, in a timely manner when they require it. That is very important. It is a big challenge for our law enforcement community to make sure that that is the case. This can be lifesaving information. As a policeman goes about their business we need to make sure that, if they are talking to somebody or apprehending somebody, they can get the background on that person. It is very important. There are legions of examples where police going about their business have not been able to access information in a timely way and have not been able to access accurate information about the job they are about to do. It is dangerous for those law enforcement personnel.  We need to find ways to bridge this gap. We need to find ways so that police officers doing their job can get the information that they need. To do that we have created the Australian Criminal Intelligence Commission. This brings our intelligence analyst capabilities together with our datasets when we merged the Australian Crime Commission with CrimTrac. We are also merging into that new entity the Australian Institute of Criminology to give the ACIC all of the resources that it needs to be able to do this job of providing timely criminal intelligence to Australia's law enforcement community. This bill brings together the national criminal intelligence, analysis and research capabilities and specifically it merges what used to be the Australian Institute of Criminology into the new entity. We see great opportunity in combining the resources of the Australian Institute of Criminology and the ACIC to provide Australian law enforcement agencies with central access to a consolidated and comprehensive criminal research and intelligence resource. The Australian Criminal Intelligence Commission has actually commenced operations-it did so on 1 July this year-as a result of the merger of CrimTrac and the Australian Crime Commission. Bringing three of our nation's justice, law enforcement and intelligence agencies together does significantly enhance support for law enforcement around the country and bolster Australia's response to serious and organised crime and national security issues. The new agency allows police, justice agencies and policymakers at all levels of government to adopt a more effective, efficient and evidence based response to crime. Implementation model Following the merger, the AIC will form a new research branch of the ACIC-the Australian Crime and Justice Research Centre-which is headed up by a senior criminologist. With increased access to classified information, research conducted by the Australian Crime and Justice Research Centre is expected to have increased value and relevance for Australian policy decision-making. It will provide an enhanced evidence base to support a proactive and targeted response to crime by all of Australia's law enforcement community. The research centre's activities will continue to be subject to peer review to maintain the ACIC's capability to produce independent research in order to inform evidence based policy. While some of the criminological research may be aligned with law enforcement's highlevel priorities, the remit of the ACIC's criminological function will continue to be widely defined as crime and justice issues of national significance, extending beyond purely law enforcement. The Australian Crime and Justice Research Centre will also continue to carry out some of the AIC's national monitoring programs, including the national deaths in custody program, and will continue to carry out commissioned research on a fee-for-service basis. Key measures The bill contains a number of measures that would give effect to these proposed arrangements for the merged agency. Primarily, this bill amends the Australian Crime Commission Act 2002 (ACC Act) to enable the ACIC to carry out the AIC's research work. This includes conducting criminology research, sharing that research and other resources, such as the JV Barry library, with the  private sector and the public, and holding seminars and conferences on important research issues. Recognising the importance of making research available to the research community and the Australian public, the Australian Crime and Justice Research Centre will continue to have access to the datasets currently available to the AIC, and will continue to make that data and research available in the same way that the AIC did. The bill also amends the ACC Act to ensure that the ACIC is able to charge for commissioned research, as the AIC did, with charges paid into the Criminology Research Special Account. This will enable states, territories, universities and other interested organisations to continue to commission specific work from the merged agency, as they have from the AIC. The bill also repeals the Criminology Research Act 1971 to abolish the AIC as an independent statutory agency. As the position of the AIC director will not be required postmerger, the provisions dealing with this position are not replicated in the ACC Act. Criminology Research Advisory Council Subsequent to the merger, the ACIC board will become responsible for determining the ACIC's high-level research priorities. However, in setting these priorities the ACIC board will take advice from a non-legislated advisory body, comprising of existing Criminology Research Advisory Council members (being state and territory justice agencies and the Commonwealth Attorney-General's Department), two law enforcement representatives, two members from the ACIC and a representative from the Australian and New Zealand Society of Criminology. This will ensure that state and territory justice agencies continue to play an important role in shaping the future direction of the merged agency's criminological research program. Conclusion The bill implements an important consolidation of Australia's criminal research and intelligence capabilities. The merger will enable the ACIC to better fulfil its role as Australia's national criminal intelligence agency, supporting and informing the efforts of law enforcement agencies around the country. Similarly, the new Australian Crime and Justice Research Centre held within the ACIC will continue to prepare and disseminate world-leading criminological research, which informs our understanding of the trends and developments in crime and justice. I therefore commend the bill to the House. Debate adjourned. Narcotic Drugs Legislation Amendment Bill 2016 First Reading Bill and explanatory memorandum presented by Ms Ley. Bill read a first time. Second Reading",56
Ms LEY,BILLS," I move:  That this bill be now read a second time. Today we introduce legislation that signals another significant step towards Australians accessing a safe, legal and reliable supply of medicinal cannabis product for the management of painful and chronic conditions. Australia is now on track to have a nationally-consistent licensing scheme regulating the controlled cultivation of cannabis for medicinal or scientific processes. It is another example of the Turnbull government taking on challenging reform and delivering what we promised. It is also another example of the Turnbull government working with the parliament to deliver sensible changes benefiting Australians in need. But we must also ensure, in undertaking this important reform, time and consideration is taken to protect the wider community against the possibility of unintended consequences. As mentioned at the start of this speech, the Narcotic Drugs Legislation Amendment Bill is the next step in this process and contains amendments to protect the integrity of the medicinal cannabis scheme. Cannabis is a crop of significant interest to criminal elements and preventing infiltration of organised crime into the legitimate medicinal cannabis industry must be a priority for the Commonwealth. As members will well remember, the Narcotic Drugs Act was amended earlier this year to create a regime to allow for the first time the cultivation of cannabis in Australia for the purposes of providing access by Australians to medicinal cannabis. As I said at the time, it is important that we have an effective national licensing system to enable a sustainable supply of safe medicinal cannabis product to Australian patients in the future. An important element of such a system is ensuring that only those who are 'fit and proper' can be granted a licence. The Narcotic Drugs Legislation Amendment Bill contains additional amendments to the Narcotic Drugs Act to protect sensitive law enforcement information used in making licensing decisions so that infiltration by criminal elements into the medicinal cannabis scheme can be prevented. It is critical to ensure that participants in the medicinal cannabis scheme are of good character and repute. This is an important part of the antidiversion controls for the scheme and allows the Commonwealth to comply with our obligations under the United Nations Single Convention on Narcotic Drugs, 1961. The Commonwealth is working with law enforcement agencies from all jurisdictions to put in place arrangements for the sharing of information around the suitability of licence applicants. The Commonwealth accepts that there are limitations to what types of information can be shared through such arrangements, but remains committed to protecting the integrity of the scheme. The primary purpose of the Narcotic Drugs Legislation Amendment Bill is to put in place protection for information provided by law enforcement agencies used in decision making under the act. These protections prevent the disclosure of 'sensitive law enforcement information', the improper release of which could have the effect of disrupting criminal investigations, revealing law enforcement intelligence gathering and investigative techniques or exposing the lives of people involved in criminal investigations to risk. Leaks of this type  of information can have serious implications for the effectiveness of our law enforcement agencies and so it is in the public interest to prevent this from occurring. The provisions in the bill prevent the release of sensitive law enforcement information to the applicant, their lawyers and to the public at large when decisions are being made on whether to grant or revoke licences. The bill also carries protections against release of this information during related tribunal and court proceedings. The bill creates offences with harsh penalties for revealing sensitive law enforcement information, except within some very narrow confines including, for instance, where it is necessary to allow its use for the proper administration of the Narcotic Drugs Act licensing provisions. The bill also includes provisions to allow the secretary to refuse to grant a licence where the applicant has provided false or misleading information; to provide for the making of standards and guidelines to support the detailed elements of the scheme; to allow for the revocation of licences and permits where applicable standards are not met; and to allow for the supply of cannabis seeds grown in the course of medicinal cannabis research to be supplied to other cultivator licence holders for further propagation purposes. In February this year, this parliament supported the introduction of the legislation to enable the legal cultivation of cannabis for medicinal purpose, in order to supply Australian patients and to comply with our international obligations under the Single Convention on Narcotic Drugs. These amendments are necessary so that licences are only issued to persons who will work to meet these objectives. The risk of criminal elements diverting precious medicine to illicit uses is too great-this would be detrimental to the patients who would benefit from the availability of medicinal cannabis and would mean that the government sanctioned system would be creating another public health risk. Without this bill, law enforcement agencies around the country will be reluctant to engage with the Commonwealth in providing the necessary information to manage these risks. These agencies understand and support the need for this cultivation scheme; but they rightly can only participate fully if doing so will not compromise their own activities. The cultivation licensing scheme commences on 30 October 2016. It is intended that these amendments commence at the same time to ensure that scheme endorsed by the parliament in February can operate effectively. I commend the bill to the House. Debate adjourned. Narcotic Drugs (Licence Charges) Bill 2016 First Reading Bill and explanatory memorandum presented by Ms Ley. Bill read a first time. Second Reading",58
Ms LEY,BILLS," I move: That this bill be now read a second time.  There is no existing medicinal cannabis industry as cannabis is currently an illegal narcotic drug. Allowing for the creation and existence of a legitimate industry provides a benefit to that industry by opening a new market for commercial cultivation, manufacture and sale of medicinal cannabis products. It is appropriate to seek to recover the direct costs that government incurs in regulating the medicinal cannabis industry through both direct fee recovery and through the imposition of levies. Direct fee recovery for services specific to a holder of a licence for cultivation, production or manufacture will be implemented by way of regulations made under the Narcotic Drugs Act 1967. The imposition of charges, typically on an annual basis, to capture the indirect costs associated with regulating this industry do, however, require separate legislation, thus the Narcotic Drugs (Licence Charges) Bill. Charges (or levies) under this bill include those where costs cannot otherwise reasonably be assigned directly to a particular licence holder. For example, the annual charges will fund risk based inspections across industry. While direct fees will be applied for standard and regular inspections of cannabis cultivation and production facilities (such as those required to provide an initial licence), risk based inspections are typically unannounced and will vary in frequency. They are designed to target licence holders where there are concerns over their compliance with licence conditions, regulations or the legislation. Through this, all licensees participating in the new cannabis cultivation industry will benefit, as the Department of Health is able to ensure that none gain an advantage that might otherwise eventuate if a company were about to breach the strict conditions placed on its licence; conditions designed to ensure that Australia prevents the diversion of cannabis to illicit purposes and fulfils its obligations under the Single Convention on Narcotic Drugs, 1961. This bill establishes the legal authority to develop regulations that will contain the actual proposed charges. The scheme for the cultivation of cannabis for medicinal purposes commences on 30 October 2016. It is important that the government is able to communicate on the full regulatory costs of this scheme as soon as possible in order to allow potential applicants to plan their businesses and complete their applications. I commend the bill to the House. Debate adjourned. Social Services Legislation Amendment (Simplifying Student Payments) Bill 2016 First Reading  Bill read a first time. Second Reading  That this bill be now read a second time.  This bill will introduce a package of measures announced in the 2016-17 budget that will simplify student payments by:  aligning means testing rules for student payments with other welfare payments;  automatically issuing healthcare cards to recipients of student payments, by removing the requirement for a separate application; and  automatically updating the geographical classification which is used to assess qualification for youth allowance and qualification for, and the rate of payment of, the Relocation Scholarship. Youth allowance, Austudy and Abstudy living allowances are income support payments that provide financial assistance to full-time students and apprentices. The payments are designed to encourage people to undertake further education and training to enhance their employment and career prospects. In the 2015-16 budget, the government committed over $60 million to commence the replacement of the ageing Centrelink IT system to support future welfare reform. The measures in this bill support payment simplification and future welfare reform by aligning payments settings, simplifying the administration of payments and making eligibility for student payments and concessions fairer and easier to understand. The government will continue to provide assistance for students and those most in need. The changes will not affect the overall value of student payments. Aligning means testing rules The first measure, aligning means testing rules, aims to simplify means testing and remove anomalies between student payments and other welfare payments. This measure is set to commence from 1 January 2017 and will be achieved through a number of means. Firstly, the family tax benefit income test and the youth parental income test will be harmonised, so that family tax benefit income details can be automatically reused for the youth parental income test. Parents will no longer be required to resubmit their income information to support a youth payment claim by one of their children. Secondly, the integrity of the student payments means test will be improved by removing an anomaly that allows some partnered youth allowance and Austudy recipients to be subject to a more generous assets test than applies to all other youth allowance and Austudy recipients. Integrity will also be improved by extending the trust and company rules that already apply to all other income support payments, to student payments. As a result, all of the income or assets held by students through a trust or company will be taken into account when establishing their entitlement to a payment. Lastly, the pension income test exemption for regular gifts from immediate family members will be aligned across the social security system so that it also applies for student payments and other social security benefits. Extending this exemption will remove a disincentive for families to provide support to family members. For dependent students, the parental means test already reduces a dependent child's youth payment where a parent has the ability to provide support, and it is simply not  logical or equitable to further reduce the youth payment when the parent provides the expected support. This measure will result in savings of $778,000 over the forward estimates. Simplifying eligibility for the healthcare card issued to students The second measure in this bill will ensure that from 1 January 2019 all students receiving income support will receive a concession card. This change will allow all students receiving youth allowance (student), Austudy and Abstudy living allowances to automatically receive a healthcare card. This will guarantee that around 240,000 students will receive Pharmaceutical Benefits Scheme prescriptions at the concessional rate and access to the lower threshold of the extended Medicare safety net when they receive a student payment. It will also provide greater access to bulk billing allowing students to focus on their studies without worrying about their medical costs. This measure will improve consistency by aligning access to concession cards for students with other income support recipients. Under the current rules, students are the only income support recipients not to qualify for an automatic issue healthcare card. Instead, students can make a claim for a low income healthcare card if their income is below a certain limit. This process is burdensome for students and costly for the Department of Human Services to administer. The automatic issue healthcare card and the low income healthcare card provide the same Australian government benefits to cardholders. In 2016, holders of the healthcare card and low income healthcare card pay only $6.20 for each Pharmaceutical Benefits Scheme prescription. Without a concession card these prescriptions could cost students up to $38.30 each. Access to a concession card means that once these students and their families' total out-of-pocket expenses for prescriptions reach the concessional Pharmaceutical Benefits Scheme safety net of $372 or 60 prescriptions, they may receive Pharmaceutical Benefits Scheme prescription items free of charge for the rest of the calendar year. These free Pharmaceutical Benefits Scheme prescriptions are not available to people without a concession card. In 2016, the annual threshold for both healthcare card and low income healthcare card holders for the extended Medicare safety net is $647.90, instead of $2,030 for noncardholders. Once the threshold has been met, Medicare will pay for 80 per cent of any further out-of-pocket costs for the rest of the calendar year for services including general practitioner and specialist attendances, as well as many pathology and diagnostic imaging services. Currently, the application for the low income healthcare card requires students to meet a more stringent income test, with the student needing to earn slightly less than the income limit for youth allowance over an eight-week period. This measure will also extend these benefits to around 4,000 students who previously were not eligible for a concession card. Currently, in most circumstances, student payment recipients must wait eight weeks to become eligible for a low income healthcare card. This measure will ensure concessions are available to all students as soon as they start receiving an income support payment.  In order to avoid waiting eight weeks to become eligible for a low income healthcare card, currently an applicant of a student payment can provide proof that their income was below the relevant limit in the previous eight weeks. Following introduction of this measure, students will no longer be required to produce this proof to be eligible for a concession card. Not only does this measure guarantee that student payment recipients will receive health-related concessions, it will cut red tape and reduce reporting requirements for these students. The financial impact of this measure over the forward estimates will be a cost of $726,000. Automatically updating the geographical classification The third measure in this bill will, from 1 January 2017, simplify the process for adopting the latest version of the Australian Statistical Geography Standard remoteness structure published by the Australian Statistician which is used in the assessment of eligibility for student payments under the Social Security Act 1991. Currently, youth allowance recipients whose family home is in a location geographically categorised under the remoteness structure as inner regional Australia, outer regional Australia, remote Australia or very remote Australia can access additional benefits or concessional qualification requirements under the Social Security Act that are not available to students from major city areas. These additional benefits are:  qualification for youth allowance on the basis of being independent under the concessional workforce participation arrangements, provided their parental income is below $150,000 and they are required to live away from home to study; and  qualification for the relocation scholarship at the rate at which it is paid for dependent youth allowance recipients and some independent recipients. The relocation scholarship is paid to eligible youth allowance recipients undertaking higher education to assist with the costs of moving away from home to study. These additional benefits are in recognition that students from regional and remote areas are more likely to have to relocate to study and therefore have significantly lower participation rates in higher education than students from major city areas. The geographical remoteness structure currently used in the Social Security Act to determine eligibility for these additional benefits is the 2006 Australian Standard Geographic Classification published by the Australian Bureau of Statistics. The 2006 remoteness structure has been used to determine eligibility for student payments since 2011. However, the 2006 remoteness structure is out of date and was subsequently superseded, in January 2013, by the 2011 Australian Statistical Geography Standard remoteness structure. The remoteness structure is updated every five years by the Australian Bureau of Statistics, following each census. The next update, which will be to the 2016 remoteness structure, is due in January 2018. This measure will introduce amendments to the Social Security Act so that qualification for student payments will automatically draw upon the updated remoteness structure without the need for future legislative amendment when a new Australian Statistical Geography Standard remoteness structure or any replacement remoteness structure is published by the Australian Bureau of Statistics. The 2011 Australian Statistical Geography Standard remoteness structure will apply from 1 January 2017, with the 2016 version having effect from the first 1 January or 1 July to occur after the day of its publication. This will ensure that the assessment of  qualification for youth allowance and the relocation scholarship is based on the latest available information on geographical classification. This measure will result in some students, who were previously ineligible for payment, being able to qualify for youth allowance under the concessional workforce participation arrangements and the relocation scholarship, and they may qualify for a higher rate of the relocation scholarship. It is expected that the numbers of students who are found ineligible for youth allowance under the concessional workforce participation independence criteria due to a change in the remoteness structure will be very small, and they may still qualify for youth allowance as a dependent or under one of the other independence criteria. Students who are no longer eligible for the relocation scholarship due to their family home being reclassified as located in a major city area rather than a regional location will still retain access to youth allowance provided they continue to meet the qualification criteria. Students who had previously qualified for youth allowance under the concessional workforce participation independence criteria using an earlier remoteness structure will not have their qualification for youth allowance reassessed if their family home is classified as in a major city location of Australia under an updated remoteness structure. These students will retain their independent status. The reclassification of areas is unlikely to have lasting or recurrent effects on students' payment eligibility given the cycle of five-yearly updates of the geographical classification document and that on average tertiary courses are completed in three to four years. This measure is expected to have a cost-neutral effect on the budget over the forward estimates. Conclusion Together these measures will assist in simplifying the payment system and support future welfare reform. I commend the bill to the House. Debate adjourned. Tax and Superannuation Laws Amendment (2016 Measures No. 2) Bill 2016 First Reading Bill and explanatory memorandum presented by Ms O'Dwyer. Bill read a first time. Second Reading",60
