text,first_column,second_column,line_type,ordering
sition the relevant acquirer would be or      in the Jakarta central business district.,sition the relevant acquirer would be or,in the Jakarta central business district.,both,92
would be likely to be in a position of        The site is in a prestige area close to a,would be likely to be in a position of,The site is in a prestige area close to a,both,93
dominance or strengthened dominance.          number of other diplomatic missions and,dominance or strengthened dominance.,number of other diplomatic missions and,both,94
However the concept of likely effect is not   Indonesian Government departments.,However the concept of likely effect is not,Indonesian Government departments.,both,95
amendments will remedy this. Also the           The present five-storey chancery build-,amendments will remedy this. Also the,The present five-storey chancery build-,both,97
section is not consistent in its reference    ing at Jalan Thamrin was opened on Aus-,section is not consistent in its reference,ing at Jalan Thamrin was opened on Aus-,both,98
to associated companies and again the         tralia Day 1967. The services in the,to associated companies and again the,tralia Day 1967. The services in the,both,99
Bill addresses this.                          building are reaching the end of their,Bill addresses this.,building are reaching the end of their,both,100
economic life. A large shopping and hotel,economic life. A large shopping and hotel,NA,both,101
The Government believes these amend-        complex has recently been constructed be-,The Government believes these amend-,complex has recently been constructed be-,both,102
ments are desirable to ensure that Austra-    side and behind the chancery such that,ments are desirable to ensure that Austra-,side and behind the chancery such that,both,103
lian competition law as embodied in the       our grounds and building are overlooked,lian competition law as embodied in the,our grounds and building are overlooked,both,104
Trade Practices Act continues to be effec-    by the new development.,Trade Practices Act continues to be effec-,by the new development.,both,105
available to exploit any weakness in the        The growth of Australia's relationship,available to exploit any weakness in the,The growth of Australia's relationship,both,107
Act is firmly closed. The Bill is expressed   with Indonesia has resulted in a substan-,Act is firmly closed. The Bill is expressed,with Indonesia has resulted in a substan-,both,108
to come into operation from today. I con-     tial increase in the Embassy's. staffing over,to come into operation from today. I con-,tial increase in the Embassy's. staffing over,both,109
sider it appropriate that some retrospec-     the intervening period since we first,sider it appropriate that some retrospec-,the intervening period since we first,both,110
"tive effect be given to the measure, to       occupied the present chancery. Conse-","tive effect be given to the measure, to",occupied the present chancery. Conse-,both,111
ensure that advantage is not taken of the     quently more than half of the Embassy,ensure that advantage is not taken of the,quently more than half of the Embassy,both,112
gap before the Bill becomes law.              staff are housed in expensive leased office,gap before the Bill becomes law.,staff are housed in expensive leased office,both,113
accommodation. There is an urgent need,accommodation. There is an urgent need,NA,both,114
I present the explanatory memorandum       for a new chancery to accommodate all,I present the explanatory memorandum,for a new chancery to accommodate all,both,115
"to this Bill, and commend the Bill to the     the Embassy functions in a country which","to this Bill, and commend the Bill to the",the Embassy functions in a country which,both,116
House.                                        is arguably one of our most important,House.,is arguably one of our most important,both,117
neighbours. The main elements of the,neighbours. The main elements of the,NA,both,118
Debate (on motion by Mr Jull) ad-           proposal are:,Debate (on motion by Mr Jull) ad-,proposal are:,both,119
"to climate and local building practice, and","to climate and local building practice, and",NA,both,127
"is based on simple construction tech-                     - ""Exempt Bed"" means a bed in respect of",is based on simple construction tech-,"- ""Exempt Bed"" means a bed in respect of",both,130
niques. Australian Construction Services                     which exempt status has been granted pur-,niques. Australian Construction Services,which exempt status has been granted pur-,both,131
will produce an initial concept design on                    suant to section 39AB of the Act.,will produce an initial concept design on,suant to section 39AB of the Act.,both,132
"tender for completion of the documenta-                   - ""Minister"" means the Minister responsible",tender for completion of the documenta-,"- ""Minister"" means the Minister responsible",both,134
tion and construction. The opportunity                       for the administration of the Act.,tion and construction. The opportunity,for the administration of the Act.,both,135
"struction firms with substantial interests                - ""Overall Management"" includes residents'",struction firms with substantial interests,"- ""Overall Management"" includes residents'",both,137
"in Jakarta to prequalify for the project.                    rights and responsibilities, house rules,",in Jakarta to prequalify for the project.,"rights and responsibilities, house rules,",both,138
"Local materials and building technology                      standards of behaviour, privacy matters,",Local materials and building technology,"standards of behaviour, privacy matters,",both,139
will be utilised wherever possible but                       and any other- matters that residents and,will be utilised wherever possible but,and any other- matters that residents and,both,140
where imported materials and equipment                       management agree should be included.,where imported materials and equipment,management agree should be included.,both,141
"importing items of Australian origin. The                 - ""Reprisal"" includes termination or threat-",importing items of Australian origin. The,"- ""Reprisal"" includes termination or threat-",both,143
"estimated cost of the proposed work in-                      ened termination of this Agreement, re-",estimated cost of the proposed work in-,"ened termination of this Agreement, re-",both,144
"cluding consultants' fees is $13.2m at July                  striction of any rights, restriction of access",cluding consultants' fees is $13.2m at July,"striction of any rights, restriction of access",both,145
1990 prices.                                                 to activities inside or outside the nursing,1990 prices.,to activities inside or outside the nursing,both,146
I table outline plans of the proposed                      ing the deprivation or withdrawal of any,I table outline plans of the proposed,ing the deprivation or withdrawal of any,both,148
work and commend the motion to the                           service or privilege or the limiting of a,work and commend the motion to the,service or privilege or the limiting of a,both,149
House.                                                       service or privilege or the reduction of a,House.,service or privilege or the reduction of a,both,150
Question resolved in the affirmative.                      provision of additional services or better,Question resolved in the affirmative.,provision of additional services or better,both,152
NURSING HOMES                                   that which is given to a non-exempt resi-,NURSING HOMES,that which is given to a non-exempt resi-,both,154
Form of Agreement                             dent.,Form of Agreement,dent.,both,155
"mating that, in accordance with subsec-                   - ""Resident"" has the same meaning as","mating that, in accordance with subsec-","- ""Resident"" has the same meaning as",both,157
"tion 40AAl3j5) of the National Health Act                    ""qualified nursing home patient"" defined",tion 40AAl3j5) of the National Health Act,"""qualified nursing home patient"" defined",both,158
"1953, the Senate has approved the form                       in the Act and includes where appropriate","1953, the Senate has approved the form",in the Act and includes where appropriate,both,159
"of agreement between residents and pro-                      her/his legally appointed attorney, guard-",of agreement between residents and pro-,"her/his legally appointed attorney, guard-",both,160
"prietors of approved nursing homes, pre-                     ian, manager or next of kin nominated by","prietors of approved nursing homes, pre-","ian, manager or next of kin nominated by",both,161
sented to the Senate on 18 September                         the resident.,sented to the Senate on 18 September,the resident.,both,162
"Ordered that the amendments be taken                    - ""Rules of the Nursing Home"" mean the",Ordered that the amendments be taken,"- ""Rules of the Nursing Home"" mean the",both,164
into consideration in Committee of the                       house rules as adopted or amended from,into consideration in Committee of the,house rules as adopted or amended from,both,165
Whole House forthwith.                                       time to time.,Whole House forthwith.,time to time.,both,166
"In Committee                           - ""Secretary"" means the Secretary to the",In Committee,"- ""Secretary"" means the Secretary to the",both,168
Senate amendments-                                         Department.,Senate amendments-,Department.,both,169
"under this heading, substitute the following:             - ""Standards for Nursing Home Care"" means","under this heading, substitute the following:","- ""Standards for Nursing Home Care"" means",both,171
INTERPRETATION                                          Commonwealth of Australia Gazette under,INTERPRETATION,Commonwealth of Australia Gazette under,both,173
The Charter of Residents' Rights and Re-                the Act and which are commonly known,The Charter of Residents' Rights and Re-,the Act and which are commonly known,both,174
sponsibilities is Schedule I to this Agreement          as Outcome Standards.,sponsibilities is Schedule I to this Agreement,as Outcome Standards.,both,175
and this Agreement shall be interpreted so as,and this Agreement shall be interpreted so as,NA,both,176
"to accord with the principles contained in           - ""The Act"" means the National Health Act",to accord with the principles contained in,"- ""The Act"" means the National Health Act",both,177
that Charter.                                           1953 as amended from time to time in-,that Charter.,1953 as amended from time to time in-,both,178
In this Agreement unless the contrary inten-            cluding amendments made after the date,In this Agreement unless the contrary inten-,cluding amendments made after the date,both,179
tion appears:                                           of this Agreement.,tion appears:,of this Agreement.,both,180
State of the Commonwealth that is admin-             from time to time of the . . . nursing,State of the Commonwealth that is admin-,from time to time of the . . . nursing,both,183
istered by the Minister for the time being           home.,istered by the Minister for the time being,home.,both,184
administering the Act or as otherwise de-,administering the Act or as otherwise de-,NA,both,185
"fined.                                            --Words, terms and expressions used have",fined.,"--Words, terms and expressions used have",both,186
"No.4-Subclause 1.3, after ""signed"", insert                          perusal and copying by the resident and","No.4-Subclause 1.3, after ""signed"", insert",perusal and copying by the resident and,both,202
"""or after the day on"" which the resident moved                        his/her advocate."".","""or after the day on"" which the resident moved","his/her advocate."".",both,203
"into the nursing home.,whichever is the earlier,"".          No. 16-Paragraph 5.1 (d), omit ""Depart-","into the nursing home.,whichever is the earlier,"".","No. 16-Paragraph 5.1 (d), omit ""Depart-",both,204
"No.5-Paragraph 1.3 (b), after ""resident con-              No. 17-Subclause 5.2, after ""facilities and","No.5-Paragraph 1.3 (b), after ""resident con-","No. 17-Subclause 5.2, after ""facilities and",both,206
"tribution"", insert ""and extra charges as levied in        goods"" (second occurring), insert "", plus any ac-","tribution"", insert ""and extra charges as levied in","goods"" (second occurring), insert "", plus any ac-",both,207
"accordance with clause 5"".                                tual delivery costs charged by an external sup-","accordance with clause 5"".",tual delivery costs charged by an external sup-,both,208
"No.6-Paragraph 1.3 (c), after ""resident con-              No. 18-After subclause 5.2, insert the follow-","No.6-Paragraph 1.3 (c), after ""resident con-","No. 18-After subclause 5.2, insert the follow-",both,210
"tribution"". insert ""and ext~a charges as levied in        ing subclauses:","tribution"". insert ""and ext~a charges as levied in",ing subclauses:,both,211
"accordance with clause 5"" and omit ""is"", substi-               ""5.3 The services, facilities and goods re-","accordance with clause 5"" and omit ""is"", substi-","""5.3 The services, facilities and goods re-",both,212
"tute ""are"".                                                           quested by the resident in accordance","tute ""are"".",quested by the resident in accordance,both,213
"No. 7- Paragraph 3.1 (b), omit ""and"" (last                          without any undue influence from the","No. 7- Paragraph 3.1 (b), omit ""and"" (last",without any undue influence from the,both,215
"occurring) and paragraph 3.1 (c), omit ""."", sub-                      proprietor.","occurring) and paragraph 3.1 (c), omit ""."", sub-",proprietor.,both,216
"stitute ""; and"".                                                 5.4 The resident shall have the right to re-","stitute ""; and"".",5.4 The resident shall have the right to re-,both,217
"No.8-After paragraph 3.1 (c), add the follow-                       at any time."".","No.8-After paragraph 3.1 (c), add the follow-","at any time."".",both,219
"ing paragraph:                                              No. 19-5ubclause 5.3, omit ""5.3"", substitute",ing paragraph:,"No. 19-5ubclause 5.3, omit ""5.3"", substitute",both,220
"""(d) where there is a residents' committee             No. 20-Clause 6, omit the clause, substitute","""(d) where there is a residents' committee","No. 20-Clause 6, omit the clause, substitute",both,222
that wishes to be involved in the prep-       the following clause:,that wishes to be involved in the prep-,the following clause:,both,223
"aration or amendment of the rules then             ""6. FREEDOM FROM ABUSE AND",aration or amendment of the rules then,"""6. FREEDOM FROM ABUSE AND",both,224
the proprietor shall develop or amend                   REPRISAL,the proprietor shall develop or amend,REPRISAL,both,225
the rules to reach agreement with the              6.1 The proprietor shall not:,the rules to reach agreement with the,6.1 The proprietor shall not:,both,226
"committee. Failing agreement the resi-             (a) inflict on the resident physical abuse,",committee. Failing agreement the resi-,"(a) inflict on the resident physical abuse,",both,227
"dent or the proprietor may take the                      assault, wrongful confinement, mental or",dent or the proprietor may take the,"assault, wrongful confinement, mental or",both,228
"matter to the internal disputes commit-                  emotional abuse oJ.. exploitation, cruel,",matter to the internal disputes commit-,"emotional abuse oJ.. exploitation, cruel,",both,229
"tee under Clause 23."".                                   inhumane, degrading or humiliating","tee under Clause 23."".","inhumane, degrading or humiliating",both,230
"No.9-At end of Clause 3, add the following                   (b) exploit the property of the resident;","No.9-At end of Clause 3, add the following",(b) exploit the property of the resident;,both,232
"subclause:                                                     (c) harass, victimise, punish or inflict re-",subclause:,"(c) harass, victimise, punish or inflict re-",both,233
"""3.2 The proprietor has an obligation to bring            (d) neglect or abandon the resident.","""3.2 The proprietor has an obligation to bring",(d) neglect or abandon the resident.,both,235
to the attention of the resident the rules of             6.2 The proprietor shall use the proprietor's,to the attention of the resident the rules of,6.2 The proprietor shall use the proprietor's,both,236
"the nursing home."".                                            best endeavours to ensure that the resi-","the nursing home."".",best endeavours to ensure that the resi-,both,237
"No. to-Subclause 4.1, after ""shall provide to                     dent is not subjected to treatment of the","No. to-Subclause 4.1, after ""shall provide to",dent is not subjected to treatment of the,both,238
"the resident"", insert ""nursing home"", omit the                      kind described in paragraphs 6.1 (a), (b),","the resident"", insert ""nursing home"", omit the","kind described in paragraphs 6.1 (a), (b),",both,239
"comma after ""care,"" and after ""care"", insert                        (c) and (d) by any third party whilst the","comma after ""care,"" and after ""care"", insert",(c) and (d) by any third party whilst the,both,240
"""and"".                                                              resident is present in the nursing home."".","""and"".","resident is present in the nursing home."".",both,241
"No. ll-Paragraph 4.1 (b), omit ""to the stand-             No. 21-Clause 7, omit the clause, substitute","No. ll-Paragraph 4.1 (b), omit ""to the stand-","No. 21-Clause 7, omit the clause, substitute",both,242
"ard"", substitute ""not less than the standard"".            the following clause:","ard"", substitute ""not less than the standard"".",the following clause:,both,243
"No. 12-Paragraph 4.1 (b), after ""Agreement"",                 ""7. PRIVACY","No. 12-Paragraph 4.1 (b), after ""Agreement"",","""7. PRIVACY",both,244
"omit ""."", substitute ""; and"".                                  7.1 The proprietor shall not unlawfully ot","omit ""."", substitute ""; and"".",7.1 The proprietor shall not unlawfully ot,both,245
"No. 13-Afterparagraph 4.1 (b), add the fol-                       arbitrarily infringe upon the personal","No. 13-Afterparagraph 4.1 (b), add the fol-",arbitrarily infringe upon the personal,both,246
lowing paragraph:                                                   privacy of the resident in the resident's,lowing paragraph:,privacy of the resident in the resident's,both,247
"(c) which, subject to paragraph 21 .3(a), are                  personal space, personal records, per-","(c) which, subject to paragraph 21 .3(a), are","personal space, personal records, per-",both,248
"appropriate to the resident's needs."".                    or personal communications.","appropriate to the resident's needs."".",or personal communications.,both,250
"No. 14-Subclause 4.2, omit ""other"" and omit                  7.2 The proprietor shall use the proprietor's","No. 14-Subclause 4.2, omit ""other"" and omit",7.2 The proprietor shall use the proprietor's,both,251
"all words after ""Clause 5"", insert ""and the pro-                    best endeavours to ensure that third par-","all words after ""Clause 5"", insert ""and the pro-",best endeavours to ensure that third par-,both,252
"prietor shall set out a list of the services, facilities            ties do not infringe upon the personal","prietor shall set out a list of the services, facilities",ties do not infringe upon the personal,both,253
and goods ordered by the resident in a document                     privacy of the resident in the matters,and goods ordered by the resident in a document,privacy of the resident in the matters,both,254
which shall then be attached to the Agreement                       specified in subclause 7.1.,which shall then be attached to the Agreement,specified in subclause 7.1.,both,255
and shall be amended from time to time to reflect              7.3 The proprietor shall not unlawfully or,and shall be amended from time to time to reflect,7.3 The proprietor shall not unlawfully or,both,256
"the changing requirements of the resident."".                        arbitrarily infringe upon the personal","the changing requirements of the resident."".",arbitrarily infringe upon the personal,both,257
"No. 15-At end of clause 4, add the following                      privacy of the resident in the personal","No. 15-At end of clause 4, add the following",privacy of the resident in the personal,both,258
"dents' Rights and Responsibilities, any","dents' Rights and Responsibilities, any",NA,both,262
explanatory notes or materials issued,explanatory notes or materials issued,NA,both,263
by the Department or the Minister re-,by the Department or the Minister re-,NA,both,264
lating to the Agreement or Charter and,lating to the Agreement or Charter and,NA,both,265
a copy of the Standards applicable to,a copy of the Standards applicable to,NA,both,266
under section 45D of the Act shall be,under section 45D of the Act shall be,NA,both,268
available within the nursing home for,available within the nursing home for,NA,both,269
"care of the resident and information                              No. 32-Subclause 10.7, omit ""and"" (wherever",care of the resident and information,"No. 32-Subclause 10.7, omit ""and"" (wherever",both,272
"about the resident's condition and care                        occurring), substitute ""or"".",about the resident's condition and care,"occurring), substitute ""or"".",both,273
"shall be kept confidential by the pro-                            No. 33-Subclause 10.8, omit ""caused or ag-",shall be kept confidential by the pro-,"No. 33-Subclause 10.8, omit ""caused or ag-",both,275
"prietor."".                                                     gravated to themselves"", substitute ""aggravated","prietor."".","gravated to themselves"", substitute ""aggravated",both,276
"coming into the nursing home"" and omit ""to""                       No. 34-Subclause 10.9, omit ""except in an","coming into the nursing home"" and omit ""to""","No. 34-Subclause 10.9, omit ""except in an",both,279
"after ""an individual and"".                                     emergency"", substitute ""subject to subclause","after ""an individual and"".","emergency"", substitute ""subject to subclause",both,280
"stitute ""decision-making"".                                        No. 35-Subclause 11.1, omit ""decision"", sub-","stitute ""decision-making"".","No. 35-Subclause 11.1, omit ""decision"", sub-",both,283
"No. 24-Subclause 8.2, omit ""actions are likely","No. 24-Subclause 8.2, omit ""actions are likely",NA,both,285
"to seriously endanger or harm others or unless                    No. 36-Subclause. 11.1, after ""concerning"",",to seriously endanger or harm others or unless,"No. 36-Subclause. 11.1, after ""concerning"",",both,286
"there is a bona fide medical need for such restric-            insert ""her/his"".",there is a bona fide medical need for such restric-,"insert ""her/his"".",both,287
"tion certified by a medical practitioner"", substi-","tion certified by a medical practitioner"", substi-",NA,both,288
"tute ""prevention or restriction is lawful, including              No. 37-Subclause 11.2, after ""property"", in-","tute ""prevention or restriction is lawful, including","No. 37-Subclause 11.2, after ""property"", in-",both,289
"on medical grounds"".                                           sert "", subject to the reasonable space constraints","on medical grounds"".","sert "", subject to the reasonable space constraints",both,290
"""treated with respect, and"", substitute ""have"".                   No. 38-Subclause 12.5, after ""support"", insert","""treated with respect, and"", substitute ""have"".","No. 38-Subclause 12.5, after ""support"", insert",both,293
"No. 26-Subclause 8.3, after ""nursing home                    ""requires"", insert ""at her/his own cost"".","No. 26-Subclause 8.3, after ""nursing home","""requires"", insert ""at her/his own cost"".",both,295
"clause is not breached by any action by a reli-                   No. 39-Clause 13, after ""all other residents",clause is not breached by any action by a reli-,"No. 39-Clause 13, after ""all other residents",both,297
"gious body operating a nursing home that is taken              of the nursing home"", insert "", as far as she/he",gious body operating a nursing home that is taken,"of the nursing home"", insert "", as far as she/he",both,298
"in good faith in accordance with the doctrines,                is capable,"".","in good faith in accordance with the doctrines,","is capable,"".",both,299
"tenets, beliefs or teachings of the religion of that","tenets, beliefs or teachings of the religion of that",NA,both,300
"religious body, being an action taken in good                     No. 40-Paragraph 15.1 (b), omit ""and/or"".","religious body, being an action taken in good","No. 40-Paragraph 15.1 (b), omit ""and/or"".",both,301
"faith in order to avoid injury to the religious                   No. 41-After paragraph 15.1 (c), add the fol-",faith in order to avoid injury to the religious,"No. 41-After paragraph 15.1 (c), add the fol-",both,302
"susceptibilities of adherents of that religion."".              lowing words and paragraph:","susceptibilities of adherents of that religion."".",lowing words and paragraph:,both,303
"No. 27-Subclause 9.3, after ""birth or other                       ""; and/or","No. 27-Subclause 9.3, after ""birth or other","""; and/or",both,305
"status."", insert ""This subclause is not breached                    (d) where a move is necessary to facilitate","status."", insert ""This subclause is not breached",(d) where a move is necessary to facilitate,both,306
"nursing home that is taken in good faith in ac-                          carrying out works on the premises."".",nursing home that is taken in good faith in ac-,"carrying out works on the premises."".",both,308
"cordance with the doctrines, tenets, beliefs or                   No. 42-Subclause 15.3, omit everything after","cordance with the doctrines, tenets, beliefs or","No. 42-Subclause 15.3, omit everything after",both,309
"teachings of the religion of that religious body,              ""proprietor"" (second occurring), substitute "". In","teachings of the religion of that religious body,","""proprietor"" (second occurring), substitute "". In",both,310
being an action taken in good faith in order to                the event of no mutual agreement between the,being an action taken in good faith in order to,the event of no mutual agreement between the,both,311
avoid injury to the religious susceptibilities of              proprietor and the resident about the proposed,avoid injury to the religious susceptibilities of,proprietor and the resident about the proposed,both,312
"adherents of that religion."".                                  move, the proprietor may still move the resident,","adherents of that religion."".","move, the proprietor may still move the resident,",both,313
"No. 28-Clause 10, after ""The resident has the                care need for the move as assessed and certified","No. 28-Clause 10, after ""The resident has the",care need for the move as assessed and certified,both,315
"right"", insert ""to"".                                           by a medical practitioner independent of the","right"", insert ""to"".",by a medical practitioner independent of the,both,316
"No. 29-Subclause 10.1, omit ""except on the                   Geriatric Assessment Team agreed to by the res-","No. 29-Subclause 10.1, omit ""except on the",Geriatric Assessment Team agreed to by the res-,both,318
"ground of medical necessity"", substitute ""unless               ident. If the resident fails or is unable to agree to","ground of medical necessity"", substitute ""unless",ident. If the resident fails or is unable to agree to,both,319
"permitted by law"".                                             the appointment of such practitioner or health","permitted by law"".",the appointment of such practitioner or health,both,320
"No. 30-Subclause 10.2, before ""have access                     etor proposing the move of bed location to the","No. 30-Subclause 10.2, before ""have access",etor proposing the move of bed location to the,both,322
"to medical"", insert ""subject to the following,""                resident, the proprietor may arrange for the as-","to medical"", insert ""subject to the following,""","resident, the proprietor may arrange for the as-",both,323
"and after ""services  of her/his  ocfhaoincuer""~inogmhito""~'""~  sessment in the absence of the resident's agree-","and after ""services",of her/his,both,324
"insert "". Where the  proprietor                                ment, provided such assessment is carried out by","insert "". Where the",proprietor,both,325
is a religious body the proprietor may-                        a medical practitioner independent of the nursing,is a religious body the proprietor may-,a medical practitioner independent of the nursing,both,326
"(a) bring to the attention of the resident and                 Assessment Team."".",(a) bring to the attention of the resident and,"Assessment Team."".",both,328
"of any medical practitioner seeking to                       No. 43-Subclause 15.4, omit ""has become""",of any medical practitioner seeking to,"No. 43-Subclause 15.4, omit ""has become""",both,329
"practice in the nursing home the doc-                      after ""on which the nursing home"", substitute",practice in the nursing home the doc-,"after ""on which the nursing home"", substitute",both,330
