original; corrected
attemptto; attempt to
atten tion; attention
attentionto; attention to
atthe; at the
atthis; at this
atti tudes; attitudes
Attorney-Gerreral; Attorney-General
AttorneyGeneral's; Attorney General's
AttorneyGeneral; Attorney General
AttorneyGeneralship; Attorney Generalship
AttorneysGeneral; Attorneys General
atwhich; at which
AuditorGeneral's; Auditor General's
AuditorGeneral; Auditor General
AuditorsGeneral; Auditors General
Aus tralia; Australia
Aus tralians; Australians
Aus- . tralian; Australian
Aus.tralia; Australia
Aus.tralian; Australian
Ausralia; Australia
Austalian; Australian
Austinchapman; Austin Chapman
Austrafia; Australia
Austraiian; Australian
Australia.I; Australia. I
Australianborn; Australian-born
AustralianCapital; Australian Capital
Australiangrown; Australian grown
Australianism; Australianism
Australianmade; Australian made
Australianowned; Australian owned
Australiawide; Australia wide
Australiawill; Australia will
authori ties; authorities
Autralians; Australians
av erage; average
avail able; available
availab,le; available
aver age; average
aview; a view
avoid ance; avoidance
awhole; a whole
b e; be
B elgium; Belgium
B u t; But
B udget; Budget
b y; by
B.H.P; BHP
backblocks; back blocks
backcountry; back country
balancesheet; balance sheet
balancesheets; balance sheets
ballotbox; ballot box
ballotboxes; ballot boxes
ballotpaper; ballot paper
ballotpapers; ballot papers
bananagrowers; banana growers
Bar rier; Barrier
base ment; basement
basicwage; basic wage
basisof; basis of
BawLa; Baw La
be came known; became known
be cause; because
be come a; become a
be comes infinitely; becomes infinitely
be fore; before
be hind; behind
be lieve; believe
be lieved; believed
be nighted; benighted
be tter; better
be tween; between
be.en; been
Be1connen; Belconnen
beadvisable; be advisable
beallowed; be allowed
beapplied; be applied
bearupon; bear upon
beauti ful; beautiful
becauseit; because it
becauseof; because of
becausethe; because the
becausethey; because they
becausewe; because we
beconstrued; be construed
bedone; be done
BeefIndustry; Beef Industry
beenvery; been very
Befor e; Before
beforea; before a
beforeChristmas; before Christmas
beforeus; before us
behal f; behalf
beingasked; being asked
believethat; believe that
bemade; be made
BennelongTreasurer; Bennelong Treasurer
beomitted; be omitted
bet ter; better
bethat; be that
bethe; be the
bette.; better
betweenthe; between the
bilrden; burden
biol ogists; biologists
birthright; birth right
bleed ing; bleeding
blindedin; blinded in
bootmaking; boot making
Bourkestreet; Bourke street
Boyal; Royal
Braith waite; Braithwaite
BrigadierGeneral; Brigadier General
bringthe; bring the
broadbased; broad based
broadminded; broad minded
brokenhearted; broken hearted
BrucePage; Bruce Page
Brysoninterjecting; Bryson interjecting
Bu reau; Bureau
Bu t; But
Budget.I; Budget. I
bUilding; building
busi ness; business
businessconcern; business concern
businesslike; business like
businesspaper; business paper
but 1 will; but I will
buta; but a
butI; but I
ButI; But I
butsurely; but surely
butterboxes; butter boxes
buttermakers; butter makers
butthe; but the
butwe; but we
bv; by
bya; by a
byan; by an
byelection; by-election
byemployees; by employees
byhim; by him
bylaw; by-law
bylaws; by-laws
byleave; by leave
byMr; by Mr
byproduct; by-product
byproducts; by-products
bythe; by the
C.B.E; CBE
C.S.I.R.O; CSIRO
Ca n; Can
ca pacity; capacity
Cabi net; Cabinet
call ing; calling
Calwellinterjecting; Calwell interjecting
cameinto; came into
Can berra; Canberra
can didly; candidly
CanadianPacific; Canadian Pacific
candlemaking; candle making
cannotbe; cannot be
cannotbut; cannot but
cansay; can say
Capi tal; Capital
capi tal; capital
capitai; capital
capitalcities; capital cities
car ried; carried
carriedout; carried out
carryout; carry out
carryover; carry over
cas'e; case
caseof; case of
Castlereaghstreet; Castlereagh Street
catchcry; catch cry
Cbmmittee; Committee
CDmmissiDn; Commission
cementmaking; cement making
cen tury; century
cental; central
cer tain; certain
Cer tainly; Certainly
CHAIRMAN.Honorable; CHAIRMAN. Honorable
CHAIRMAN.I; CHAIRMAN. I
CHAIRMAN.If; CHAIRMAN. If
CHAIRMAN.Order; CHAIRMAN. Order
CHAIRMAN.The; CHAIRMAN. The
chal lenge; challenge
charg ing; charging
chil dren's; children's
circum stances; circumstances
citi zenship; citizenship
cleanup; clean-up
co operate; cooperate
co operation; cooperation
coalminer; coal miner
coalmines; coal mines
coalmining; coal mining
coalowners; coal owners
coe to; come to
Col lege; College
collabora tive; collaborative
colleage; colleague
collec tive; collective
Colorvideo; Color video
com ment; comment
com ments; comments
Com mision; Commision
Com mission; Commission
Com missioner; Commissioner
Com mittee's; Committee's
Com mittee; Committee
com munication; communication
com munique; communique
com munity; community
com parisons; comparisons
com petitive; competitive
com plainant; complainant
com plete; complete
com pletely; completely
com pulsory; compulsory
Com.monwealth; Commonwealth
CommanderinChief; Commander in Chief
commen ced; commenced
commen tators; commentators
commer cial; commercial
commeritators; commentators
Commisioner; Commissioner
Common.wealth; Commonwealth
commonsense; common sense
Commonwealthowned; Commonwealth owned
CommonwealthState; Commonwealth State
Commonwealthtaxation; Commonwealth taxation
Commowealth; Commonwealth
Communistcontrolled; Communist controlled
Communistled; Communist led
communitycreated; community created
compari son; comparison
compe tition; competition
compkte; complete
complants; complaints
compli cated; complicated
compo sition; composition
comprehen sive; comprehensive
ComptrollerGeneral; Comptroller General
con cerned; concerned
con cerning; concerning
con clusion; conclusion
con nection; connection
con sider; consider
con siderably; considerably
con sideration; consideration
con sidered; considered
con siders; considers
con stituted; constituted
con structive; constructive
con sulted; consulted
con sumers; consumers
con suming; consuming
con tacted; contacted
con tention; contention
con tinue; continue
con tinued; continued
Con trast; Contrast
con tribution; contribution
con tributor; contributor
con trived; contrived
con venience; convenience
concensus; consensus
concernedmy; concerned my
concili ation; conciliation
Concili ation; Conciliation
concIusion; conclusion
concur rence; concurrence
condem nation; condemnation
conditionsof; conditions of
confer ence; conference
confidential in formation; confidential information
conflict ing; conflicting
conlusion; conclusion
connexion; connection
connexionwith; connection with
consider ation; consideration
considera; consider a
considerationbe; consideration be
considerationof; consideration of
consideraton; consideration
considerthat; consider that
conslusions; conclusions
consti tute; constitute
consti tutional; constitutional
ConsulGeneral; Consul General
contem plating; contemplating
contem porary; contemporary
continu ing; continuing
contra ceptives; contraceptives
contri bution; contribution
conven tions; conventions
cor porations; corporations
cor rect; correct
cor recting; correcting
corespondence; correspondence
coritinues; continues
corne; come
Corpor ation; Corporation
corpor ations; corporations
costofliving; cost of living
cottongrowers; cotton growers
cottongrowing; cotton growing
cottonseed; cotton seed
could be come; could become
could.be; could be
couldbe; could be
couldnot; could not
coun tries; countries
countrv; country
countryis; country is
Courageousis; Courageous is
CourierMail; Courier Mail
courseof; course of
courtmartial; court martial
courtmartialled; court martialled
courtsmartial; courts martial
crffice; office
crossbred; cross bred
crossexamination; cross examination
crossexamine; cross examine
crossexamined; cross examined
crossheadings; cross headings
crosssection; cross section
CSIROemployees; CSIRO employees
cur rently; currently
CURTIN; Curtin
Curtininterjecting; Curtin interjecting
cuttable; cut table
cutthroat; cut throat
dairyfarmer; dairy farmer
dairyfarmers; dairy farmers
danger ous; dangerous
daylabour; day labour
de cide; decide
de cision; decision
de fects; defects
De partment's; Department's
de partment; department
de plorable; deplorable
de scrihed; described
de signed; designed
De spite; Despite
de stroys; destroys
de termine; determine
de velopment; development
De velopment; Development
deal ing; dealing
dealingwith; dealing with
dealtwith; dealt with
dealwith; deal with
deathdealing; death dealing
decisionmaking; decision making
declaired; declared
deemednecessary; deemed necessary
deepseated; deep seated
del eterious; deleterious
delib erate; deliberate
dem onstrate; demonstrate
demon stration; demonstration
demonstrat ing; demonstrating
deny ing; denying
Depart ment; Department
depen dence; dependence
depen dent; dependent
DeputyLeader; Deputy Leader
deputyleader; deputy leader
DeputyPrime; Deputy Prime
DeputySpeaker; Deputy Speaker
dero gation; derogation
des perate; desperate
desireto; desire to
detailedexplanation; detailed explanation
deter mined; determined
deterimental; detrimental
determi nation; determination
devel opment; development
Devel opment; Development
Develop ment; Development
develop ments'; developments'
Df; of
Di d; Did
di mensions; dimensions
di rection; direction
did not for get; did not forget
differenceof; difference of
dimiss; dismiss
directlv; directly
DirectorGeneral; Director General
dis cretionary; discretionary
dis cussion; discussion
dis cussions; discussions
dis pute; dispute
dis putes; disputes
dis ruptive; disruptive
disad vantaged; disadvantaged
disadvan taged; disadvantaged
disap proval; disapproval
disciplin ary; disciplinary
Disciplin ary; Disciplinary
discussthe; discuss the
disgrace ful; disgraceful
dishonorable; dishonourable
disin centive; disincentive
disin terested; disinterested
dispropor tionate; disproportionate
dispu tation; disputation
disrup tion; disruption
dissatis faction; dissatisfaction
distri bution; distribution
div isive; divisive
dmvn; down
Dn; on
dO not; do not
docu ment; document
docu ments; documents
doe3; does
doeshe; does he
doesnot; does not
doesnotdoit,butthehonorableandlearned; does not do it, but the honorable and learned
Doesthe; Does the
doingso; doing so
dom estic; domestic
domi nant ;dominant
don'tintend; don't intend
don,e; done
DONALDCAMERON; DONALD CAMERON
doneso; done so
donewith; done with
donot; do not
doublebarrelled; double barrelled
doubtthat; doubt that
Dr.EVATT; Dr. EVATT
Dr.J; Dr. J
drawnto; drawn to
drillhall; drill hall
DuncanHughes; Duncan Hughes
Durin g; During
duringthe; during the
Dut; out
dutv; duty
dutyof; duty of
eachparty; each party
earliestpossible; earliest possible
earn ings; earnings
easilydispense; easily dispense
ecommendation; recommendation
Econ omic; Economic
econ omic; economic
econ omy; economy
economicstability; economic stability
EdenMonaro; Eden Monaro
edu cation; education
eightyeight; eighty-eight
elec tion; election
elec torate; electorate
electricallyoperated; electrically operated
elequently; eloquently
Elizabethstreet; Elizabeth Street
elswhere; elsewhere
em bassy; embassy
em ployee; employee
em ployees; employees
em ployer; employer
Em ployers; Employers
em ployers; employers
em ployment; employment
Empire.I; Empire I
Employ ment; Employment
employe's; employee's 
employe; employee
employe; employee 
employer.can; employer can
employes; employees
en able; enable
en courages; encourages
en dorse; endorse
endeavour ing; endeavouring
enginedrivers; engine drivers
EngineerinChief; Engineer in Chief
Englishspeaking; English-speaking
enor mous; enormous
enthusi astic; enthusiastic
enunci ate; enunciate
envi able; enviable
Environ ment; Environment
environmen tal; environmental
Eoyal; Royal
epsiode; episode
eqIJestrian; equestrian
es tablished; established
essen tial; essential
estab lished; established
estab lishment; establishment
Estblish; Establish
EstimatesinChief; Estimates in Chief
Estimateswere; Estimates were
etiquetteshould; etiquette should
EveningNews; Evening News
eventu ally; eventually
everincreasing; ever increasing
eveyone; everyone
evi dence; evidence
eVidence; evidence
evidencethat; evidence that
ex citement; excitement
ex tremely; extremely
exacer bate; exacerbate
exAttorneyGeneral; ex-Attorney-General
excess ive; excessive
exCommissioner; ex-Commissioner
exemp tion; exemption
exer cise; exercise
Exist ing; Existing
exmember; ex-member
exmembers; ex-members
exMinister; ex-Minister
expecially; especially
expen diture; expenditure
expendi ture; expenditure
expendi tures; expenditures
expenditurein; expenditure in
expenditurewhich; expenditure which
expeqditure; expenditure
expertsfrom; expertsfrom
exPostmasterGeneral; ex-Postmaster-General
exPrime; ex-Prime
exsecretary; ex-secretary
exSenator; ex-Senator
exservice; ex-service
exserviceman; ex-serviceman
exservicemen; ex-servicemen
Exservicemen; Ex-servicemen
exsoldier; ex-soldier
exsoldiers; ex-soldiers
extraordi nary; extraordinary
extravagan ces; extravagances
exTreasurer; ex-Treasurer
f o r; for
f or; for
f r o m; from
fac simile; facsimile
fac tors; factors
facili ties; facilities
factorv; factory
factthat; fact that
fairminded; fair minded 
famil ies; families
farreaching; far-reaching
farsighted; far-sighted
favorably; favourably
favored; favoured
favorite; favourite
favoritism; favouritism
Febraury; February
FederalConvention; Federal Convention
Federallegislation; Federal legislation
FederalPolice; Federal Police
fibreto; fibre to
fiftyfive; fifty-five
fin anced; financed
finan cial; financial
financial'year; financial year
firstclass; first class
firsthand; first hand
firstmentioned; first mentioned
fivesixths; five-sixths
fiveyear; five year
fixedat; fixed at
flyingboats; flying boats
fo r; for
fol low; follow
fol lowing; following
fonner; former
for1908; for 1908
forall; for all
forBourke; for Bourke
forBraddon; for Braddon
forCapricornia; for Capricornia
forCowper; for Cowper
forebearance; forebearance
foreigngoing; foreign going
forFawkner; for Fawkner
forFremantle; for Fremantle
forGwydir; for Gwydir
forIllawarra; for Illawarra
forma tion; formation
formationofthe; formation of the
fornier; former
forpensioners; for pensioners
forRiverina; for Riverina
fortelegraph; for telegraph
forthe; for the
fortheir; for their
forthemselves; for themselves
forTrade; for Trade
fortyfive; forty-five
fortythree; forty-three
forus; for us
forWarringah; for Warringah
forWentworth; for Wentworth
forWest; for West
forWimmera; for Wimmera
foryears; for years
fourfifths; four-fifths
fouryears; four-years
fQrce; force
frac tional; fractional
frac tionally; fractionally
fran chise; franchise
FRASERHonourable; FRASER Honourable
fre quency; frequency
FREDERICKSTEWART.There; FREDERICKSTEWART. There
freeflowing; free-flowing
freetrade; free trade
Freetrade; Free trade
freetrader; free trader
freetraders; free traders
Friday,I; Friday I
fright ened; frightened
from12.45; from 12.45
from1; from 1
from1d; from 1d
from1s; from 1s
fromhis; from his
fromthe; from the
frostynights; frosty nights
fruitgrowers; fruit growers
Fruitgrowers; Fruit growers
fruitgrowing; fruit growing
frus tration; frustration
frus trations; frustrations
fulI; full
fullblooded; full blooded
fullscale; full scale
fulltime; full time
funda mental; fundamental
gaJlon; gallon
galvanizediron; galvanized iron
gar deners; gardeners
gath ered; gathered
gen eral; general
gen erally; generally
Gener ally; Generally
Generall y; Generally
geneticdiversityas; genetic diversity as
gentleman'S; gentleman's
gentlemanhas; gentleman has
gentlemanwill; gentleman will
gerrymander ing; gerrymandering
getthe; get the
giltedged; gilt edged
giv ing; giving
giveany; give any
giveemployment; give employment
Givens; Givens
givento; given to
givethe; give the
giveto; give to
gladto; glad to
Go.vernment; Government
goasyouplease; go as you please
gooddeal; good deal
Goodfellow; Good fellow
goodlooking; good looking
Goodluck; Good luck 
goodpeoplc; good people
goto; go to
govemment; government
Govemment; Government
GovemorGeneral; Governor General
Govenment; Government
goverment; government
Goverment; Government
govern ment; government
govern ments; governments
Govern ments; Governments
Govern.ment; Government
Governent; Government
Government.It; Government. It
Governmentand; Government and
governmentcontrolled; government controlled
Governmentcontrolled; Government controlled
Governmenthas; Government has
Governmenthave; Government have
Governmenthouse; Government house
Governmentintends; Government intends
Governmentis; Government is
governmentowned; government owned
Governmentproposes; Government proposes
Governmentto; Government to
Governmentwould; Government would
Governmnent; Government
Governnent; Government
Governor.General; Governor General
GovernorGeneral's; Governor General's
GovernorGeneral; Governor General
Governorof; Governor of
Goyernment; Government
Gqvernment; Government
grapegrowing; grape growing
GreatBritain; Great Britain
greatdeal; great deal
greatnational; great national
H e; He
h'onorable; honorable
H.M.A.S; HMAS
H.M.S; HMS
Ha s; Has
ha ve; have
ha3; has
hadbeen; had been
hadno; had no
halfadozen; half-a-dozen
halfamillion; half a million
halfanhour; half an hour
halfcastes; half castes
halfdozen; half dozen
halfpast; half past
halfyear; half year
handsof; hands of
Hansardof; Hansard of
hap pened; happened
hap pening; happening
harbor; harbour
hardandfast; hard and fast
hardhearted; hard hearted
hardworking; hard working
has be come; has become
hasbeen; has been
hasdone; has done
Hashe; Has he
hasnot; has not
hasprovided; has provided
hasreceived; has received
hastaken; has taken
hasthe; has the
hasto; has to
havea; have a
haveactually; have actually
havealready; have already
havealways; have always
havean; have an
haveany; have any
havebeen; have been
havebrought; have brought
havedone; have done
havehad; have had
haveno; have no
havenot; have not
havenow; have now
havesaid; have said
havetaken; have taken
havethe; have the
haveto; have to
Hawk.e; Hawke
Hayleninterjecting; Haylen interjecting
hDnDurable; honourable
heartbreaking; heart breaking
hearthe; hear the
heavily.taxed; heavily taxed
hefore; before
heinouscrime; heinous crime
heis; he is
HENRYWILLIS; HENRY WILLIS
hersupporters; her supporters
hesi tancy; hesitancy
hesi tation; hesitation
hewas; he was
hewill; he will
hewould; he would
hi erarchy; hierarchy
HIGGIXS; HIGGINS
highclass; high class
HighCourt; High Court
highgrade; high grade
highhanded; high handed
highlypaid; highly paid
highpower; high power
highspeed; high speed
him self; himself
himselfbe; himself be
hirepurchase; hire purchase
HisExcellency; His Excellency
hisknowledge; his knowledge
hismeans; his means
hisown; his own
HlGOlNS; HIGGINS
hnnorahle; honourable
Hodg man; Hodgman
hol idays; holidays
homeconsumption; home consumption
hon orable; honorable
Hon.Archie; Hon. Archie
Hon.G; Hon. G
Hon.Ian; Hon. Ian
hon.orable; honorable
Honohable; Honourable
honor.able; honorable
honor.orable; honororable
honora'ble; honorable
HONORABLE; Honorable
Honorable; Honourable
honorable; honourable
honorableand; honorable and
honorablefriend; honorable friend
honorablegentleman; honorable gentleman
honorablemember's; honorable member's
honorablemember; honorable member
honorablemembers; honorable members
Honorablemembers; Honorable members
honourablemember; honourable member
Honourgb]e; Honourable
honourmember's; honour member's
hopethat; hope that
hotelkeeper; hotel keeper
hotelkeepers; hotel keepers
Hous e; House
Housein; House in
Housethe; House the
Houseto; House to
housetohouse; house to house
How ever; However
Howcould; How could
humani tarian; humanitarian
Hun dreds; Hundreds
hurlyburly; hurly-burly
HydroElectric; Hydro Electric
I Dbject; I object
i f; if
I f; If
i l l; ill
i n the; in the
I n; In
i n; in
I ncome; Income
i ndustrial; industrial
i ntegrated; integrated
i s; is
i t ; it
I t; It
i3; is
Iam; I am
ian; Ian
Ibelieve; I believe
Ican; I can
Icannot; I cannot
identifica tion; identification
Idesire; I desire
ifhe; if he
ifI; if I
ifLabor; if Labor
ifnot; if not
Ifso; If so
ifthe; if the
Ifthe; If the
ifthey; if they
Ifwe; If we
ig nore; ignore
Ihave; I have
iinportant; important
Ilansard; Hansard
illconsidered; ill considered
illfeeling; ill feeling
illhealth; ill health
illinformed; ill informed
illtimed; ill timed
illwill; ill will
im partial; impartial
im plement; implement
im plements; implements
im plied; implied
im portant; important
im posing; imposing
im possible; impossible
im provement; improvement
im- prove; improve
imasine; imagine
imbal ance; imbalance
Immigation; Immigration
Imove; I move
ImperialForce; Imperial Force
impli cations; implications
impo tent; impotent
import antly; importantly
imposible; impossible
impossi- ble; impossible
Imprisonmen t; Imprisonment
improve ments; improvements
in clined; inclined
in cluded; included
in cluding; including
in come tax; income tax
in come; income
in corporated; incorporated
in crease; increase
in creases; increases
In creases; Increases
in dividual; individual
in dulgence; indulgence
in dustrial; industrial
in dustries; industries
in dustry; industry
in genuity; ingenuity
in quiries; inquiries
in spection; inspection
in sulin; insulin
in tention; intention
in ternational; international
in terpretation; interpretation
in tervention; intervention
in troduction; introduction
in vestigations; investigations
in vestment; investment
in vitation; invitation
in volve; involve
in volved; involved
in volvement; involvement
in volves; involves
ina; in a
inac tivity; inactivity
inAdelaide; in Adelaide
inAustralia; in Australia
incen tives; incentives
inci dents; incidents
inciuded; included
includ ing; including
includingthe; including the
incon sistency; inconsistency
incon venience; inconvenience
incon venient; inconvenient
incor rect; incorrect
incorpor ated; incorporated
incorporatedin; incorporated in
increas ing; increasing
increaseon; increase on
increasethe; increase the
indepen dent; independent
Indianirrigation; Indian irrigation
indiarubber; india rubber
indict ment; indictment
IndoChina; Indo China
indorse; endorse
indorsed; endorsed
indorsement; endorsement
indorses; endorses
indorsing; endorsing
indul gence; indulgence
indus trial; industrial
indus try; industry
IndustrialAccidents; Industrial Accidents
ineach; in each
inevery; in every
inevi tability; inevitability
inevitahle; inevitable
infavour; in favour
infla tion; inflation
infla tionary; inflationary
infor mation; information
inHansard; in Hansard
inhis; in his
initiat ive; initiative
InItIative; initiative
inorder; in order
inregard; in regard
inreply; in reply
Inreply; In reply
insertthewords; insert the words
insignis; insign is
insome; in some
InspectorGeneral; Inspector General
insti tution; institution
insti tutions; insti tutions
Intelli gence; Intelligence
inten tionally; intentionally
intendto; intend to
inter fere; interfere
inter national; international
Inter vention; Intervention
InterDepartmental; Inter-Departmental
Interestate; Inter-estate
interestsof; interests of
Intergovernment; Inter-government
interjectingMr; interjecting Mr
interriational; international
interrup ted; interrupted
Inthe; In the
inthe; in the
inthis; in this
intimi dation; intimidation
intoparliamentary; into parliamentary
introducethis; introduce this
intrust; entrust
invcstigative; investigative
inves tigated; investigated
inves tigating; investigating
inves tors; investors
invest ment; investment
investi gation; investigation
Investi gation; Investigation
investi gators; investigators
inVictoria; in Victoria
Inview; In view
inWestern; in Western
inwhich; in which
Ipoint; I point
ir responsible; irresponsible
irivest; invest
Ironworkers; Iron workers
ironworkers; iron workers
Irrespectiv e; Irrespective
Isaid; I said
isalso; is also
isas; is as
Isay; I say
isbeing; is being
isdirected; is directed
isdone; is done
Ishall; I shall
Ishould; I should
isin; is in
Isit; Is it
Isleave; Is leave
islong; is long
isno; is no
isnot; is not
isnow; is now
ispaid; is paid
isperfectly; is perfectly
isquite; is quite
isshown; is shown
isso; is so
isthat; is that
isthe; is the
Isthe; Is the
isto; is to
isvery; is very
isworse; is worse
it.But; it. But
itcan; it can
ithas; it has
Ithas; It has
Ithink; I think
itis; it is
Itis; It is
Itrust; It rust
itshould; it should
itto; it to
itwas; it was
Itwas; It was
itwill; it will
itwould; it would
Iunderstand; I understand
Iwas; I was
Iwill; I will
Iwish; I wish
Iwould; I would
j dare; I dare
JOHNFORREST; JOHN FORREST
JOHNQUICK; JOHN QUICK
JOSEPHCOOK; JOSEPH COOK
JosephCook; Joseph Cook
JOSEPHCOOK__; JOSEPH COOK 
justifiedin; justified in
k ill; kill
K in g dom; Kingdom
K.C.M.G; KCMG
K.C; KC
KalgoorliePort; Kalgoorlie Port
kanaka; Kanaka
kanakas; Kanakas
KingdomAustralia; Kingdom Australia
KingsfordSmith; Kingsford Smith
knowhow; know how
knowl edge; knowledge
knowthat; know that
knowthe; know the
knowwhy; know why
laborer; labourer
LaborGovernment; Labor Government
LabourGovernment; Labour Government
LabourParty; Labour Party
Labourparty; Labour party
laboursaving; labour saving
laiddown; laid down
largescale; large scale
lastcouple; last couple
lastnamed; last named
lastyear; last year
lawabiding; law abiding
lead ing; leading
Leader o f the; Leader of the
Leaderof; Leader of
Leaderwe; Leader we
learnedfriend; learned friend
leav.; leave
leaveadopted; leave adopted
leaveI; leave I
leaveto; leave to
lega l; legal
legis lation; legislation
legislative,safeguards; legislative, safeguards
Lepderofthe; Leader of the
lettercarrier; letter carrier
lettercarriers; letter carriers
lettersorters; letter sorters
leveL; level
lias; has
LiberalAustralian; Liberal Australian
LiberalCountry; Liberal Country
LiberalNational; Liberal National
licencefee; licence fee
LieutenantGeneral; Lieutenant General
LieutenantGovernor; Lieutenant Governor
lightkeepers; light keepers
likefcosay; like to say
likelyto; likely to
likethe; like the
lim ited; limited
limi tation; limitation
lis tening; listening
liv ing; living
LloydGeorge; Lloyd George
localgoverning; local governing
locallymanufactured; locally manufactured
lodgment; lodgement
longdistance; long distance
longrange; long range
longstanding; long standing
longterm; long term
look ing; looking
loudmouthed; loud mouthed
low in come; low income
lowgrade; low grade
loy alty; loyalty
Lt.Col; Lt Col
M c MAHON; McMAHON
M inister; Minister
M r; Mr
M y; My
