document,topic,gamma
1942,8,1.0298899836552483e-5
1982,8,1.045079366963028e-5
1989,8,1.6576496061337666e-6
1975,8,2.388960658933212e-5
1921,8,2.093286070570957e-6
1963,8,0.8683227010256983
1931,8,6.43062428222216e-7
1906,8,1.4650250490123623e-6
1991,8,1.1586803862627333e-6
1905,8,2.358355465209746e-6
1951,8,1.0524415394727192e-5
1948,8,3.442371264171843e-6
1939,8,9.419769069665298e-6
1914,8,2.8225646270612777e-6
1924,8,1.1362678788223375e-6
1969,8,0.9999554386087696
1993,8,4.676620085720768e-6
1904,8,1.0200638671852974e-6
1928,8,6.113258279142018e-7
1973,8,0.2752947443112222
1901,8,2.34773594648047e-6
1911,8,2.6672913103373295e-6
1979,8,1.1212167921067358e-5
1972,8,0.972614578267109
1925,8,1.802631452814523e-6
1983,8,6.365900233775882e-6
1970,8,0.9999500034676642
1917,8,3.1684137215890654e-6
1936,8,1.3070630517357515e-6
1977,8,2.3030727017917505e-5
1955,8,2.2490872687047026e-5
1926,8,1.1678708092767464e-6
1902,8,4.428909801810241e-6
1956,8,3.4466269711217503e-5
1990,8,1.7791116667307163e-6
1916,8,4.074492010387263e-6
1922,8,2.857123523446844e-6
1947,8,4.2662306247289735e-6
1908,8,4.31533873894038e-6
1957,8,0.471281547845723
1923,8,6.288634031021625e-6
1967,8,0.9999373669585848
1943,8,1.092550769420372e-5
1961,8,0.12115004348141507
1976,8,0.037464395541660804
1959,8,0.036787130327899265
1913,8,6.259800257784693e-6
1954,8,4.557956403295939e-5
1934,8,1.9449205708254993e-6
1966,8,0.9998409361857079
1968,8,0.9998999179524664
1974,8,0.29295065397363623
1937,8,1.7138845578682097e-5
2007,9,3.743040872057813e-7
2017,9,1.4378938112692704e-7
2009,9,4.2512988957631827e-7
1903,9,7.51999725641221e-7
1999,9,1.0979690640272452e-7
2003,9,1.0933805543753934e-7
1998,9,2.9082144837884085e-7
1907,9,1.9862018963678636e-7
2008,9,2.7148120644359817e-7
2015,9,1.802581277379569e-7
2004,9,7.925777326230529e-8
2011,9,5.921006930960453e-7
1997,9,1.8429989156158227e-7
2005,9,4.4092387042595224e-7
2013,9,4.7654140900295136e-7
1953,9,2.078370220304558e-6
1945,9,3.856276460934682e-7
1918,9,1.462727340994443e-7
1984,9,0.999986257794638
1949,9,3.134189594398934e-7
1986,9,1.1002982437651301e-6
1944,9,2.4807167804967893e-7
2010,9,4.958379516041679e-7
2001,9,2.621320146144585e-7
1929,9,4.10262196149815e-7
1996,9,6.814457119501791e-7
1988,9,1.4899841733942403e-6
1950,9,6.420062540170963e-7
1941,9,7.183721642636054e-7
1987,9,1.0937309126885386e-6
1915,9,5.379722609709453e-7
1927,9,1.0702058322276832e-6
1912,9,1.0292781223370188e-6
1995,9,4.146122101121838e-7
1985,9,1.7016319462301058e-6
1962,9,3.5490232928941517e-6
2014,9,5.147518033609735e-7
1940,9,1.0265968808793915e-6
2016,9,1.3564786950622133e-6
2006,9,1.9255385890623804e-7
2012,9,3.411968415391852e-7
1910,9,2.320807510722965e-6
1952,9,2.1317303659494293e-6
1935,9,3.6903234172848866e-7
2000,9,3.701425945130316e-7
1994,9,7.418212550186136e-7
2002,9,2.9394321345409765e-7
1920,9,3.5713714937629535e-7
1965,9,1.8913925796784074e-6
1938,9,1.1778632469466574e-6
1909,9,7.666768866219963e-7
1978,9,0.9999628462511936
1981,9,4.355950642649855e-6
1964,9,2.385700001000078e-6
1992,9,1.4322409595440406e-5
1919,9,5.889961870699512e-7
1932,9,8.698399502144122e-7
1933,9,6.624289929347618e-7
1930,9,5.899977498936442e-7
1958,9,7.379342330631537e-6
1946,9,5.215145026990024e-7
1942,9,1.6861736935091598e-6
1982,9,6.073648411704572e-6
1989,9,2.0061570741753107e-6
1975,9,0.9777409387367447
1921,9,9.441222094809376e-7
1963,9,4.374873606361252e-6
1931,9,4.6240164432328335e-7
1906,9,1.282851467902313e-6
1991,9,3.665450177703013e-7
1905,9,2.1371791027246115e-6
1951,9,1.1229028601917872e-6
1948,9,4.337724733382783e-7
1939,9,1.616490493625827e-6
1914,9,3.1944075873589924e-6
1924,9,7.159869809162668e-7
1969,9,3.4320230852707686e-6
1993,9,3.7834693041975767e-6
1904,9,1.2525978423157054e-6
1928,9,6.265051882208832e-7
1973,9,1.9056405817470985e-5
1901,9,5.870515056945365e-7
1911,9,3.375298297100729e-6
1979,9,5.310973415685924e-6
1972,9,1.2034316138341209e-5
1925,9,1.1459177240608617e-6
1983,9,0.999955146619585
1970,9,5.492560695202975e-6
1917,9,7.873895685994355e-7
1936,9,6.853228401232264e-7
1977,9,7.1262489603829e-6
1955,9,1.0793924991162944e-6
1926,9,1.0788823536345022e-6
1902,9,2.314004918740747e-6
1956,9,2.7123343930342697e-6
1990,9,1.8383231586340361e-6
1916,9,9.562630525508307e-7
1922,9,7.235242327119346e-7
1947,9,5.41893907011858e-7
1908,9,3.0341917666083315e-6
1957,9,7.779314639461178e-6
1923,9,3.1586702572550945e-6
1967,9,3.0859017856531704e-6
1943,9,1.1712916028076994e-6
1961,9,6.387344594016069e-6
1976,9,0.9556336585119684
1959,9,7.171074030525255e-6
1913,9,4.652027539923144e-6
1954,9,2.0169346158334643e-6
1934,9,1.0616608615716756e-6
1966,9,5.057568621965322e-6
1968,9,3.914512252459799e-6
1974,9,0.7066847183526429
1937,9,3.888327787175847e-6
2007,10,3.96637435599697e-7
2017,10,4.036204515211006e-7
2009,10,6.250209089392175e-7
1903,10,8.183032763761036e-7
1999,10,1.3011312821159259e-6
2003,10,2.475510487261779e-7
1998,10,2.6402319592399836e-6
1907,10,2.311262893300466e-6
2008,10,2.8623483825515874e-7
2015,10,5.154403686522732e-7
2004,10,2.596257783443963e-7
2011,10,8.756512128368154e-7
1997,10,1.8889057521368508e-6
2005,10,7.333670652270388e-7
2013,10,1.1339408898603384e-6
1953,10,7.98290724878158e-6
1945,10,1.1160427135555577e-6
1918,10,3.0127876324005473e-6
1984,10,4.0229610107310195e-7
1949,10,1.0231446474646599e-6
1986,10,8.977070717945699e-7
1944,10,1.2261794236774303e-6
2010,10,8.088426850147424e-7
2001,10,5.011294889782372e-7
1929,10,2.6364104424842037e-6
1996,10,4.003911350104868e-6
1988,10,1.8444341565367191e-6
1950,10,3.3449102355141802e-6
1941,10,9.105698988032504e-6
1987,10,9.544383119836986e-7
1915,10,1.1425495657656498e-5
1927,10,0.9999130857043121
1912,10,2.234992157659216e-6
1995,10,8.67865275769126e-7
1985,10,9.539642910135128e-7
1962,10,1.7842070740696054e-6
2014,10,1.4076903174349264e-6
1940,10,1.3923843879836078e-5
2016,10,2.8423516629492235e-6
2006,10,3.7215801646036105e-7
2012,10,7.013468952275887e-7
1910,10,3.300300436688732e-6
1952,10,0.07984532073586893
1935,10,2.1623604350779376e-6
2000,10,6.811860218786831e-7
1994,10,1.1527349257087643e-6
2002,10,5.177603084307613e-7
1920,10,9.616719861360892e-6
1965,10,9.911095801578774e-7
1938,10,6.459126189425974e-6
1909,10,1.6093989159344315e-6
1978,10,1.0327989780288863e-6
1981,10,7.742037522226663e-7
1964,10,2.4501772695260243e-6
1992,10,1.2656273703201615e-5
1919,10,9.97268839002271e-6
1932,10,1.2380635401819844e-5
1933,10,5.521046956931923e-6
1930,10,4.291391369262924e-6
1958,10,8.968646013067984e-6
1946,10,1.4623100150006041e-6
1942,10,1.63375048710798e-5
1982,10,1.319744864229451e-6
1989,10,2.084636322692889e-6
1975,10,5.292178908685399e-6
1921,10,0.08128934174599901
1963,10,8.682755078748207e-6
1931,10,2.9220169387597546e-6
1906,10,6.599355137751592e-6
1991,10,1.5317825937819255e-6
1905,10,3.1744742720489705e-6
1951,10,9.30657866156872e-6
1948,10,1.1284966715198563e-6
1939,10,1.7387715560609705e-5
1914,10,3.3994069308926e-5
1924,10,0.9998362819278204
1969,10,5.625269941085405e-7
1993,10,0.28462677266116365
1904,10,1.0186591859728433e-6
1928,10,4.684696324516297e-6
1973,10,8.759387592617586e-6
1901,10,1.5963984715652771e-6
1911,10,1.9450297630620716e-5
1979,10,8.781523030768081e-7
1972,10,9.136457699646539e-7
1925,10,3.583391304664866e-5
1983,10,1.5360925886253513e-6
1970,10,5.540678391432538e-7
1917,10,1.9417964293895077e-5
1936,10,4.2488710747086904e-6
1977,10,1.193062700862868e-6
1955,10,5.186814998033866e-6
1926,10,8.040573773475715e-6
1902,10,5.615571143899215e-6
1956,10,1.1274855340877618e-5
1990,10,3.0229970776266875e-6
1916,10,1.922828218800819e-5
1922,10,1.1393111010750465e-5
1947,10,1.3214146166723598e-6
1908,10,2.4584947839533854e-5
1957,10,1.1826856543024698e-5
1923,10,0.09024249463172102
1967,10,1.0563432453473684e-6
1943,10,3.8407809424097965e-6
1961,10,6.3182594407538885e-6
1976,10,1.0550191884095307e-5
1959,10,1.0605743736190378e-5
1913,10,1.6663995497176005e-5
1954,10,7.086928693118195e-6
1934,10,5.580690440239023e-6
1966,10,2.2292259656025016e-6
1968,10,1.8606442491030635e-6
1974,10,5.267457323916566e-6
1937,10,2.2850544572276236e-5
2007,11,2.0031854269499748e-7
2017,11,1.1860152584507428e-7
2009,11,2.548732921950532e-7
1903,11,4.5678622227599515e-6
1999,11,2.1551848570228295e-7
2003,11,1.6042612257046677e-7
1998,11,3.3699594067401567e-7
1907,11,0.9999680743358964
2008,11,1.2002844180004753e-7
2015,11,1.771775120769895e-7
2004,11,2.0449588792020055e-7
2011,11,2.2278005550519748e-7
1997,11,3.5778349012894766e-7
2005,11,5.644871565839742e-7
2013,11,3.4057535924547443e-7
1953,11,1.0891684308621719e-6
1945,11,2.68846464410048e-7
1918,11,1.4919725820784957e-6
1984,11,2.293723874626588e-7
1949,11,3.511645509503208e-7
1986,11,2.81459076344266e-7
1944,11,3.018588004684384e-7
2010,11,3.0032960872999306e-7
2001,11,3.490146864997256e-7
1929,11,2.9234935154535657e-6
1996,11,5.416344443588169e-7
1988,11,1.0742920851358116e-6
1950,11,1.6911777104456067e-7
1941,11,3.129436387151338e-6
1987,11,2.772467733648423e-7
1915,11,5.648752298813421e-6
1927,11,9.248146194585236e-6
1912,11,8.07034270138259e-6
1995,11,3.1137300816250144e-7
1985,11,3.370055782114114e-7
1962,11,6.718800889824922e-7
2014,11,6.323535727672404e-7
1940,11,4.664372557644025e-6
2016,11,8.234333796153146e-7
2006,11,2.1933473206888366e-7
2012,11,2.529649625857406e-7
1910,11,2.0086002203870255e-5
1952,11,4.0743957649152155e-6
1935,11,2.032804764515625e-6
2000,11,2.7480835167433686e-7
1994,11,4.5427887556500503e-7
2002,11,3.011131658878973e-7
1920,11,4.071540544759356e-6
1965,11,7.107677254844954e-7
1938,11,3.969130129247199e-6
1909,11,1.074161727828917e-5
1978,11,6.843915819541173e-7
1981,11,6.869320860081001e-7
1964,11,6.746163129525966e-7
1992,11,1.7033733302969178e-6
1919,11,6.282151857567951e-6
1932,11,6.391281482784057e-6
1933,11,7.387631174215641e-6
1930,11,4.7086153514685265e-6
1958,11,6.809597946538842e-7
1946,11,3.8753551885033043e-7
1942,11,4.85187384065257e-6
1982,11,1.0472135721015756e-6
1989,11,4.841416886334722e-7
1975,11,1.3269757108356507e-5
1921,11,0.7566066685306846
1963,11,2.737974563122382e-6
1931,11,2.324251282842456e-6
1906,11,0.963546215371793
1991,11,7.950376643013797e-7
1905,11,9.61175303701256e-4
1951,11,1.8031763585418027e-6
1948,11,2.786497653539553e-7
1939,11,6.273622472225397e-6
1914,11,4.59396611818049e-5
1924,11,8.835083241990277e-6
1969,11,3.3574860244624823e-7
1993,11,2.9032327922385524e-6
1904,11,1.413078102941159e-5
1928,11,4.232163248352871e-6
1973,11,3.0563345432796512e-6
1901,11,4.72146926410502e-6
1911,11,0.9023107040246987
1979,11,6.360623695588172e-7
1972,11,5.989693772558166e-7
1925,11,8.582799276557385e-6
1983,11,8.968978441635795e-7
1970,11,3.68771826950058e-7
1917,11,6.478242240435511e-6
1936,11,6.542480498541839e-6
1977,11,7.847037102693735e-7
1955,11,5.864630156837888e-7
1926,11,1.8159356784386998e-5
1902,11,9.62247423134912e-6
1956,11,2.8435558240248587e-6
1990,11,5.955549386904233e-7
1916,11,7.755729355115865e-6
1922,11,4.454885880608854e-6
1947,11,4.0001410742968093e-7
1908,11,0.8264585247593742
1957,11,1.5810655371945347e-6
1923,11,4.205605172410633e-5
1967,11,7.341044914982873e-7
1943,11,1.47391438630376e-6
1961,11,1.358698969860008e-6
1976,11,4.756093436912427e-6
1959,11,1.758153215034517e-6
1913,11,4.806863338545192e-5
1954,11,8.743208270043888e-7
1934,11,6.408646515783344e-6
1966,11,1.5044919244512569e-6
1968,11,1.4086401810502188e-6
1974,11,3.6363372482677745e-6
1937,11,1.445707901658129e-5
2007,12,8.141449374498916e-7
2017,12,3.644105058794541e-7
2009,12,1.2236222122484626e-6
1903,12,3.8104389306883833e-7
1999,12,0.9999888883580229
2003,12,2.544430219461231e-7
1998,12,0.999980973128795
1907,12,1.8402608319755272e-7
2008,12,6.347967977292402e-7
2015,12,4.226302452668504e-7
2004,12,2.4120072769512913e-7
2011,12,5.673968969155323e-7
1997,12,0.99998230259084675
2005,12,1.2694202690938532e-6
2013,12,6.723359689398646e-7
1953,12,5.271360438357264e-7
1945,12,2.9040184974940614e-7
1918,12,4.0023834118182415e-7
1984,12,4.478113895026521e-7
1949,12,2.1775387233936464e-7
1986,12,1.7130008304649118e-6
1944,12,2.3621553365188847e-7
2010,12,5.703513651684384e-7
2001,12,1.0141890346931798e-6
1929,12,1.820751059052701e-7
1996,12,0.9999634050899447
1988,12,3.964204978888136e-6
1950,12,1.5584539991148746e-7
1941,12,7.861692330872207e-7
1987,12,1.7640630745882085e-6
1915,12,8.652128408254571e-7
1927,12,4.518188706458832e-6
1912,12,4.933638044772879e-7
1995,12,8.484697983183565e-6
1985,12,1.5062641563739183e-6
1962,12,1.2615638625877264e-6
2014,12,1.350228305494434e-6
1940,12,7.386812815166422e-7
2016,12,2.5170793614081496e-6
2006,12,4.233932449973121e-7
2012,12,4.807674852554493e-7
1910,12,1.3329713630041193e-6
1952,12,3.6979405069996636e-6
1935,12,1.8403995558601188e-7
2000,12,2.85474739172463e-6
1994,12,5.909221051345841e-6
2002,12,5.457945973443437e-7
1920,12,6.505128053520897e-7
1965,12,8.807125153332885e-7
1938,12,4.086378836025978e-7
1909,12,4.1680041649669075e-7
1978,12,4.6015788328050085e-7
1981,12,2.9732620630036337e-7
1964,12,5.452392854455319e-7
1992,12,0.9231802145658673
1919,12,7.540947140868844e-7
1932,12,5.5887808967641e-7
1933,12,3.9075004048575107e-7
1930,12,3.1185743519079804e-7
1958,12,1.6677952216604478e-6
1946,12,3.8430440461918273e-7
1942,12,1.710599370717948e-6
1982,12,6.024695147217825e-7
1989,12,1.6090673610972367e-5
1975,12,1.7308906301022815e-6
1921,12,2.1270086461463922e-6
1963,12,1.1318656981418776e-6
1931,12,1.975833492195796e-7
1906,12,7.779555728700138e-7
1991,12,4.720380877886511e-6
1905,12,2.528770738205701e-6
1951,12,1.4373343310349275e-7
1948,12,3.096442370746086e-7
1939,12,1.0943367654747504e-6
1914,12,1.9839359047173695e-6
1924,12,5.0396504832027935e-6
1969,12,7.727747461499507e-7
1993,12,0.6600246451776939
1904,12,5.170347240133029e-7
1928,12,2.576649515886278e-7
1973,12,3.4767173759967318e-6
1901,12,2.9773801348829393e-6
1911,12,1.3057625908589305e-6
1979,12,3.7811395135774895e-7
1972,12,1.7631180871779682e-6
1925,12,9.069217282549179e-7
1983,12,1.1127185159095945e-6
1970,12,1.0427988439234774e-6
1917,12,1.4490587187951981e-6
1936,12,3.96634550709152e-7
1977,12,5.429735686310567e-7
1955,12,2.246657980699154e-7
1926,12,6.29860984469622e-7
1902,12,3.9868477492171276e-6
1956,12,4.5709678168959605e-7
1990,12,4.271438928518596e-5
1916,12,1.767669903007605e-6
1922,12,9.428394431963414e-7
1947,12,3.353298384929856e-7
1908,12,1.6386520042398414e-6
1957,12,1.9620836114290376e-6
1923,12,7.328595207151215e-6
1967,12,1.3055861738454257e-6
1943,12,9.56458762298059e-7
1961,12,1.097630430327427e-6
1976,12,2.7147481434097745e-6
1959,12,1.5519030935428594e-6
1913,12,3.074412945857493e-6
1954,12,4.0618880733307223e-7
1934,12,5.888730300309217e-7
1966,12,1.992308830858698e-6
1968,12,1.613130259748115e-6
1974,12,4.379471121716607e-6
1937,12,2.212147472505894e-6
2007,13,2.8097774601252057e-7
2017,13,1.1465838147979878e-7
2009,13,3.356760115820895e-7
1903,13,7.042960364842936e-7
1999,13,9.929767705535425e-7
2003,13,4.0850417142661235e-8
1998,13,1.6487662529627914e-6
1907,13,1.3400411270905067e-7
2008,13,2.2839103025971335e-7
2015,13,1.1322835111157051e-7
2004,13,2.416719887778111e-8
2011,13,6.133257979296594e-7
1997,13,1.6189475272187304e-6
2005,13,3.8824503040044533e-7
2013,13,3.686491328796959e-7
1953,13,9.363755391582576e-7
1945,13,3.6384354422262826e-7
1918,13,1.72431705240311e-7
1984,13,1.5156115777394114e-6
1949,13,2.5663995238086925e-7
1986,13,0.9999823629840259
1944,13,2.582098029099666e-7
2010,13,4.5304726433890055e-7
2001,13,1.223458150737254e-7
1929,13,2.6224840726696107e-7
1996,13,3.817309471670621e-6
1988,13,7.125464946859902e-6
1950,13,2.0923756220436206e-7
1941,13,7.21681903558065e-7
1987,13,0.999981481054454
1915,13,5.330535334305719e-7
1927,13,1.698696806026951e-6
1912,13,1.0061087165019473e-6
1995,13,2.54465761043085e-6
1985,13,0.9999785769018771
1962,13,1.1944839999517138e-6
2014,13,4.174487735459761e-7
1940,13,9.98967955556846e-7
2016,13,1.1233758517213077e-6
2006,13,6.448739311203006e-8
2012,13,3.3281744458945905e-7
1910,13,1.946883227415228e-6
1952,13,1.6010294625540563e-6
1935,13,3.3967420196293936e-7
2000,13,3.362406560226895e-7
1994,13,2.988128341459735e-6
2002,13,1.0863081228083791e-7
1920,13,3.747077839884134e-7
1965,13,4.869347717713215e-7
1938,13,8.601552682807622e-7
1909,13,6.889297433731185e-7
1978,13,1.8787487358871692e-6
1981,13,3.1931855551945643e-6
1964,13,3.685797976987242e-7
1992,13,0.058116864891317815
1919,13,5.495357866333429e-7
1932,13,8.851835327205927e-7
1933,13,6.268978556693613e-7
1930,13,4.051021819850595e-7
1958,13,1.706466546696898e-6
1946,13,4.611044543649906e-7
1942,13,1.685463814609299e-6
1982,13,4.403173671627047e-6
1989,13,0.9997930047443546
1975,13,4.202427161060283e-6
1921,13,1.0167262633234573e-6
1963,13,7.299932574968184e-7
1931,13,2.9674126663243253e-7
1906,13,7.905658732900216e-7
1991,13,3.8442528755207415e-6
1905,13,2.0509541593333284e-6
1951,13,2.2155284650234313e-7
1948,13,3.5251235268339024e-7
1939,13,1.5442423193034323e-6
1914,13,2.6986850278783407e-6
1924,13,1.4465680306161124e-6
1969,13,7.317195016481645e-7
1993,13,1.1461741272750223e-4
1904,13,7.46097760172242e-7
1928,13,4.0848273030054213e-7
1973,13,8.325932120128913e-6
1901,13,1.1756883443342122e-6
1911,13,1.928939631925175e-6
1979,13,3.1482070123609794e-6
1972,13,5.879103091260215e-6
1925,13,9.016701492609961e-7
1983,13,3.3527461225822525e-6
1970,13,1.0736413029883645e-6
1917,13,8.273539251638313e-7
1936,13,6.495355921520046e-7
1977,13,4.236100787688468e-6
1955,13,2.2816099801690023e-7
1926,13,7.600629872691711e-7
1902,13,2.735301108366346e-6
1956,13,7.509035438798335e-7
1990,13,0.9999101266781716
1916,13,1.0101763915937293e-6
1922,13,6.948587580501211e-7
1947,13,4.6597650920701664e-7
1908,13,1.8329704057543643e-6
1957,13,1.5802345153859564e-6
1923,13,4.161924982661381e-6
1967,13,7.733115634997231e-7
1943,13,1.1714519021622794e-6
1961,13,1.0380083985621644e-6
1976,13,4.527471850241887e-6
1959,13,1.397738782396108e-6
1913,13,3.708015335696243e-6
1954,13,4.498329064069629e-7
1934,13,1.0216908415156254e-6
1966,13,1.1269084582549471e-6
1968,13,1.0161089945531395e-6
1974,13,7.889112086751618e-6
1937,13,3.5065099239607593e-6
2007,14,3.34636826570557e-7
2017,14,1.0716140752789458e-7
2009,14,1.5535694575744938e-7
1903,14,8.019252442909335e-7
1999,14,1.626174211837286e-7
2003,14,1.8706754713383665e-7
1998,14,3.682160369330843e-7
1907,14,2.258610868932594e-7
2008,14,2.2653536570072872e-7
2015,14,1.7247617507522022e-7
2004,14,2.4552583857540043e-7
2011,14,9.207895749734438e-7
1997,14,2.0843174734132763e-7
2005,14,9.11932170309703e-7
2013,14,5.893958173662715e-7
1953,14,0.3103131877498823
1945,14,1.0038453390183476e-5
1918,14,9.657961305511883e-7
1984,14,5.392977250581527e-7
1949,14,1.582971763490781e-5
1986,14,4.344411153285118e-7
1944,14,1.0874787866268348e-5
2010,14,4.771742327600616e-7
2001,14,2.1403405248628566e-7
1929,14,1.3855431059434125e-6
1996,14,8.387911262504937e-7
1988,14,1.2403294795607637e-6
1950,14,0.9488312531773189
1941,14,1.3271085630474063e-5
1987,14,4.584144715090701e-7
1915,14,2.2675764487265313e-6
1927,14,9.022046903095814e-6
1912,14,2.3203598269714803e-6
1995,14,4.763544621067149e-7
1985,14,4.926428685574514e-7
1962,14,1.385517272865227e-4
2014,14,3.975786424513769e-7
1940,14,3.2702517635915034e-5
2016,14,1.2843202171377687e-6
2006,14,3.67218454443118e-7
2012,14,3.9534693136222913e-7
1910,14,2.5360769373369644e-6
1952,14,0.9200092266756492
1935,14,3.127588726891494e-6
2000,14,3.95944931302965e-7
1994,14,5.181492972567885e-7
2002,14,4.3913476692173693e-7
1920,14,1.78737647876178e-6
1965,14,2.694311762729039e-5
1938,14,9.611463973193929e-5
1909,14,1.5866238979184494e-6
1978,14,2.4175467786776126e-6
1981,14,2.3104823552595527e-6
1964,14,0.025214690205363894
1992,14,6.0173713733369154e-5
1919,14,3.0872928349619725e-6
1932,14,8.49055814493277e-6
1933,14,6.413892425253243e-6
1930,14,1.7580132544443793e-6
1958,14,0.3601376588466962
1946,14,1.7796261775246255e-5
1942,14,3.1897270989062824e-5
1982,14,3.451791298038889e-6
1989,14,5.985518309251893e-7
1975,14,1.6330344215744562e-5
1921,14,2.224609134056886e-5
1963,14,0.13153360926773014
1931,14,2.611319288066802e-6
1906,14,1.4676615871171167e-6
1991,14,5.617405212105734e-7
1905,14,1.412076617505063e-6
1951,14,0.9770243636404953
1948,14,1.4045842149735938e-5
1939,14,5.772324288995349e-5
1914,14,9.560625951928679e-6
1924,14,1.2983973379397064e-5
1969,14,1.4465621158368837e-5
1993,14,6.701883956020428e-6
1904,14,1.1982867844460608e-6
1928,14,1.6328613038140673e-6
1973,14,0.09636572167010683
1901,14,5.85003697648209e-7
1911,14,4.1037084356959566e-6
1979,14,2.984084589750011e-6
1972,14,1.373660367543025e-5
1925,14,7.200802688885636e-6
1983,14,2.8792656033819267e-6
1970,14,1.1082532626406223e-5
1917,14,3.6979928318041324e-6
1936,14,7.182189778335796e-6
1977,14,4.9889187065058435e-6
1955,14,0.9999253998030707
1926,14,2.725129383959167e-6
1902,14,4.88093429912877e-6
1956,14,0.9304822880108211
1990,14,6.227579930116476e-7
1916,14,5.541587027240901e-6
1922,14,5.049775940577675e-6
1947,14,1.4572824156410117e-5
1908,14,4.263180553468945e-6
1957,14,0.46898753955367267
1923,14,7.930995009287579e-5
1967,14,2.359068995587304e-5
1943,14,2.595263974625018e-5
1961,14,0.8787617445886494
1976,14,0.006664433265454054
1959,14,0.9630940282251431
1913,14,8.20994124341673e-6
1954,14,0.9998798050749812
1934,14,8.645384139691167e-6
1966,14,8.199497165820882e-5
1968,14,3.837366796980091e-5
1974,14,1.0166015840816347e-4
1937,14,9.440985749931846e-5
2007,15,5.284927160771313e-7
2017,15,4.224070493926e-7
2009,15,1.1637622324773666e-6
1903,15,5.930190078441769e-7
1999,15,1.4267752297581052e-6
2003,15,1.292468104460869e-6
1998,15,2.6170794500805957e-6
1907,15,2.88914239128698e-7
2008,15,3.943289478185609e-7
2015,15,4.775844528382117e-7
2004,15,1.1241783787512984e-6
2011,15,4.37523612388971e-7
1997,15,2.209306039798901e-6
2005,15,7.745389013480149e-7
2013,15,6.763945416237533e-7
1953,15,9.698173396045538e-7
1945,15,3.671776643133128e-7
1918,15,1.9302833631529827e-7
1984,15,8.195216633083501e-7
1949,15,2.60816595930277e-7
1986,15,2.0325135493292366e-6
1944,15,2.750806607691901e-7
2010,15,6.530456601731575e-7
2001,15,2.9248437191292647e-6
1929,15,2.6072848644684794e-7
1996,15,4.944517273864008e-6
1988,15,0.9999539697749148
1950,15,2.30684279058189e-7
1941,15,6.978146088205706e-7
1987,15,2.4589914028713818e-6
1915,15,5.5693467954886e-7
1927,15,1.5207545383115086e-6
1912,15,6.571456887495548e-7
1995,15,0.9999728015523502
1985,15,2.3136804643175482e-6
1962,15,1.4876667746170355e-6
2014,15,1.2800030173933046e-6
1940,15,7.955105715998665e-7
2016,15,3.0474492797066376e-6
2006,15,1.8799689032720422e-6
2012,15,5.101948199164036e-7
1910,15,1.6495197525212144e-6
1952,15,1.4824398249817955e-6
1935,15,2.861103568367125e-7
2000,15,5.318962501682367e-6
1994,15,0.9999723948726107
2002,15,2.6867788564710712e-6
1920,15,3.7595464784270334e-7
1965,15,8.061788157776454e-7
1938,15,7.600266671247628e-7
1909,15,5.135441596415339e-7
1978,15,7.81333863030046e-7
1981,15,1.7221380300500943e-6
1964,15,5.368120106661336e-7
1992,15,2.2282842826072854e-5
1919,15,4.96603946521518e-7
1932,15,7.205956188047591e-7
1933,15,5.833310407834577e-7
1930,15,3.859113640064785e-7
1958,15,2.0471659822914633e-6
1946,15,4.7293611805007675e-7
1942,15,1.6076664054358712e-6
1982,15,2.92318574925469e-6
1989,15,1.6352024869116435e-4
1975,15,2.4595094835399705e-6
1921,15,1.0555064312149298e-6
1963,15,1.1155042668275698e-6
1931,15,2.942812351856293e-7
1906,15,1.1276923217144395e-6
1991,15,0.9999669667162732
1905,15,1.4067663352153304e-6
1951,15,2.470420972771724e-7
1948,15,3.847657131192803e-7
1939,15,1.3087924555442925e-6
1914,15,2.0370484720964984e-6
1924,15,1.4237774191882744e-6
1969,15,9.943775529211543e-7
1993,15,0.055148070464048474
1904,15,6.761672213976578e-7
1928,15,3.569486504994434e-7
1973,15,9.52000431575939e-6
1901,15,6.257144757913003e-7
1911,15,2.5069909697908696e-6
1979,15,1.8181351281255571e-6
1972,15,4.255190634232603e-6
1925,15,8.134483805677141e-7
1983,15,1.6742449995634784e-6
1970,15,1.2946448301223554e-6
1917,15,8.160660812125381e-7
1936,15,6.434102959476752e-7
1977,15,2.4775997162299674e-6
1955,15,2.675793733416559e-7
1926,15,7.281031611874178e-7
1902,15,2.986770989719969e-6
1956,15,8.183797117260641e-7
1990,15,1.2313439176986445e-5
1916,15,1.0377372751688525e-6
1922,15,6.243090444682477e-7
1947,15,4.5676475294182186e-7
1908,15,2.3751070513622974e-6
1957,15,2.2232558898496053e-6
1923,15,3.1397726132860003e-6
1967,15,1.195167281328411e-6
1943,15,1.2251299863636989e-6
1961,15,1.3127818878039236e-6
1976,15,3.203788874449516e-6
1959,15,1.7739641630476278e-6
1913,15,2.922793187233412e-6
1954,15,5.3611710417576e-7
1934,15,9.070430380296464e-7
1966,15,1.8408367905596172e-6
1968,15,1.4843080833380042e-6
1974,15,5.864706746869408e-6
1937,15,3.4168388740683075e-6
2007,16,1.7302255609635836e-6
2017,16,3.336422796877521e-6
2009,16,7.267300986533658e-6
1903,16,3.030221081825037e-7
1999,16,1.575837804407079e-7
2003,16,2.1799384461479894e-8
1998,16,4.2309475972738427e-7
1907,16,1.1568679845385557e-7
2008,16,1.1593533056382283e-5
