uniqueID,surname,allOtherNames,firstName,commonName,earlierOrLaterNames,title,gender,birthDate,birthYear,birthMonth,birthDay,deathDate,deathYear,deathMonth,deathDay,comments,wikipedia,adb
andersongordon1949,Anderson,Gordon,Gordon,NA,NA,NA,male,1897-12-29,1897,12,29,1958-05-23,1958,5,23,NA,NA,NA
andersonjohn1989,Anderson,John Duncan,John,NA,NA,NA,male,1956-11-14,1956,11,14,NA,NA,NA,NA,NA,NA,NA
andrenpeter1996,Andren,Peter James,Peter,NA,NA,NA,male,1946-08-28,1946,8,28,2007-11-03,2007,11,3,NA,NA,NA
andrewjohn1983,Andrew,John Neil,John,NA,NA,NA,male,1944-06-07,1944,6,7,NA,NA,NA,NA,NA,NA,NA
andrewskaren2010,Andrews,Karen Lesley,Karen,NA,NA,NA,female,1960-08-23,1960,8,23,NA,NA,NA,NA,NA,NA,NA
andrewskevin1991,Andrews,Kevin James,Kevin,NA,NA,NA,male,1955-11-09,1955,11,9,NA,NA,NA,NA,NA,NA,NA
andrewsthomas1949,Andrews,Thomas William,Thomas,NA,NA,NA,male,1900-10-19,1900,10,19,1974-11-21,1974,11,21,NA,NA,NA
ansteyfrank1910,Anstey,Frank,Frank,NA,NA,NA,male,1865-08-18,1865,8,18,1940-10-31,1940,10,31,NA,NA,NA
anthonyhubert1937,Anthony,Hubert Lawrence,Hubert,NA,NA,NA,male,1897-03-12,1897,3,12,1957-07-12,1957,7,12,NA,NA,NA
anthonydoug1957,Anthony,John Douglas,John,Doug,NA,NA,male,1929-12-31,1929,12,31,NA,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Doug_Anthony,NA
anthonylawrence1996,Anthony,Lawrence James,Lawrence,NA,NA,NA,male,1961-12-17,1961,12,17,NA,NA,NA,NA,NA,NA,NA
archeredward1906,Archer,Edward Walker,Edward,NA,NA,NA,male,1871-12-12,1871,12,12,1940-07-01,1940,7,1,NA,NA,NA
archibaldwilliam1910,Archibald,William Oliver,William,NA,NA,NA,male,1852-06-03,1852,6,3,1926-06-28,1926,6,28,NA,NA,NA
armitagejohn1961,Armitage,John Lindsay,John,NA,NA,NA,male,1920-11-11,1920,11,11,2009-04-13,2009,4,13,NA,NA,NA
armstrongadam1965,Armstrong,Adam Alexander,Adam,NA,NA,NA,male,1909-07-01,1909,7,1,1982-02-22,1982,2,22,NA,NA,NA
arthurjohn1913,Arthur,John Andrew,John,NA,NA,NA,male,NA,1875,NA,NA,1914-12-09,1914,12,9,NA,NA,NA
arthurwilliam1966,Arthur,William Tevlin,William,NA,NA,NA,male,1918-04-16,1918,4,16,1982-02-28,1982,2,28,NA,NA,NA
ashleybrownalfred1972,Ashley-Brown,Alfred,Alfred,NA,NA,NA,male,1915-10-05,1915,10,5,1993-02-05,1993,2,5,NA,NA,NA
astonwilliam1955,Aston,William John,William,NA,Later Sir William,NA,male,1916-09-19,1916,9,19,1997-05-21,1997,5,21,NA,NA,NA
atkinsonllewellyn1906,Atkinson,Llewellyn,Llewellyn,NA,NA,NA,male,1867-12-18,1867,12,18,1945-11-01,1945,11,1,NA,NA,NA
atkinsonrodney1990,Atkinson,Rodney Alexander,Rodney,NA,NA,NA,male,1948-08-07,1948,8,7,NA,NA,NA,NA,NA,NA,NA
badmanalbert1937,Badman,Albert Oliver,Albert,NA,NA,NA,male,1885-12-18,1885,12,18,1977-04-24,1977,4,24,NA,NA,NA
baileyfran1990,Bailey,Frances Esther,Frances,Fran,NA,NA,female,1946-05-21,1946,5,21,NA,NA,NA,NA,NA,NA,NA
baillieumarshall1975,Baillieu,Marshall,Marshall,NA,NA,NA,male,1937-06-06,1937,6,6,NA,NA,NA,NA,NA,NA,NA
bairdbruce1998,Baird,Bruce George,Bruce,NA,NA,NA,male,1942-02-28,1942,2,28,NA,NA,NA,NA,NA,NA,NA
bakerfrancismatthew1931,Baker,Francis Matthew John,Francis,Francis Matthew,NA,NA,male,NA,1903,NA,NA,1939-03-28,1939,3,28,NA,NA,NA
bakerfrancispatrick1940,Baker,Francis Patrick,Francis,Francis Patrick,NA,NA,male,1873-05-30,1873,5,30,1959-06-02,1959,6,2,NA,https://en.wikipedia.org/wiki/Francis_Patrick_Baker,NA
bakermark2004,Baker,Mark Horden,Mark,NA,NA,NA,male,1958-12-31,1958,12,31,NA,NA,NA,NA,NA,NA,NA
baldwinpeter1983,Baldwin,Peter Jeremy,Peter,NA,NA,NA,male,1951-04-12,1951,4,12,NA,NA,NA,NA,NA,NA,NA
baldwinbob1996,Baldwin,Robert Charles,Robert,Bob,NA,NA,male,1955-03-09,1955,3,9,NA,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Bob_Baldwin,NA
bamfordfrederick1901,Bamford,Frederick William,Frederick,NA,NA,NA,male,1849-02-11,1849,2,11,1934-09-10,1934,9,10,NA,NA,NA
bandidthenry1958,Bandidt,Henry Norman Charles,Henry,NA,NA,NA,male,1906-10-12,1906,10,12,1990-01-06,1990,1,6,NA,NA,NA
bandtadam2010,Bandt,Adam Paul,Adam,NA,NA,NA,male,1972-03-11,1972,3,11,NA,NA,NA,NA,NA,NA,NA
banksjulia2016,Banks,Julia Helen,Julia,NA,NA,NA,female,1962-09-18,1962,9,18,NA,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Julia_Banks,NA
barnardherbert1934,Barnard,Herbert Claude,Herbert,NA,NA,NA,male,1890-10-16,1890,10,16,1957-12-06,1957,12,6,NA,NA,NA
barnardlance1954,Barnard,Lance Herbert,Lance,NA,NA,NA,male,1919-05-01,1919,5,1,1997-08-06,1997,8,6,NA,NA,NA
barnescharles1958,Barnes,Charles Edward,Charles,NA,NA,NA,male,1901-11-13,1901,11,13,1998-10-24,1998,10,24,NA,NA,NA
barresiphillip1996,Barresi,Phillip Anthony,Phillip,NA,NA,NA,male,1955-08-08,1955,8,8,NA,NA,NA,NA,NA,NA,NA
bartlettkerry1996,Bartlett,Kerry Joseph,Kerry,NA,NA,NA,male,1949-04-15,1949,4,15,NA,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Kerry_Bartlett,NA
bartonedmund1901,Barton,Edmund,Edmund,NA,Later Sir Edmund,NA,male,1849-01-18,1849,1,18,1920-01-07,1920,1,7,NA,NA,NA
barwickgarfield1958,Barwick,Garfield Edward John,Garfield,NA,NA,Sir,male,1903-06-22,1903,6,22,1997-07-13,1997,7,13,NA,NA,NA
batcheloregerton1901,Batchelor,Egerton Lee,Egerton,NA,NA,NA,male,1865-04-10,1865,4,10,1911-10-08,1911,10,8,NA,NA,NA
batejeff1949,Bate,Henry Jefferson,Henry,Jeff,NA,NA,male,1906-03-05,1906,3,5,1984-04-15,1984,4,15,NA,https://en.wikipedia.org/wiki/Jeff_Bate,NA
baumemichael1975,Baume,Michael Ehrenfried,Michael,NA,NA,NA,male,1930-07-06,1930,7,6,NA,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Michael_Baume,NA
bayleyjames1917,Bayley,James Garfield,James,NA,NA,NA,male,1882-03-26,1882,3,26,1968-01-14,1968,1,14,NA,NA,NA
bealejulian1984,Beale,Julian Howard,Julian,NA,NA,NA,male,1934-10-10,1934,10,10,NA,NA,NA,NA,NA,NA,NA
bealeoliver1946,Beale,Oliver Howard,Oliver,NA,NA,NA,male,1898-12-10,1898,12,10,1983-10-17,1983,10,17,NA,NA,NA
beardhenry1910,Beard,Henry Elisha,Henry,NA,NA,NA,male,NA,1864,NA,NA,1910-12-18,1910,12,18,NA,NA,NA
beasleyjohn1928,Beasley,John Albert,John,NA,NA,NA,male,1895-11-09,1895,11,9,1949-09-02,1949,9,2,NA,NA,NA
beatonnoel1960,Beaton,Noel Lawrence,Noel,NA,NA,NA,male,1925-12-28,1925,12,28,2004-12-18,2004,12,18,NA,NA,NA
beazleykim1980,Beazley,Kim Christian,Kim,NA,NA,NA,male,1948-12-14,1948,12,14,NA,NA,NA,NA,NA,NA,NA
beazleykim1945,Beazley,Kim Edward,Kim,NA,NA,NA,male,1917-09-30,1917,9,30,2007-10-12,2007,10,12,NA,NA,NA
beckarthur1940,Beck,Arthur James,Arthur,NA,NA,NA,male,1882-07-08,1882,7,8,1965-11-28,1965,11,28,NA,NA,NA
beddalldavid1983,Beddall,David Peter,David,NA,NA,NA,male,1948-11-27,1948,11,27,NA,NA,NA,NA,NA,NA,NA
bellgeorge1919,Bell,George John,George,NA,Later Sir George,NA,male,1872-11-29,1872,11,29,1944-03-05,1944,3,5,NA,NA,NA
bennettadrian1969,Bennett,Adrian Frank,Adrian,NA,NA,NA,male,1933-01-21,1933,1,21,2006-05-09,2006,5,9,NA,NA,NA
bennettbenjamin1912,Bennett,Benjamin Holland,Benjamin,NA,NA,NA,male,NA,1872,NA,NA,1939-07-12,1939,7,12,NA,NA,NA
bennettjames1913,Bennett,James,James,NA,NA,NA,male,NA,1874,NA,NA,1951-11-23,1951,11,23,NA,NA,NA
bensonsamuel1962,Benson,Samuel James,Samuel,NA,NA,NA,male,1909-07-12,1909,7,12,1995-07-26,1995,7,26,NA,NA,NA
berinsonjoe1969,Berinson,Joseph Max,Joseph,Joe,NA,NA,male,1932-01-07,1932,1,7,NA,NA,NA,NA,NA,NA,NA
berrydouglas1949,Berry,Douglas Reginald,Douglas,NA,NA,NA,male,1907-05-03,1907,5,3,1957-04-17,1957,4,17,NA,NA,NA
bestrobert1910,Best,Robert Wallace,Robert,NA,NA,Sir,male,1856-06-18,1856,6,18,1946-03-27,1946,3,27,NA,NA,NA
bevisarchibald1990,Bevis,Archibald Ronald,Archibald,NA,NA,NA,male,1955-04-10,1955,4,10,NA,NA,NA,NA,NA,NA,NA
bidgoodjames2007,Bidgood,James Mark,James,NA,NA,NA,male,1959-05-26,1959,5,26,NA,NA,NA,NA,NA,NA,NA
billsonbruce1996,Billson,Bruce Fredrick,Bruce,NA,NA,NA,male,1966-01-26,1966,1,26,NA,NA,NA,NA,NA,NA,NA
bilneygordon1983,Bilney,Gordon Neil,Gordon,NA,NA,NA,male,1939-06-21,1939,6,21,2012-10-28,2012,10,28,NA,NA,NA
birdalan1949,Bird,Alan Charles,Alan,NA,NA,NA,male,1906-09-28,1906,9,28,1962-07-21,1962,7,21,NA,NA,NA
birdsharon2004,Bird,Sharon Leah,Sharon,NA,NA,NA,female,1962-11-15,1962,11,15,NA,NA,NA,NA,NA,NA,NA
birneyreginald1975,Birney,Reginald John,Reginald,NA,NA,NA,male,1928-09-26,1928,9,26,1995-01-01,1995,1,1,NA,NA,NA
birrellfrederick1963,Birrell,Frederick Ronald,Frederick,NA,NA,NA,male,1913-12-07,1913,12,7,1985-07-23,1985,7,23,NA,NA,NA
bishopbronwyn1994,Bishop,Bronwyn Kathleen,Bronwyn,NA,NA,NA,female,1942-10-19,1942,10,19,NA,NA,NA,NA,NA,NA,NA
bishopjulie1998,Bishop,Julie Isabel,Julie,NA,NA,NA,female,1956-07-17,1956,7,17,NA,NA,NA,NA,NA,NA,NA
blackburndoris1946,Blackburn,Doris Amelia,Doris,NA,NA,NA,female,1889-09-18,1889,9,18,1970-12-12,1970,12,12,NA,NA,NA
blackburnmaurice1934,Blackburn,Maurice McCrae,Maurice,NA,NA,NA,male,1880-11-19,1880,11,19,1944-03-31,1944,3,31,NA,NA,NA
blacklowarchibald1931,Blacklow,Archibald Clifford,Archibald,NA,NA,NA,male,1879-10-11,1879,10,11,1965-04-04,1965,4,4,NA,NA,NA
blackwoodrobert1903,Blackwood,Robert Officer,Robert,NA,NA,NA,male,1861-06-20,1861,6,20,1940-09-22,1940,9,22,Election declared void. Contested by-election 18.5.1904 but was defeated.,NA,NA
blainadair1934,Blain,Adair Macalister,Adair,NA,NA,NA,male,1894-11-21,1894,11,21,1983-04-28,1983,4,28,NA,NA,NA
blakeleyarthur1917,Blakeley,Arthur,Arthur,NA,NA,NA,male,1886-07-03,1886,7,3,1972-06-27,1972,6,27,NA,NA,NA
blanchardcecil1983,Blanchard,Cecil Allen,Cecil,NA,NA,NA,male,1929-04-17,1929,4,17,2008-10-25,2008,10,25,NA,NA,NA
blandfrancis1951,Bland,Francis Armand,Francis,NA,NA,NA,male,1882-08-24,1882,8,24,1967-04-09,1967,4,9,NA,NA,NA
blewettneal1977,Blewett,Neal,Neal,NA,NA,NA,male,1933-10-24,1933,10,24,NA,NA,NA,NA,NA,NA,NA
blundellreginald1919,Blundell,Reginald Pole,Reginald,NA,NA,NA,male,1873-02-04,1873,2,4,1945-08-09,1945,8,9,NA,NA,NA
bluntcharles1984,Blunt,Charles William,Charles,NA,NA,NA,male,1951-01-19,1951,1,19,NA,NA,NA,NA,NA,NA,NA
bonnettrobert1966,Bonnett,Robert Noel,Robert,NA,NA,NA,male,1916-09-01,1916,9,1,1992-04-21,1992,4,21,NA,NA,NA
bonythonjohn1901,Bonython,John Langdon,John,NA,NA,Sir,male,1848-10-15,1848,10,15,1939-10-22,1939,10,22,NA,NA,NA
bosmanleonard1963,Bosman,Leonard Lewis,Leonard,NA,NA,NA,male,1924-02-05,1924,2,5,2017-02-06,2017,2,6,NA,NA,NA
bostockwilliam1949,Bostock,William Dowling,William,NA,NA,NA,male,1892-02-05,1892,2,5,1968-04-28,1968,4,28,NA,NA,NA
bourchierjohn1972,Bourchier,John William,John,NA,NA,NA,male,1929-10-12,1929,10,12,2017-08-31,2017,8,31,NA,https://en.wikipedia.org/wiki/John_Bourchier_(politician),NA
bourkewilliam1949,Bourke,William Meskill,William,NA,NA,NA,male,1913-06-02,1913,6,2,1981-05-22,1981,5,22,NA,NA,NA
bowdeneric1906,Bowden,Eric Kendall,Eric,NA,NA,NA,male,1872-09-30,1872,9,30,1931-02-13,1931,2,13,NA,NA,NA
bowdengeorge1943,Bowden,George James,George,NA,NA,NA,male,1888-03-17,1888,3,17,1962-06-08,1962,6,8,NA,NA,NA
bowenchristopher2004,Bowen,Christopher Eyles,Christopher,NA,NA,NA,male,1973-01-17,1973,1,17,NA,NA,NA,NA,NA,NA,NA
bowenlionel1969,Bowen,Lionel Frost,Lionel,NA,NA,NA,male,1922-12-28,1922,12,28,2012-04-01,2012,4,1,NA,NA,NA
bowennigel1964,Bowen,Nigel Hubert,Nigel,NA,NA,NA,male,1911-05-26,1911,5,26,1994-09-27,1994,9,27,NA,NA,NA
boydjames1913,Boyd,James Arthur,James,NA,NA,NA,male,1867-07-07,1867,7,7,1941-04-12,1941,4,12,NA,NA,NA
bradburydavid2007,Bradbury,David John,David,NA,NA,NA,male,1976-02-28,1976,2,28,NA,NA,NA,NA,NA,NA,NA
braddonedward1901,Braddon,Edward Nicholas Coventry,Edward,NA,NA,Sir,male,1829-06-11,1829,6,11,1904-02-02,1904,2,2,NA,NA,NA
bradfieldjames1975,Bradfield,James Mark,James,NA,NA,NA,male,1933-07-30,1933,7,30,1989-11-19,1989,11,19,NA,NA,NA
bradfordjohn1990,Bradford,John Walter,John,NA,NA,NA,male,1946-01-03,1946,1,3,NA,NA,NA,NA,NA,NA,NA
braithwaiteray1975,Braithwaite,Raymond Allen,Raymond,Ray,NA,NA,male,1933-12-06,1933,12,6,NA,NA,NA,NA,NA,NA,NA
brandwilliam1954,Brand,William Alfred,William,NA,NA,NA,male,1888-08-22,1888,8,22,1979-10-26,1979,10,26,NA,NA,NA
breenjohn1940,Breen,John Patrick,John,NA,NA,NA,male,NA,1898,NA,NA,1966-02-05,1966,2,5,NA,NA,NA
brennanfrank1911,Brennan,Frank,Frank,NA,NA,NA,male,NA,1873,NA,NA,1950-11-06,1950,11,6,NA,NA,NA
breretonlaurence1990,Brereton,Laurence John,Laurence,NA,NA,NA,male,1946-05-29,1946,5,29,NA,NA,NA,NA,NA,NA,NA
bridgesmaxwellcrawford1964,Bridges-Maxwell,Crawford William,Crawford,NA,NA,NA,male,1929-09-27,1929,9,27,1992-04-15,1992,4,15,NA,NA,NA
briggsjamie2008,Briggs,Jamie Edward,Jamie,NA,NA,NA,male,1977-06-09,1977,6,9,NA,NA,NA,NA,NA,NA,NA
brimblecombewilfred1951,Brimblecombe,Wilfred John,Wilfred,NA,NA,NA,male,1898-02-06,1898,2,6,1973-09-14,1973,9,14,NA,NA,NA
broadandrew2013,Broad,Andrew John,Andrew,NA,NA,NA,male,1975-07-02,1975,7,2,NA,NA,NA,NA,NA,NA,NA
broadbentrussell1990,Broadbent,Russell Evan,Russell,NA,NA,NA,male,1950-12-25,1950,12,25,NA,NA,NA,NA,NA,NA,NA
brodtmanngai2010,Brodtmann,Gai Marie,Gai,NA,NA,NA,female,1963-11-24,1963,11,24,NA,NA,NA,NA,NA,NA,NA
broughmalcolm1996,Brough,Malcolm Thomas,Malcolm,NA,NA,NA,male,1961-12-29,1961,12,29,NA,NA,NA,NA,NA,NA,NA
browngeoffrey1949,Brown,Geoffrey William,Geoffrey,NA,NA,NA,male,1894-04-25,1894,4,25,1955-10-14,1955,10,14,NA,NA,NA
brownjohn1977,Brown,John Joseph,John,NA,NA,NA,male,1931-12-19,1931,12,19,NA,NA,NA,NA,NA,NA,NA
brownjoseph1906,Brown,Joseph Tilley,Joseph,NA,NA,NA,male,NA,1843,NA,NA,1925-09-28,1925,9,28,NA,NA,NA
brownneil1969,Brown,Neil Anthony,Neil,NA,NA,NA,male,1940-02-22,1940,2,22,NA,NA,NA,NA,NA,NA,NA
brownbob1980,Brown,Robert James,Robert,Bob,NA,NA,male,1933-12-02,1933,12,2,NA,NA,NA,NA,NA,NA,NA
brownthomas1901,Brown,Thomas,Thomas,NA,NA,NA,male,1861-10-06,1861,10,6,1934-03-23,1934,3,23,NA,NA,NA
brownbillkay1966,Brownbill,Kay Cathrine Millin,Kay,NA,NA,NA,female,1914-07-21,1914,7,21,2002-02-03,2002,2,3,NA,https://en.wikipedia.org/wiki/Kay_Brownbill,NA
brownepeter1958,Browne,Peter Grahame,Peter,NA,NA,NA,male,1924-07-15,1924,7,15,2000-09-11,2000,9,11,NA,NA,NA
brucehenry1951,Bruce,Henry Adam,Henry,NA,NA,NA,male,1884-05-16,1884,5,16,1958-10-11,1958,10,11,NA,NA,NA
brucestanley1918,Bruce,Stanley Melbourne,Stanley,NA,NA,NA,male,1883-04-15,1883,4,15,1967-08-25,1967,8,25,NA,NA,NA
brumbyjohn1983,Brumby,John Mansfield,John,NA,NA,NA,male,1953-04-21,1953,4,21,NA,NA,NA,NA,NA,NA,NA
bryantgordon1955,Bryant,Gordon Munro,Gordon,NA,NA,NA,male,1914-08-03,1914,8,3,1991-01-14,1991,1,14,NA,NA,NA
brysonwilliam1943,Bryson,William George,William,NA,NA,NA,male,1898-02-24,1898,2,24,1973-03-02,1973,3,2,NA,NA,NA
buchananalexander1955,Buchanan,Alexander Andrew,Alexander,NA,NA,NA,male,1905-10-04,1905,10,4,1985-09-10,1985,9,10,NA,NA,NA
buchholzscott2010,Buchholz,Scott Andrew,Scott,NA,NA,NA,male,1968-03-27,1968,3,27,NA,NA,NA,NA,NA,NA,NA
bungeymelville1974,Bungey,Melville Harold,Melville,NA,NA,NA,male,1934-08-30,1934,8,30,NA,NA,NA,NA,NA,NA,NA
burchellreginald1913,Burchell,Reginald John,Reginald,NA,NA,NA,male,1883-05-20,1883,5,20,1955-06-20,1955,6,20,NA,NA,NA
burkeanna1998,Burke,Anna Elizabeth,Anna,NA,NA,NA,female,1966-01-01,1966,1,1,NA,NA,NA,NA,NA,NA,NA
burkeanthony2004,Burke,Anthony Stephen,Anthony,NA,NA,NA,male,1969-11-04,1969,11,4,NA,NA,NA,NA,NA,NA,NA
burkethomas1943,Burke,Thomas Patrick,Thomas,NA,NA,NA,male,1910-08-28,1910,8,28,1973-01-17,1973,1,17,NA,NA,NA
burneylinda2016,Burney,Linda Jean,Linda,NA,NA,NA,female,1957-04-25,1957,4,25,NA,NA,NA,NA,NA,NA,NA
burnsgeorge1913,Burns,George Mason,George,NA,NA,NA,male,1869-04-19,1869,4,19,1932-08-15,1932,8,15,NA,NA,NA
burnswilliam1977,Burns,William George,William,NA,NA,NA,male,1933-10-22,1933,10,22,2009-03-16,2009,3,16,NA,NA,NA
burrmax1975,Burr,Maxwell Arthur,Maxwell,Max,NA,NA,male,1939-01-09,1939,1,9,NA,NA,NA,NA,NA,NA,NA
buryleslie1956,Bury,Leslie Harry Ernest,Leslie,NA,NA,NA,male,1913-02-25,1913,2,25,1986-09-07,1986,9,7,NA,NA,NA
butlermark2007,Butler,Mark Christopher,Mark,NA,NA,NA,male,1970-07-08,1970,7,8,NA,NA,NA,NA,NA,NA,NA
butlerterri2014,Butler,Terri Megan,Terri,NA,NA,NA,female,1977-11-28,1977,11,28,NA,NA,NA,NA,NA,NA,NA
byrneanthony1999,Byrne,Anthony Michael,Anthony,NA,NA,NA,male,1962-12-01,1962,12,1,NA,NA,NA,NA,NA,NA,NA
cadmanalan1974,Cadman,Alan Glyndwr,Alan,NA,NA,NA,male,1937-07-26,1937,7,26,NA,NA,NA,NA,NA,NA,NA
cairnsjim1955,Cairns,James Ford,James,Jim,NA,NA,male,1914-10-04,1914,10,4,2003-10-12,2003,10,12,NA,NA,NA
cairnskevin1963,Cairns,Kevin Michael,Kevin,NA,NA,NA,male,1929-05-15,1929,5,15,1984-07-06,1984,7,6,NA,NA,NA
calderstephen1966,Calder,Stephen Edward,Stephen,NA,NA,NA,male,1916-08-10,1916,8,10,2008-09-30,2008,9,30,NA,NA,NA
calwellarthur1940,Calwell,Arthur Augustus,Arthur,NA,NA,NA,male,1896-08-28,1896,8,28,1973-07-08,1973,7,8,NA,NA,NA
cameronarchie1934,Cameron,Archie Galbraith,Archie,NA,NA,NA,male,1895-03-22,1895,3,22,1956-08-09,1956,8,9,NA,NA,NA
cameronclyde1949,Cameron,Clyde Robert,Clyde,NA,NA,NA,male,1913-02-11,1913,2,11,2008-03-14,2008,3,14,NA,NA,NA
camerondonaldalastair1949,Cameron,Donald Alastair,Donald,Donald Alastair,NA,NA,male,1900-03-17,1900,3,17,1974-01-05,1974,1,5,NA,NA,NA
camerondonaldcharles1919,Cameron,Donald Charles,Donald,Donald Charles,Later Sir Donald,NA,male,NA,1879,NA,NA,1960-11-19,1960,11,19,NA,NA,NA
camerondonaldjames1961,Cameron,Donald James,Donald,Donald James,NA,NA,male,1917-10-15,1917,10,15,1964-06-22,1964,6,22,NA,NA,NA
camerondonaldmilner1966,Cameron,Donald Milner,Donald,Donald Milner,NA,NA,male,1940-02-06,1940,2,6,NA,NA,NA,NA,NA,NA,NA
camerondonaldnorman1901,Cameron,Donald Norman,Donald,Donald Norman,NA,NA,male,1851-11-03,1851,11,3,1931-02-17,1931,2,17,NA,NA,NA
cameroneoin1993,Cameron,Eoin Harrap,Eoin,NA,NA,NA,male,1951-01-04,1951,1,4,2016-06-23,2016,6,23,NA,NA,NA
cameronewen1977,Cameron,Ewen Colin,Ewen,NA,NA,NA,male,1930-01-12,1930,1,12,NA,NA,NA,NA,NA,NA,NA
cameronian1980,Cameron,Ian Milne Dixon,Ian,NA,NA,NA,male,1938-03-08,1938,3,8,NA,NA,NA,NA,NA,NA,NA
cameronmalcolm1922,Cameron,Malcolm Duncan,Malcolm,NA,NA,NA,male,1873-07-12,1873,7,12,1935-03-01,1935,3,1,NA,NA,NA
cameronross1996,Cameron,Ross Alexander,Ross,NA,NA,NA,male,1965-05-14,1965,5,14,NA,NA,NA,NA,NA,NA,NA
campbellgraeme1980,Campbell,Graeme,Graeme,NA,NA,NA,male,1939-08-13,1939,8,13,NA,NA,NA,NA,NA,NA,NA
campbelljodie2007,Campbell,Jodie Louise,Jodie,NA,NA,NA,female,1972-01-18,1972,1,18,NA,NA,NA,NA,NA,NA,NA
canngeorge1910,Cann,George,George,NA,NA,NA,male,1871-05-29,1871,5,29,1948-10-18,1948,10,18,NA,NA,NA
carigecolin1975,Carige,Colin Lawrence,Colin,NA,NA,NA,male,1938-07-19,1938,7,19,2002-05-14,2002,5,14,NA,NA,NA
carltonjim1977,Carlton,James Joseph,James,Jim,NA,NA,male,1935-05-13,1935,5,13,2015-12-25,2015,12,25,NA,NA,NA
carpenterwilliam1903,Carpenter,William Henry,William,NA,NA,NA,male,1863-04-05,1863,4,5,1930-09-11,1930,9,11,NA,NA,NA
carrernest1906,Carr,Ernest Shoobridge,Ernest,NA,NA,NA,male,NA,1875,NA,NA,1956-09-17,1956,9,17,NA,NA,NA
caseyrichard1931,Casey,Richard Gardiner,Richard,NA,NA,NA,male,1890-08-29,1890,8,29,1976-06-17,1976,6,17,NA,NA,NA
cashearl1958,Cash,Earl Douglas,Earl,NA,NA,NA,male,1919-07-15,1919,7,15,2002-02-15,2002,2,15,NA,NA,NA
cassmoss1969,Cass,Moses Henry,Moses,Moss,NA,NA,male,1927-02-18,1927,2,18,NA,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Moss_Cass,NA
catleyrobert1990,Catley,Robert,Robert,NA,NA,NA,male,1942-09-01,1942,9,1,NA,NA,NA,NA,NA,NA,NA
cattsjames1906,Catts,James Howard,James,NA,NA,NA,male,NA,1878,NA,NA,1951-11-26,1951,11,26,NA,NA,NA
causleyian1996,Causley,Ian Raymond,Ian,NA,NA,NA,male,1940-10-19,1940,10,19,NA,NA,NA,NA,NA,NA,NA
chalmersjames2013,Chalmers,James Edward,James,NA,NA,NA,male,1978-03-02,1978,3,2,NA,NA,NA,NA,NA,NA,NA
