Topic; Terms; CAP number; CAP name
47; report, senate, matter, democrats, governments, leave, per_cent, aboriginal, program, button; 20; Government Operations
48; roads, road, water, railway, line, transport, construction, river, country, money; 10; Transportation
49; development, time, service, national, programme, overseas, field, matter, department, country; 19; International Affairs
50; world, nations, international, united_nations, countries, treaty, peace, japan, united_states, japanese; 19; International Affairs
51; tariff, industry, trade, industries, board, customs, protection, country, duties, duty; 18; Foreign Trade
52; pension, pensions, pensioners, week, social, age, benefits, service, services, repatriation; 5; Labor
53; community, electorate, na, time, local, support, australians, day, ms, national; 20; Government Operations
54; northern_territory, territory, regulations, regulation, parliament, council, governor_general, ordinance; 20; Government Operations
55; ill, money, position, country, time, amount, financial, matter, treasurer, dr; 1; Macroeconomics
56; environment, heritage, nsw, environmental, conservation, community, project, management, forest; 7; Environment
57; energy, gas, nuclear, fuel, change, industry, emissions, power, climate, carbon; 8; Energy
58; question, department, matter, answer, time, notice, information, report, questions, national; 20; Government Operations
59; per_cent, budget, increase, economic, country, unemployment, economy, inflation, increased, time; 1; Macroeconomics
60; care, aged, veterans, community, services, support, home, nursing, child_care, childcare; 3; Health
61; bank, commonwealth_bank, banking, private, credit, money, savings, treasurer, board, trading; 15; Domestic Commerce
62; research, tobacco, scientific, fishing, disease, quarantine, science, fisheries, health, fish; 4; Agriculture
63; law, person, offence, criminal, police, crime, offences, evidence, penalty, attorneygeneral; 12; Law and Crime
64; agreement, trade, local, grants, governments, council, development, financial, national, conference; 18; Foreign Trade
65; democrats, issue, committee, question, time, million, pmi, report, issues, process; 20; Government Operations
66; war, soldiers, service, country, returned, time, ill, forces, military, soldier; 16; Defense
67; electoral, vote, election, voting, votes, system, party, electors, elections, candidates; 20; Government Operations
68; land, settlement, property, lands, country, lease, leases, pastoral, money, acres; 4; Agriculture
69; information, amendments, support, ensure, report, services, national, review, financial, provide; 20; Government Operations
70; wheat, wool, growers, industry, farmers, board, prices, scheme, marketing, production; 4; Agriculture
71; industry, export, meat, market, dairy, farmers, producers, levy, wine, rural; 18; Foreign Trade
72; expenditure, loan, increase, revenue, amount, total, budget, money, financial, estimated; 1; Macroeconomics
73; question, time, matter, desire, regard, learned, opinion, deal, position, party; 20; Government Operations
74; budget, tax, billion, million, per_cent, business, economy, support, jobs, governments; 15; Domestic Commerce
75; millen, senators, question, mcgregor, de, dobson, givens, lt, clemons, time; 20; Government Operations
76; company, oil, companies, industry, coal, profits, capital, business, private, mining; 8; Energy
77; per_cent, industry, tax, policy, time, governments, economic, system, program, national; 1; Macroeconomics
78; clause, provision, section, proposed, agreed, committee, words, provisions, person, matter; 20; Government Operations
79; aboriginal, per_cent, program, governments, commission, question, assistance, funds, development; 13; Social Welfare
80; family, children, families, parents, income, welfare, time, poverty, allowance, parent; 13; Social Welfare
